class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
3292,ENGLISH,89S,01,First-Year Seminar on Literature,Topics vary each semester offered. See synopsis for more details. Reserved for first-year students.,LAWS OF LOVE AND OBEDIENCE,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,15,15,0,0,15,Graded,Y,Corina Maria Stan
3289,ENGLISH,90S,01,Special Topics in Literature,Topics vary by semester; emphasis on development of writing skills. See synopsis for more details.,THE POST-APOCALYPTIC PACIFIC,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,15,15,0,0,15,Graded,Y,Yeonwoo Koo
3291,ENGLISH,90S,03,Special Topics in Literature,Topics vary by semester; emphasis on development of writing skills. See synopsis for more details.,MONSTERS: THEN AND NOW,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,15,15,0,0,15,Graded,Y,Katherine Marie Carithers
3335,ENGLISH,101S,02,The Art of Reading,"An introduction to the skills of critical reading through the close examination of literary works, or other media such as film. See synopsis for more details.","WAR & WORSHIP, WINE & (WO)MEN",1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,15,16,0,0,15,Graded,N,Thomas J Ferraro
3336,ENGLISH,101S,03,The Art of Reading,"An introduction to the skills of critical reading through the close examination of literary works, or other media such as film. See synopsis for more details.",LITERATURE AND FREEDOM,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,12,11,1,0,12,Graded,N,Robert Mitchell
3293,ENGLISH,110S,01,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,14,14,0,0,14,Graded,N,Akhil Sharma
3294,ENGLISH,110S,02,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,13,2,0,15,Graded,N,Faulkner Fox
3295,ENGLISH,110S,03,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,15,15,0,0,15,Graded,N,Will Brewbaker
8126,ENGLISH,110S,04,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,15,15,0,0,15,Graded,N,Mesha Marie Maren-Hogan
3082,ENGLISH,160,01,"Fantasy: The Borders of Genre, Medium, and Culture","Fantasy as a genre has captured the attention of artists, writers, musicians, filmmakers, and videogame developers. Students will read, view, and play different fantasy narratives from ancient mythology to the Middle Ages, the 19th Century, and finally modern mediums. Focusing on themes of power, identity, and othering, students will explore how the mercurial genre of fantasy shifts through time and medium while commenting on the political and cultural world in which it originates. Taught in English.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,40,37,3,0,40,Graded,Y,Amy Louise Jones; April Lynn Henry
