class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
6927,ETHICS,89S,01,Special Topic: First-Year Seminar in Ethics,First-year seminar course. Topics vary each semester offered.,"LONG, STRANGE TRIPS",1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,13,5,0,18,Graded,Y,Eric J Mlyn
8296,ETHICS,89S,03,Special Topic: First-Year Seminar in Ethics,First-year seminar course. Topics vary each semester offered.,LAWS OF LOVE AND OBEDIENCE,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,15,15,0,0,15,Graded,Y,Corina Maria Stan
9874,ETHICS,89S,04,Special Topic: First-Year Seminar in Ethics,First-year seminar course. Topics vary each semester offered.,WHY ARE WE HERE?,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,18,18,0,0,18,Graded,Y,David Michael Malone
6928,ETHICS,101,01,The Challenges of Living an Ethical Life,"Familiar but fundamental ethical questions: What is a good, worthy or just life? How is it to be lived, toward what ends? Readings include dramas and philosophical analyses, parables and auto- biographies, polemics and meditations, novels and political commentaries. Introductory course for the Ethics & Society Certificate.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,35,35,0,0,35,Graded,Y,Jesse Summers; Lindsay Marie Huth
8139,ETHICS,155,01,The Christian Story,"An introduction to the Christian story of the world – how Christians have understood the nature of God, His involvement in history, and how humans are part of this story. Topics will include creation, why things exist, happiness, truth, beauty, goodness, the meaning of suffering, what is means to be human, and the afterlife. Sources will include scripture, philosophy, theology, and a variety of other genres.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,20,22,0,0,20,Graded,N,Kathryn Wagner
6934,ETHICS,189,01,"What Now? The Duke Guide to Happiness, Purpose, and Well-Being","Integration and practice course to accompany What Now? full-credit seminars. Provides a space for synthesis of seminar-specific learning with program-wide facilitated conversations, community building, and activities. Course content will include regular weekly reflections and an integrative semester capstone project identifying key insights on individual students' semester experiences and deliberative next steps through Duke.",,0.5,WRK,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,200,104,96,0,200,Satisfactory/Unsatisfactory,N,Christian Paul Ferney
6935,ETHICS,189,02,"What Now? The Duke Guide to Happiness, Purpose, and Well-Being","Integration and practice course to accompany What Now? full-credit seminars. Provides a space for synthesis of seminar-specific learning with program-wide facilitated conversations, community building, and activities. Course content will include regular weekly reflections and an integrative semester capstone project identifying key insights on individual students' semester experiences and deliberative next steps through Duke.",,0.5,WRK,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,200,70,130,0,200,Satisfactory/Unsatisfactory,N,Christian Paul Ferney
6936,ETHICS,189,03,"What Now? The Duke Guide to Happiness, Purpose, and Well-Being","Integration and practice course to accompany What Now? full-credit seminars. Provides a space for synthesis of seminar-specific learning with program-wide facilitated conversations, community building, and activities. Course content will include regular weekly reflections and an integrative semester capstone project identifying key insights on individual students' semester experiences and deliberative next steps through Duke.",,0.5,WRK,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,45,14,31,0,45,Satisfactory/Unsatisfactory,N,Christian Paul Ferney
5055,ETHICS,190,01,Special Topics on Ethics,Topics vary by semester.,CREATIVE COLLABORATION,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,4,11,0,15,Graded,Y,Thomas Brothers
7087,ETHICS,204S,01,Feminist Ethics,"Do women experience the world differently than men? An examination of women's experience, women's ways of knowing, ethical systems and feminist critique, patriarchy, dualistic thinking, gender oppression, care ethics, ethical dilemmas.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,11,7,0,18,Graded,Y,Rachel S Gelfand
8015,ETHICS,218S,01,The Pursuit of Happiness,"What is the good life, and what does it mean to pursue happiness? With life seemingly caught between an undesirable present that endures and a desired future that feels improbable, this course grapples with tensions that arise when our drive to the 'good life' fails to materialize in what it promises. By critically analyzing how socioeconomic factors construct and maintain the social imaginary of a happy life in a multitude of cultural contexts, this course addresses the both the risks and pleasures that humans across the globe experience as they keep resilient in their life pursuits.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,17,1,0,18,Graded,Y,Cody Black
6926,ETHICS,253S,01,Pursuit of Purpose: Exploring What to Be and Why,"Preparation course for students who plan to undertake a summer internship through the Kenan Purpose Program. Engages students in their own pursuit of a purpose-oriented life. Exploration of meaning, purpose, and vocation in historical and contemporary contexts. Introduces durable philosophical questions and key social, cultural, and historical forces that shape current definitions of a good life. Guided reflection on integrating big questions, contemporary context, and practical vocational discernment skills. Readings to be selected from literary, philosophical, sociological, and theological writings and present-day case studies. Instructor consent is required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,13,2,0,15,Graded,N,Christian Paul Ferney
9644,ETHICS,254S,01,Criminal Theatre: Sex and Justice,"Considers historical & contemporary relationships between sexual violence & social & criminal justice efforts to ameliorate it. Examines recent cases alongside the history of sexual violence in America, with attention to race & gender in the social construction of rape. Looking at laws, social mores, & cultural representations around sexual violence from early settlement through today, we will integrate historical, sociological, & theoretical perspectives on the development, evolution, & future of justice-making for sexual violence. Course examines limitations of current intervention & prevention strategies promoted in public policy, & promising efforts for more effective alternatives.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,17,1,0,18,Graded,Y,Ada Gregory
3219,ETHICS,259,01,News as a Moral Battleground,"Ethical inquiry into journalism and its effect on public discourse. Issues include accuracy, transparency, conflicts of interest and fairness. Topics include coverage of national security, government secrecy, plagiarism/fabrication, and trade-offs of anonymous sourcing.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,25,28,0,0,25,Graded,Y,Frank Anthony Bruni; -
