class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4535,GLHLTH,101,01,Fundamentals of Global Health,"Introduction to global health issues and challenges. Develop an understanding of key concepts, tools, and frameworks essential for continued study in global health. Focus on global disease burden, health determinants and disparities, health policy and actors, and challenges of global health interventions. Explore the importance of understanding and addressing global health through multidisciplinary frameworks of the natural sciences, social-behavioral sciences, humanities, and policy.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,90,75,15,0,90,Graded,N,Aunchalee E Loscalzo Palmquist
3579,GLHLTH,107,01,Climate Change Now,"Readings and case studies in sustainable development, social entrepreneurship, and other attempts to address natural resource limitations, economic inequality, and social justice. Focuses on the problems that sustainability is intended to solve, competing definitions and values. Includes perspectives from development experts, for- and non-profit sector innovators, anthropologists and other social scientists.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,25,25,0,0,25,Graded,Y,Christine Folch
5555,GLHLTH,154,01,AIDS and Other Emerging Diseases,Explores the interaction of biology and culture in creating and defining diseases through an investigation of acquired immunodeficiency syndrome (AIDS) and other emerging diseases: molecular biology; biology of transmission and infection; the role of people and culture in the evolution of infectious diseases; reasons for the geographic variations in disease. The inductive-deductive methodology of science is both used to develop and test hypotheses as well as examined itself as an analytical tool. Intended for nonmajors.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,160,114,46,0,160,Graded,Y,Sherryl A Broverman
4980,GLHLTH,203,01,History of Global Health,"The course begins with the development of ancient medicine in Europe & China, and continues into the rise of biomedicine (e.g. laboratory science & microbiology) in the 19th and 20th centuries. Particular diseases illustrate important themes, such as the role of warfare in medical developments, the creation of international policy to control disease, and how non-Western societies intersected biomedicine. We trace global circulations of people and commodities to show how international agencies, charities and governing bodies have spread both disease and the means to fight it. Medicine has always been a global undertaking, and its history prepares us to address emerging health crises.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,40,40,0,0,40,Graded,Y,Margaret Humphreys
6932,GLHLTH,248S,01,Ethical Dimensions of Environmental Policy,"Uses case studies from different arenas of environmental policy (e.g., climate and clean air, water and waste, forests, oceans, energy) to surface normative assumptions often implicit in policy design and implementation. Links ethics to ethos (beliefs, aspirations, and spirit of a community or culture) to suggest that policies are not only pragmatic guidelines for decision-making and action, but also fundamental declarations concerning the character of human flourishing and the shape of the natural world, which is why environmental policies are often so contentious. Seeks to help students understand this aspect of environmental policy and to negotiate these deep-seated ethical conflicts.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,18,18,0,0,18,Graded,Y,Brianna K Jowers
4203,GLHLTH,257,01,From Madness to Mental Disorders: Sociology of Mental Health,"Investigates mental health processes and policies in historic, cultural, and socioeconomic context. Explains why definitions of and responses to mental illness have changed across time and place. Probes ethical dilemmas created by the medicalization of deviance. Examines how social conditions shape the development and consequences of mental disorders, treatments, and policies. Evaluates alternative theoretical explanations for how mental well-being and mental health services are linked to socioeconomic status, gender, race, ethnicity, citizenship, age, and sexuality. Assesses ability of alternative policies to improve public mental health.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,100,101,0,0,100,Graded,Y,Jenifer Hamil-Luker; -; -
10425,GLHLTH,265S,02,Writing for Global Audiences – Theories and Applications of Comparative Rhetoric,"This course examines how writing practices and communication strategies are shaped by cultural differences, focusing on how writers construct, adapt, and negotiate voice and identity for global audiences. We will analyze rhetorical traditions through non-Eurocentric theories—spanning cultural, geographical, and non-human perspectives—via rigorous reading, case studies, and discussion. By examining real-world examples like protest writings, we will explore methodologies for effective global communication. We will refine rhetorical knowledge through collaborative learning, honing adaptive, ethical, and sophisticated writing practices that meet the expectations of diverse global audiences.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,2,13,0,15,Graded,Y,Yan Li
4519,GLHLTH,270T-5,01,Voices in Global Health: Mandarin Tutorial,"Through practical and theoretical discussions around case studies, personal narratives, documentaries and recorded interviews in the Chinese language, students examine how language and culture impact health beliefs and behaviors. Explore underlying reasons for different beliefs and behaviors with the goal of creating culturally appropriate interventions. This is a service-learning or community-engaged course. Engagement may include direct, project-based, or research-focused service with local/global community partners among other engaged practices. Meet weekly for 75 minutes. Prerequisite: Chinese 305 or equivalent. Instructor consent required.",,0.5,TUT,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,8,8,0,0,8,Satisfactory/Unsatisfactory,Y,Yan Liu
4059,GLHLTH,275S,01,Complex Issues in United States Healthcare,"Investigates historical, educational, social, political, economic and ethical implications of healthcare in US. Explores educational preparation of providers and current calls for reform. Analyzes health outcomes and costs as well as implications for future national economy. Investigates proposed healthcare models, methods of educating healthcare workers for an aging population, inequalities in distribution and political and ethical implications of change. Writing intensive: includes short weekly written reflections of assigned readings, mid-term paper on either education or policy. Final project will investigate solutions for identified population health problem.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,0,18,0,18,Graded,Y,Devdutta Gangadhar Sangvai
9532,GLHLTH,290,02,Special Topics in Global Health,Content to be determined each semester.,"COMMUNITY RESEARCH, & LDSHP",1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,20,25,0,0,20,Graded,Y,Hy V Huynh
