class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
3547,ICS,101D,001,Introduction to Cultural Anthropology,Same as Cultural Anthropology 101 except instruction is provided in lecture and discussion group each week.,,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,65,64,1,0,65,Graded,Y,Orin Starn
3548,ICS,101D,01D,Introduction to Cultural Anthropology,Same as Cultural Anthropology 101 except instruction is provided in lecture and discussion group each week.,,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,23,24,0,0,23,Graded,Y,Orin Starn
3549,ICS,101D,02D,Introduction to Cultural Anthropology,Same as Cultural Anthropology 101 except instruction is provided in lecture and discussion group each week.,,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,20,19,1,0,20,Graded,Y,Orin Starn
3550,ICS,101D,03D,Introduction to Cultural Anthropology,Same as Cultural Anthropology 101 except instruction is provided in lecture and discussion group each week.,,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,22,21,1,0,22,Graded,Y,Orin Starn
3259,ICS,102,01,Introduction to Dance,"Dance as a reflection of historical and current cultural values. Introduction to some of the major forms of world dance (for example, classical dances of Europe, Asia and Africa, and American modern dance); how dance forms illuminate and define gender, personal and group identity, political and religious status, aesthetic values, and the intentions of the dance-makers; dance as an educative force, a facilitator of cultural acquisition, and a reflection of cultural change; the function of dance in various cultural settings; how to look at dance, to analyze movement, and to read the text of dance structure.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,14,1,0,15,Graded,Y,Purnima Shah
5554,ICS,103,01,AIDS and Other Emerging Diseases,Explores the interaction of biology and culture in creating and defining diseases through an investigation of acquired immunodeficiency syndrome (AIDS) and other emerging diseases: molecular biology; biology of transmission and infection; the role of people and culture in the evolution of infectious diseases; reasons for the geographic variations in disease. The inductive-deductive methodology of science is both used to develop and test hypotheses as well as examined itself as an analytical tool. Intended for nonmajors.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,160,114,46,0,160,Graded,Y,Sherryl A Broverman
3577,ICS,107,01,Climate Change Now,"Readings and case studies in sustainable development, social entrepreneurship, and other attempts to address natural resource limitations, economic inequality, and social justice. Focuses on the problems that sustainability is intended to solve, competing definitions and values. Includes perspectives from development experts, for- and non-profit sector innovators, anthropologists and other social scientists.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,25,25,0,0,25,Graded,Y,Christine Folch
3711,ICS,110,01,Introduction to African Studies (DS3 or DS4),"A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,60,58,2,0,60,Graded,Y,Charlie D Piot
3133,ICS,111,01,Traditions in Documentary Studies,"Traditions of documentary work seen through an interdisciplinary perspective, with an emphasis on twentieth-century practice. Introduces students to a range of documentary idioms and voices, including the work of photographers, filmmakers, oral historians, folklorists, musicologists, radio documentarians, and writers. Stresses aesthetic, scholarly, and ethical considerations involved in representing other people and cultures.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,40,12,28,0,40,Graded,Y,Wesley Hogan; Lauren Aimée Neefe; Sarah Adeline Soucek
3572,ICS,113,01,Introduction to Human Rights: Gateway for the Human Rights Certificate,"This is the Gateway course for the Human Rights Certificate. Students are introduced to the history, theory, practice of, and current issues in human rights. The course is interdisciplinary.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,25,25,0,0,25,Graded,Y,Robin Kirk
4994,ICS,118,01,Science and the Modern World: Introduction to the History of Science,"This course surveys the history of science from the sixteenth century through the present day. It addresses science not just as a body of knowledge and methods but as a cultural activity that has shaped and been shaped by modern global history. Topics will range across physical sciences, life sciences, earth and environmental sciences, and social sciences. This course takes a global perspective, with emphasis on parallels, differences, and interconnections among ways of knowing nature in different places and times, as well as the role of specific materials, environments, technologies, and practical problems in the development of modern science.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,24,17,7,0,24,Graded,Y,Evan Hepler-Smith
3610,ICS,126,01,American Indians Go Graphic,"Introductory-level American Indian Studies course that explores historic and contemporary Native Nation-centric topics through the medium of comic books and graphic novels. These topics include representation and racialization, differing forms of activism, economic development, and settler-colonial impacts.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,25,9,16,0,25,Graded,Y,Courtney Lewis
