class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
3603,ISS,172,01,The Anthropology of Design and User Experience (UX) Research,"The field of design and the burgeoning field of User Experience (UX) research has recently applied the methods anthropologists have used for over a century.The methods of cultural anthropology are distinctly aligned to ask questions about motivations, beliefs, values, and relationships within cultural systems through direct participant observation, surveys, focus groups, and archival research. Privileging critical listening, empathy, and perspective-taking, we try to discern why people do what they do, and apply these questions to human-centered design.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,45,42,3,0,45,Graded,Y,Lee D Baker
5287,ISS,198,01,Experimental Interface Design,"Class explores issues surrounding embodied approaches to interface design. Articulates methodology for generating new forms of human/computer interface; includes workshops, discussions, student presentations, critiques and group brainstorming sessions. Content related to biomimetics; haptic body knowledge; multi-modal sensing; physical computing; physical | digital relationships; networked relations; the potentials of virtual space and different qualities of space, both visual and sonic. Database potentials discussed and explored in service of developing new approaches to interface. Instructor consent required.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,12,3,0,15,Graded,Y,William Seaman
9835,ISS,206,01,Digital Imaging,Photoshop and Illustrator used to introduce single and serial images for print and web output. Consent of instructor required.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,8,6,2,0,8,Graded,Y,Augustus Wendell
5278,ISS,211,01,Animated Film: A History and Aesthetic,Evolution of animation from the philosophical 'toys' of the late eighteenth century to the major international entertainment form of today. Special focus on American animation as it evolved from inspired individuals like Emile Cohl and Winsor McCay to a full-blown industrial model allowing for the creation of the animated feature and contemporary special effects.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,25,21,4,0,25,Graded,Y,Casey Herbert
3996,ISS,250,01,Building Global Audiences,"Marketing and publicity are so important to audience building that, 20 years ago, expanding beyond local audiences usually couldn't be accomplished without huge advertising budgets. However, thanks to the Internet, you can build a global audience from your dorm room. This class explores how. Learn about social media, search engine optimization, virality, content marketing, growth hacking, and other digital audience building strategies. They're difficult to learn and time consuming to execute, so expect to struggle. We'll learn as much from our failures as we will from our successes as we discover what it takes to cultivate global awareness for an idea without ever leaving Durham.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,24,29,0,0,24,Graded,Y,Aaron Philip Dinin
4003,ISS,252,01,Learning to Fail,"Most people spend their lives afraid of failing. Yet, many of the world's most successful people failed numerous times on their paths toward success. The underlying question of this class is if failing is as antithetical to learning as we're taught to believe. To explore this question, we will test ways of using failure as a strategy for learning. We will experiment with failure to learn how it can make us better as we develop our skills as innovators, specifically focusing on the earliest stage of creativity: ideation. We will use failure through experimentation as a technique for problem definition and needs discovery which, in turn, will help us validate the quality of our ideas.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,18,21,0,0,18,Graded,Y,Aaron Philip Dinin
4007,ISS,253,01,Social Marketing: From Literary Celebrities to Instagram Influencers,"Typical Duke students spend hours each day using social media. You've surely heard the platforms described as 'revolutionary,' and you've also heard them described as 'time wasters.' What you probably haven't thought about is how similar they are to previous 'revolutionary' communications technologies like novels, newspapers, and even language itself. This course explores ways in which studying the masters of previous 'social' media technologies—the Shakespeares, Whitmans, and Eliots of the world—can help us understand how influencers on digital social media leverage the same platforms you use every day to market themselves, build their brands, and grow their audiences.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,40,39,1,0,40,Graded,Y,Aaron Philip Dinin
7096,ISS,265S,01,Introduction to Digital Feminism,"The aim of this course is to critically analyze digital culture from a feminist and gender studies perspective. We will address topics related to digital innovation and its history, unpacking and questioning them through the insights offered by genders studies analytical tools. Subjects such as the rise of the Silicon Valley, gaming culture, social media, algorithms, Artificial Intelligence, extraction of data applied to biotechnology, macroeconomic development of IT platforms and the impact of technology on ecology will be discussed starting from a current event or debate, to which we will give a historical, ethical, sociological, theoretical, literary or cinematographic perspective.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,17,1,0,18,Graded,Y,Lauren Rose Henschel; Rachel S Gelfand
8649,ISS,291,01,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8651,ISS,291,02,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8653,ISS,291,03,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8654,ISS,291,04,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8656,ISS,292,01,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies is required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8657,ISS,292,02,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies is required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8658,ISS,292,03,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies is required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8659,ISS,292,04,ISS Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies is required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8660,ISS,293,01,ISS Research Independent Study,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8661,ISS,293,02,ISS Research Independent Study,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8680,ISS,293,03,ISS Research Independent Study,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8663,ISS,293,04,ISS Research Independent Study,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
5371,ISS,306S,01,"Creative Cartography: Art and Science, Culture and Nature","Students will learn how maps and map-making have always existed in a contentious position between art and science, and between culture and nature. The course will combine discussions of readings on critical cartography, data visualization, and Historical GIS (HGIS) with hands-on tutorials using ArcGIS, Adobe Illustrator, and analog drawing. Labs and final projects will emphasize how the form of a map (and all its inherent presumptions of accuracy, reality, and precision) can be manipulated to make art that tells new stories about people, places and things that run counter to dominant narratives. Prior experience with vector-based design software and/or GIS is recommended, but not required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,14,1,0,15,Graded,Y,Edward Triplett
3084,ISS,351S,01,Digital Storytelling and Interactive Narrative,"Digital storytelling methodologies, theory, and practice. In-depth analysis of digital storytelling in various media forms and modes of production. Cultural impact of new media narratives. Exploration of digital storytelling affordances and approaches: text, video, audio, design, animation, and interactivity. Critical analysis of existing media and remediation of older media forms. Experimentation with non-linear, spatial, ludic, and hypermedia approaches. Questions of authorship, agency, authority, and collaboration in blogs, games, fan fiction, adaptations. Hands-on experience developing digital narratives and creating digital critiques. Analytical paper and regular crits.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,10,8,2,0,5,Graded,Y,Victoria E Szabo
3093,ISS,355S,01,Videogame Design and Critique,"Surveys history, art, technology, narrative, ethics, and design of interactive computer games. Games as systems of rules, games of emergence and progression, state machines. Flow, systems of pleasure, goals, rewards, reinforcement schedules, fictional and narrative elements of game worlds. Responses to immersive & interactive media; experience of gamified systems in diverse contexts. Social, artistic, and cultural effects of games: impact, harm, benefits. Team design and development of game-design storyboards and stand-alone games. Interplay between narrative, graphics, rule systems, and artificial intelligence in the creation of interactive games. Programming experience not required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,10,10,0,0,5,Graded,Y,Hilary N Huskey
3869,ISS,360,01,The History of the Book,"The history of the 'book' as physical object from its earliest forms (clay tablets, papyrus scrolls) through to texts in the digital age. Introduction to manuscript and early print culture in the West – scribes, scripts and book production. The role of the book in different cultures, and in intellectual history. Hands-on experience with, and study of materials in the Rubenstein Rare Book and Manuscript Library.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,20,21,0,0,20,Graded,Y,Jennifer C Woods
8682,ISS,391,01,Bass Connections in Information Science and Culture: Independent Study Project,"Bass Connections Information Science and Culture related, individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member affiliated with Bass Connections, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8665,ISS,391,02,Bass Connections in Information Science and Culture: Independent Study Project,"Bass Connections Information Science and Culture related, individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member affiliated with Bass Connections, resulting in an academic and/or artistic product. Consent of both the instructor and director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8666,ISS,392,01,Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Instructor consent required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8668,ISS,392,02,Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Instructor consent required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8670,ISS,392,03,Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Instructor consent required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8671,ISS,392,04,Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Instructor consent required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8673,ISS,392,05,Independent Study,"Individual non-research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Instructor consent required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
8675,ISS,393,01,Research Independent Study in Information Science + Studies,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
8676,ISS,393,02,Research Independent Study in Information Science + Studies,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
8678,ISS,393,03,Research Independent Study in Information Science + Studies,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
8681,ISS,393,04,Research Independent Study in Information Science + Studies,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
8683,ISS,393,05,Research Independent Study in Information Science + Studies,"Individual research directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
8635,ISS,394T,01,"Bass Connections Information, Society & Culture Research Team","Bass Connections Year-long Project Team. Topics vary depending on semester and section. Teams of undergraduate and graduate students will work with faculty to explore the evolution of society, and culture through the lens of information, using the latest computational methods to address pressing problems in new and creative ways. A team's work may run parallel with, or contribute to an on-going research project. Teams will participate in seminars, data collection and analysis, field work, and other learning experiences relevant to the project. This course requires a final paper, or product containing significant analysis, and interpretation. Instructor consent required.",PROJECT VOX/CANON IN AGE OF AI,0.5,TUT,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,4,11,0,0,Graded,N,Andrew Janiak; Elizabeth J Milewicz
