class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
6566,MATH,89S,01,First-Year Seminar,Topics vary each semester offered.,MATH AND MEDICINE,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,15,15,0,0,18,Graded,N,Marc Ryser
6535,MATH,105L,001,Laboratory Calculus and Functions I,"A study of functions with applications, and an introduction to differential calculus, with a laboratory component. Topics include a review of algebra and functions, mathematical modeling with elementary functions, rates of change, inverse functions, logarithms and exponential functions, the derivative, graphical interpretations of the derivative, optimization, related rates. Not open to students who have credit for Mathematics 21 or 111L(31L) or 121.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,25,23,2,0,45,Satisfactory/Unsatisfactory,N,Kevin Heinrich Dembski
6536,MATH,105L,002,Laboratory Calculus and Functions I,"A study of functions with applications, and an introduction to differential calculus, with a laboratory component. Topics include a review of algebra and functions, mathematical modeling with elementary functions, rates of change, inverse functions, logarithms and exponential functions, the derivative, graphical interpretations of the derivative, optimization, related rates. Not open to students who have credit for Mathematics 21 or 111L(31L) or 121.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,25,25,0,0,45,Satisfactory/Unsatisfactory,N,Kyle L Liss
6537,MATH,105L,01L,Laboratory Calculus and Functions I,"A study of functions with applications, and an introduction to differential calculus, with a laboratory component. Topics include a review of algebra and functions, mathematical modeling with elementary functions, rates of change, inverse functions, logarithms and exponential functions, the derivative, graphical interpretations of the derivative, optimization, related rates. Not open to students who have credit for Mathematics 21 or 111L(31L) or 121.",,0,LAB,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,20,21,0,0,30,Satisfactory/Unsatisfactory,N,Kevin Heinrich Dembski
6539,MATH,105L,03L,Laboratory Calculus and Functions I,"A study of functions with applications, and an introduction to differential calculus, with a laboratory component. Topics include a review of algebra and functions, mathematical modeling with elementary functions, rates of change, inverse functions, logarithms and exponential functions, the derivative, graphical interpretations of the derivative, optimization, related rates. Not open to students who have credit for Mathematics 21 or 111L(31L) or 121.",,0,LAB,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,25,27,0,0,30,Satisfactory/Unsatisfactory,N,Kyle L Liss
6540,MATH,106L,001,Laboratory Calculus and Functions II,"A continuation of Mathematics 105L. Topics include zeros of functions, antidifferentiation, initial value problems, differential equations, Euler's method, slope fields, review of trigonometry, modeling with trigonometric functions, Riemann sums, the Fundamental Theorem of Calculus, integration by substitution, integration by parts, separation of variables, systems of differential equations. Students who complete this course can enroll in Mathematics 112L. Prerequisite: Mathematics 105L. Not open to students who have credit for Mathematics 21 or 111L or 121.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,36,38,0,0,35,Satisfactory/Unsatisfactory,N,Rann Bar-on
6541,MATH,106L,002,Laboratory Calculus and Functions II,"A continuation of Mathematics 105L. Topics include zeros of functions, antidifferentiation, initial value problems, differential equations, Euler's method, slope fields, review of trigonometry, modeling with trigonometric functions, Riemann sums, the Fundamental Theorem of Calculus, integration by substitution, integration by parts, separation of variables, systems of differential equations. Students who complete this course can enroll in Mathematics 112L. Prerequisite: Mathematics 105L. Not open to students who have credit for Mathematics 21 or 111L or 121.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,36,31,5,0,35,Satisfactory/Unsatisfactory,N,Rann Bar-on
6542,MATH,106L,01L,Laboratory Calculus and Functions II,"A continuation of Mathematics 105L. Topics include zeros of functions, antidifferentiation, initial value problems, differential equations, Euler's method, slope fields, review of trigonometry, modeling with trigonometric functions, Riemann sums, the Fundamental Theorem of Calculus, integration by substitution, integration by parts, separation of variables, systems of differential equations. Students who complete this course can enroll in Mathematics 112L. Prerequisite: Mathematics 105L. Not open to students who have credit for Mathematics 21 or 111L or 121.",,0,LAB,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,24,25,0,0,30,Satisfactory/Unsatisfactory,N,Rann Bar-on
6543,MATH,106L,02L,Laboratory Calculus and Functions II,"A continuation of Mathematics 105L. Topics include zeros of functions, antidifferentiation, initial value problems, differential equations, Euler's method, slope fields, review of trigonometry, modeling with trigonometric functions, Riemann sums, the Fundamental Theorem of Calculus, integration by substitution, integration by parts, separation of variables, systems of differential equations. Students who complete this course can enroll in Mathematics 112L. Prerequisite: Mathematics 105L. Not open to students who have credit for Mathematics 21 or 111L or 121.",,0,LAB,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,24,27,0,0,30,Satisfactory/Unsatisfactory,N,Rann Bar-on
6544,MATH,106L,03L,Laboratory Calculus and Functions II,"A continuation of Mathematics 105L. Topics include zeros of functions, antidifferentiation, initial value problems, differential equations, Euler's method, slope fields, review of trigonometry, modeling with trigonometric functions, Riemann sums, the Fundamental Theorem of Calculus, integration by substitution, integration by parts, separation of variables, systems of differential equations. Students who complete this course can enroll in Mathematics 112L. Prerequisite: Mathematics 105L. Not open to students who have credit for Mathematics 21 or 111L or 121.",,0,LAB,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,24,17,7,0,30,Satisfactory/Unsatisfactory,N,Rann Bar-on
