class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
2684,MGM,293,01,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
2685,MGM,293,02,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
2686,MGM,293,03,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
2687,MGM,293,04,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
2688,MGM,293,05,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
2689,MGM,293,06,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
2690,MGM,293,07,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,1,1,0,0,1,Graded,N,John Perfect
2691,MGM,293,08,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,1,2,0,0,1,Graded,N,Christopher Holley
2692,MGM,293,09,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,1,1,0,0,1,Graded,N,Micah A Luftig
2693,MGM,293,10,Research Independent Study I,Independent Research in a field of special interest under the supervision of a faculty member. Open to sophomores with consent of supervising instructor required.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,1,1,0,0,1,Graded,N,David M Tobin
7067,MGM,370,01,Pharmacogenomics and Personalized Medicine,"Course discusses personalized drug development for several diseases and examines how genetic variations in enzymes, receptors, and transporters involved in pharmacokinetics and pharmacodynamics affect drug response. Students are introduced to modern molecular techniques (DNA & RNA sequencing, gene expression-DNA microarrays, proteomics, and metabolomics) used in the development of personalized medicine. Class participation includes presentation and discussion of current journal articles highlighting advances in pharmacogenomics and personalized medicine. Open to juniors and seniors. Highly recommended: Biology 201L or 201LA.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,25,18,7,0,25,Graded,Y,Susanne B Haga
2680,MGM,552,01,Virology,"Molecular biology of mammalian viruses, with emphasis on mechanisms of replication, virus-host interactions, viral pathogenicity, and the relationship of virus infection to neoplasia.",,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,15,12,3,0,15,Graded,Y,Nicholas Heaton
2682,MGM,582,01,Microbial Pathogenesis,Modern molecular genetic approaches to understanding the pathogenic bacteria and fungi. Underlying mechanisms of pathogenesis and host-parasite relationships that contribute to the infectious disease process.,,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,22,19,3,0,22,Graded,N,Dennis Ko
2665,MGM,593,01,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,1,0,0,1,Graded,N,John Perfect
2666,MGM,593,02,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,1,0,0,1,Graded,N,Joseph Heitman
2667,MGM,593,03,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,1,0,0,1,Graded,N,Gregory Taylor
2668,MGM,593,04,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,1,0,0,1,Graded,N,Asiya -- Gusa
2669,MGM,593,05,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,1,0,0,1,Graded,N,Micah A Luftig
2670,MGM,593,06,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,2,0,0,1,Graded,N,John F. Rawls
2671,MGM,593,07,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,1,0,0,1,Graded,N,Dong Yan
2672,MGM,593,08,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,1,0,0,1,Graded,N,Asiya -- Gusa; Departmental Staff
2673,MGM,593,09,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,1,0,0,1,Graded,N,Dennis Ko
2674,MGM,593,10,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
2675,MGM,593,11,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
2676,MGM,593,12,Research Independent Study,Independent research in Molecular Genetics and Microbiology.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,1,0,1,0,1,Graded,N,Departmental Staff
