class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4921,PHYSICS,121D,01D,General Physics I-A (DIS),Discussion component for Physics 121L,,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,35,29,6,0,35,Unattached Labs,N,Robert G Brown
4922,PHYSICS,121D,02D,General Physics I-A (DIS),Discussion component for Physics 121L,,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,35,35,0,0,35,Unattached Labs,N,Robert G Brown
4919,PHYSICS,121L,001,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,35,32,3,0,35,Graded,N,Robert G Brown
4920,PHYSICS,121L,002,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,35,32,3,0,35,Graded,N,Robert G Brown
4923,PHYSICS,121L9,01L,General Physics I-A (LAB),Lab component for Physics 121L.,,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,35,34,1,0,35,Unattached Labs,N,Derek P Leadbetter; Ken Alan McKenzie; Robert G Brown
4924,PHYSICS,121L9,02L,General Physics I-A (LAB),Lab component for Physics 121L.,,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,35,30,5,0,35,Unattached Labs,N,Derek P Leadbetter; Ken Alan McKenzie; Robert G Brown
4925,PHYSICS,122DL,001,General Physics II - Electricity and Magnetism,"Second semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: electric fields, circuits, magnetic fields, Maxwell's equations, electromagnetic waves, and geometric optics and optical instruments. The course emphasizes fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through mathematical models and data analysis. Relevant mathematics skills are taught and practiced using dedicated modules. Physics 122 includes lecture, lab, and discussion components. Not open to students having credit for Physics152L, 153L, 162D, or equivalent. Prerequisites: Physics 121L, 151L, 161D, or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,150,124,26,0,150,Graded,N,Ashutosh V Kotwal
4926,PHYSICS,122DL,01D,General Physics II - Electricity and Magnetism,"Second semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: electric fields, circuits, magnetic fields, Maxwell's equations, electromagnetic waves, and geometric optics and optical instruments. The course emphasizes fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through mathematical models and data analysis. Relevant mathematics skills are taught and practiced using dedicated modules. Physics 122 includes lecture, lab, and discussion components. Not open to students having credit for Physics152L, 153L, 162D, or equivalent. Prerequisites: Physics 121L, 151L, 161D, or equivalent.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,24,26,0,0,24,Graded,N,Ashutosh V Kotwal; Joshua E Socolar
4927,PHYSICS,122DL,01L,General Physics II - Electricity and Magnetism,"Second semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: electric fields, circuits, magnetic fields, Maxwell's equations, electromagnetic waves, and geometric optics and optical instruments. The course emphasizes fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through mathematical models and data analysis. Relevant mathematics skills are taught and practiced using dedicated modules. Physics 122 includes lecture, lab, and discussion components. Not open to students having credit for Physics152L, 153L, 162D, or equivalent. Prerequisites: Physics 121L, 151L, 161D, or equivalent.",,0,LAB,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,24,21,3,0,24,Graded,N,Derek P Leadbetter; Ken Alan McKenzie
4928,PHYSICS,122DL,02D,General Physics II - Electricity and Magnetism,"Second semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: electric fields, circuits, magnetic fields, Maxwell's equations, electromagnetic waves, and geometric optics and optical instruments. The course emphasizes fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through mathematical models and data analysis. Relevant mathematics skills are taught and practiced using dedicated modules. Physics 122 includes lecture, lab, and discussion components. Not open to students having credit for Physics152L, 153L, 162D, or equivalent. Prerequisites: Physics 121L, 151L, 161D, or equivalent.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,24,22,2,0,24,Graded,N,Ashutosh V Kotwal; Norbert Matthias Linke
