class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
7132,RELIGION,140,01,Judaism,Introduction to Judaic civilization from its origins to modern times.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,8,7,0,15,Graded,Y,Daniel M Herskowitz
7134,RELIGION,150,01,Christianity,"Introduction to Christian doctrine, ritual, social organization and ethics in the past and present.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,20,22,0,0,20,Graded,Y,Ronald Rittgers
4962,RELIGION,164S,01,"Gateway Seminar - Antisemitism: Ethnicity, Race, Religion, Culture","Focuses on selected anti-Judaic and antisemitic episodes from ancient antiquity through modern times, paying attention to both antisemitic texts and events. It evaluates competing theoretical frameworks for understanding antisemitism as ethnic, racial, religious and cultural phenomenon. Can antisemitism be understood as part of the history of racism or of other forms of ethnic hatred? Why were Jews so often target of hatred? How did both Jews and antisemites view their relations with each other? How do historians understand them? If there is limited continuity among antisemitic episodes, how can the prevalence and repetitiveness of antisemitism be explained?",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,13,11,2,0,13,Graded,Y,Malachi H Hacohen
7172,RELIGION,202,01,Psychedelic Religions,"This course aims to investigate the long history of the relationship between religion and drugs, from prehistoric to contemporary times, when psychedelics are again considered the 'new frontier' of knowledge of mind and soul. In doing so, this course also moves the study of religion to religions beyond Christianity, Judaism, Islam, Buddhism, and Hinduism, to investigate Indigenous religions in South, Central, and North America.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,21,24,0,0,21,Graded,N,Larissa S Carneiro; Brogan Cruse Hannon
3866,RELIGION,208,01,Ancient Myth,"Myths are humanity's longest-lasting and most powerful stories. They shape our understanding of transitions and crises, and explore the boundaries between right and wrong, life and death, and the natural and the supernatural. They can also be playful, exuberant, and highly entertaining. This course introduces students to the myths of Greece and Rome, with comparative material drawn from the Hebrew Bible and other ancient texts. Throughout the course we will also think about the role of mythology today, and the way we use stories to come to terms with ourselves and our world.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,40,20,20,0,40,Graded,Y,Sabina Isabella Sabat; Catharine Judson
7169,RELIGION,222,01,Selected Sanskrit Readings,"This is a reading course building on a prior knowledge of Sanskrit grammar to introduce the skills needed for reading the varieties of different kinds of texts found in Sanskrit literature including basic scriptural texts in the aphoristic 'sutra' style, more expanded Epic or lyric styles of narrative and devotional poetry, and the various protocols to be mastered for reading scholastic commentaries. The course has as a prerequisite a basic and overall knowledge of Sanskrit grammar. Recommended Prerequisite: Religion 107 & 108, or Sanskrit 101 & 102.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,4,11,0,15,Graded,N,John R Freeman
7136,RELIGION,237,01,Religion in American Life,"A historical survey, with emphasis on the ways that religious experiences, beliefs, and traditions have found expression in religious communities and institutions, and in American public life.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,40,20,20,0,40,Graded,Y,Andrew Thomas Coates
8521,RELIGION,242S,01,Jihad: Of the Self and the Sword,"Philosophies of jihad over time from the early Muslim community to contemporary theories of jihad. Looks at jihad as armed struggle, but also focuses on the spiritual dimensions of jihad as a struggle within the self. Explores conceptions of jihad as intellectual struggle known as ijtihad. Revival of the concept of jihad in the contemporary period for the confrontation with colonialism, modernity, and secularism. Examines key theorists of jihad like al-Maududi in India/Pakistan, Hasan al-Banna & Sayyid Qutb in Egypt, Ali Shariati & Ayatollah Ruhollah Khomeini in Iran, and Frantz Fanon in Algeria. Examines how the Black Power movement used jihad to fight for racial justice in the West, and how women interpret jihad, specifically as a struggle for gender justice.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,4,14,0,18,Graded,Y,Ellen McLarney
7173,RELIGION,249,01,Religion and Sport,This course explores the many ways in which sports converge with (and diverge from) religion. Lecture version to Religion 249S.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,42,44,0,0,42,Graded,N,Larissa S Carneiro
7174,RELIGION,257S,01,Understanding Chinese Religions,"In this course, we examine the major religious traditions in China today – Confucianism, Buddhism, Daoism, Christianity, Islam, and other religious traditions – through both historical and ethnographic case studies. By focusing on rituals and beliefs related to everyday life experiences, we gain an understanding of Chinese religions through both historical contexts and contemporary developments. We also consider what it means to be religious in East Asia in the 21st century. Students in this course are encouraged to think comparatively, to write analytically, and to learn how to discuss accounts of religious life with a sociological as well as historical imagination.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,6,12,0,18,Graded,Y,Anna X Sun
7151,RELIGION,261,01,From History to Fantasy: Medieval Religions in Film & Fiction,"Explores the intersection of modern popular culture and medieval religious culture. Deep dive into how modern creators of mass entertainment use common notions of medieval faith, power, race, sexualities and violence to capture and hold our interest, teach us lessons about ourselves, and sell products. How do our ideas of faith, sexuality, race and power inspire or constrain the fiction we create about the past? What impact does this have on consumers? Monks, nuns, knights, crusades, secret societies, suffragists, alt-right, plague. Modern novels, commentaries, history, medieval texts, neurobiology, TV, films, ads, games, memes, clubs. Read, discuss, write, research.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,35,28,7,0,35,Graded,Y,Katharine Dubois
5793,RELIGION,262,01,"Dante's Divine Comedy: Hell, Purgatory and Paradise","A voyage through the three otherworldly places of Dante's philosophical poem (Hell, Purgatory, Paradise) whose transformation of human actions into an ordered ethical system continues to captivate readers.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,60,28,32,0,60,Graded,Y,Martin Eisner; -
7138,RELIGION,268,01,Religion and Film,"A study of the relationship between motion pictures and religion. Focus on the comparative portrayal of organized religions; expressions of religious life; and religious topics, such as God, evil and morality, in both Western and non-Western films in which contemporary artists and intellectuals explore the challenges of modernity.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,40,40,0,0,40,Graded,Y,Andrew Thomas Coates; Claire Rostov
7139,RELIGION,268,02,Religion and Film,"A study of the relationship between motion pictures and religion. Focus on the comparative portrayal of organized religions; expressions of religious life; and religious topics, such as God, evil and morality, in both Western and non-Western films in which contemporary artists and intellectuals explore the challenges of modernity.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,40,39,1,0,40,Graded,Y,Andrew Thomas Coates; Briana Lee Grenert
5207,RELIGION,283,01,History and Culture of Iran,"A multi-disciplinary approach to Iran and Persian culture. Covers history, religion, politics, literature, music, and cinema. Focuses on the developments in Iran leading up to and after the 1979 revolution. Does not require any knowledge of Persian or previous background.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,10,8,0,18,Graded,Y,Omid Safi
7170,RELIGION,318S,01,Asian Religions in Film: Knowledge of the Other,"Through analyzing films and historical cases, this course asks fundamental questions about religion in global age: How do we understand religions that seem very different from our own? How do we relate to people from different religious traditions, often treated as the 'Other'? To answer these questions, we address various conceptualizations of the so-called 'Other.' Hegel, de Beauvoir, Said, and Iwamura lead the way in theoretical discussion, touching on issues in philosophy, feminist theory, and postcolonial theory. Films are examined to show the diverse ways Asian religions are lived and transformed in encounters with the West. This course aims to reach a new understanding of not only Asian religions, but also of religion itself as ever-changing categories of knowledge and experience.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,11,7,0,18,Graded,Y,Anna X Sun
7149,RELIGION,323S,01,Buddhist Meditation: Cultivation Practices and Psychology,Buddhist paths and techniques of self-transformation in premodern and modern Buddhist cultures. Conceptions of the psychophysical person and goals of Buddhist practice assumed by these meditative techniques. Reinterpretation and modification of traditional meditation practices in contemporary Buddhist societies. Students who took this course as an 89S First Year Seminar are not eligible to enroll.,,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,17,1,0,18,Graded,Y,Richard Jaffe
7158,RELIGION,360,01,Jesus in Film,"Studies a variety of cinematic and television films that focus on Jesus; compares and contrasts documentary approaches with dramatic depictions; views the films alongside scholarship on Christian origins and asks what these films reveal about their creators, their social locations and their source material; investigates the reception of these films in both academic and popular culture.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,40,15,25,0,40,Graded,N,Mark Goodacre
7168,RELIGION,361,01,The End of The World: Apocalyptic Arguments from Antiquity to the Present Day,"Traces end-time arguments, predictions, and prophecies from the second-century BCE until the present day. Why are prophecies of doom so compelling? Why must time come to a stop? What happens after the world's end? Who decides? Close study of the role of apocalyptic eschatology in Judaism, Christianity, and Islam across time and place provides a lens for interpreting more recent apocalyptic movements, texts, claims, and artistic productions.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,40,2,38,0,40,Graded,Y,Daniel M Herskowitz
7147,RELIGION,368S,01,The Theology and Fiction of C. S. Lewis,"A study of texts of cultural criticism, fantasy fiction, and theological and moral argument by C. S. Lewis; their dependence on the cultural situation in which they were deployed; an engagement with the interaction of magic, science, and religion; and the reasons for their continuing force and wide appeal.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,17,1,0,18,Graded,N,Nicholas Lee White
5215,RELIGION,381,01,Rumi: Mysticism and Poetry,"Rumi, the iconic poet of Persian Islamic tradition; course examines his writings, context, and legacy. Involves students' research. Encourages students to cultivate critical skills by assessing relevant scholarship and developing multidisciplinary methodologies. All readings in English; no previous coursework or command of Persian/Arabic required.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,7,11,0,18,Graded,Y,Omid Safi
8053,RELIGION,402,01,Philosophy of Religion,"Philosophy of religion is a critical examination of metaphysics and rational justification for religious claims, as well as philosophical exploration of faith, religious experience, and the distinctive features of religious discourse. The course explores the nature of God's attributes; arguments for God's existence; the problem of evil; religious epistemology; religious language; God, science, and naturalism; faith and revelation; morality and religion; death and afterlife; miracles; and religious diversity. We compare the advantages and disadvantages of four methods of practicing the philosophy of religion: analytic, Wittgensteinian, continental, and feminist.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,24,7,17,0,24,Graded,Y,Mohsen Kadivar
7816,RELIGION,481,01,"Modern Catholic Writing: Faith, Witness, Ecology","This course surveys literature that is 'Catholic' in a broad sense of the term that was written between the 16th century and the present. Three themes are explored: 1.) the relationship of place and cultural location to writing, the role of faith and witnessing to the faith in its interplay with the autonomy and creativity of the artist, and 3.) the question of the land and ecological stewardship.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,15,2,13,0,15,Graded,Y,Peter J Casarella; Brian Chu
9594,RELIGION,494,01,Honors Research,"Continuation of, and required for credit for, Religion 493. Prerequisite: Religion 493. Consent of the director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,1,1,0,0,1,Graded,N,David Ashley Morgan
9595,RELIGION,494,02,Honors Research,"Continuation of, and required for credit for, Religion 493. Prerequisite: Religion 493. Consent of the director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,1,0,1,0,1,Graded,N,Marc Zvi Brettler
9596,RELIGION,494,03,Honors Research,"Continuation of, and required for credit for, Religion 493. Prerequisite: Religion 493. Consent of the director of undergraduate studies required.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,1,1,0,0,1,Graded,N,Mohsen Kadivar
7165,RELIGION,581S,01,"Pan-Asianism, Religion, and the State in Modern Asia",An examination of the interaction between religious institutions and the state in modern Asia. The role of religion in the formation of pan-Asian identity in Asia also will be investigated.,,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,16,6,10,0,16,Graded,Y,Richard Jaffe
7148,RELIGION,630-11,01,Exegesis of the Greek New Testament II: The Synoptic Gospels,"Concentration on the 'classical' methods of studying the first three gospels: source criticism, form criticism, and redaction criticism. Some attention to textual criticism. Students expected to become proficient in using the Greek synopsis. Prerequisite: two years of Greek or the equivalent. Consent of instructor required.",,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,20,0,20,0,20,Graded,N,Mark Goodacre
10076,RELIGION,772S,01,Cross-Cultural Encounters,"The dynamics of cross-cultural interaction have actively shaped the world for many centuries now. This class explores some of the religious, social, and economic forces that have fostered increasingly global contacts in history. In particular, it examines how centrally located and cosmopolitan Muslims played a critical role in connecting people of far-flung regions, cultures, and religions with one another. It surveys the myriad encounters of Muslims, Buddhists, Confucianists, Hindus, Jews, Christians and more across Afro-Eurasia and into the Americas. How did religious networks, processes and events foster historic exchanges of ideas, practices, and commodities across the world?",,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,8,1,7,0,8,Graded,Y,Mona F Hassan
8761,RELIGION,782S,01,Modern Christianity Outside The West,"In 1900, 80 percent of the world's Christians were in Europe and North America. One hundred years later, 60 percent of them live in the global south and east. This course will not survey the institutional growth of Christianity throughout the non-Western world. It focuses instead on some of the central themes and patterns in the rise of global Christianity, including its tendency toward charismatic exuberance, its appeal as a modernizing force, and its capacity to inspire political reform and to mobilize the masses for social change.",,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,3,0,3,0,3,Graded,N,Xi Lian
8246,RELIGION,802S,01,Atheisms before Secularism from Socrates to Spinoza,"Examines atheism as a philosophical, theological, material, and political category across premodern Europe and the Middle East.",,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,12,2,10,0,12,Graded,Y,Andrew P Griebeler; Jennifer W Knust
7157,RELIGION,809,01,Selected Sanskrit Readings,"This is a reading course building on a prior knowledge of Sanskrit grammar to introduce the skills needed for reading the varieties of different kinds of texts found in Sanskrit literature including basic scriptural texts in the aphoristic 'sutra' style, more expanded Epic or lyric styles of narrative and devotional poetry, and the various protocols to be mastered for reading scholastic commentaries. The course has as a prerequisite a basic and overall knowledge of Sanskrit grammar. Prerequisite: Sanskrit 702/Religion 708.",,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,15,1,14,0,15,Graded,Y,John R Freeman
7164,RELIGION,890S,03,Special Topics in Religion,"Graduate level special topics in religion. Topics may include Early Christianity and Deuteronomy, among others.",ENCHANTMENT,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,10,6,4,0,10,Graded,N,David Ashley Morgan
10667,RELIGION,890S,04,Special Topics in Religion,"Graduate level special topics in religion. Topics may include Early Christianity and Deuteronomy, among others.",SEMINR ON CHINESE RELIGIONS,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Closed,1,1,0,0,1,Graded,N,Anna X Sun
7161,RELIGION,934S,01,Synoptic Gospels in Greek,"Critical, historical approach to the Synoptic Gospels, with a special focus on the Synoptic Problem. In-depth examination of the history of the Synoptic Problem; detailed study of contemporary approaches and solutions to the Synoptic Problem; discussion of the role played by Synoptic Problem studies in New Testament scholarship, including Historical Jesus studies, redaction-criticism, textual criticism and literary-critical approaches. Prerequisite: two years of Greek or the equivalent. Doctoral students only.",,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/16/2025,Open,10,8,2,0,10,Graded,N,Mark Goodacre
