class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
6540,AMES,107,01,Introduction to East Asian Cultures: Narrating East Asia through Word and Image,"The study of East Asia makes sense not necessarily as a study of shared canons or of 'civilizational origins' or, shared 'Asian values': rather, modern East Asia can be productively studied in terms of shared historical, political, cultural concerns; the influx of new ideologies; the processes of 'becoming modern'; and of course, the positioning of East Asian area studies in the academy and the larger world. In this introductory course, we will be looking at 'Global East Asia' and its diasporas through all manners of storytelling, focusing on word-image narratives: Asian traditions of manga, manhwa, manhua, as well as graphic novels.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,15,3,0,18,Graded,Y,Guo-Juin Hong
7364,AMES,114,01,Buddhism,"Introduction to Buddhist texts, beliefs, rituals, and ethics in the past and present.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,30,28,2,0,30,Graded,Y,Richard Jaffe
9228,AMES,120CN,01,Asian Foodways in Migration,"Course examines the foodways and food cultures of East Asia and global Asian diasporic communities. Why does food define us, beyond basic survival? What can food tell us about individuals, communities, and cultural flows across space and time? Topics include: food as environmental and bodily processes; food as language, history, cultural memory, religious practice, identity and national markers; food as history of plenitude and hunger; the discourse of food as danger (from foreignness to cannibalism to zoonotic contagion). Course aims to introduce different disciplinary approaches and methodologies through the focus on foodways. No prior study of Asian languages or cultures is required. Part of 'How do Asian cultural heritages circulate?' first-year Constellation.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,23,23,0,0,23,Graded,Y,Eileen Chow
8812,AMES,121CN,01,Sex and Power in Asian Diasporas,"Focusing on the modern and contemporary period, this course examines the ways that structures of sex and power shape the experience of global Asian (and particularly East Asian) diasporic communities. Emphasis on the ways that the state and an array of religious, educational, medical, and other institutions shape attitudes toward and practices of gender and sexuality. Literature, cinema, and other forms of cultural production given particular attention.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,23,19,4,0,23,Graded,Y,Carlos Rojas
6510,AMES,125,01,Egypt: Mother of the World,A cultural history of modern Egypt: the Arab renaissance known as the Nahda; Islamic revival and reform; Egyptian cinema and popular culture; the women's movement in Egypt; British and French colonialism and orientalism; Muhammad Ali and the Ottoman Empire; Arab nationalism and Gamal Abd al-Nasser; Camp David and Anwar Sadat; and the Arab Spring.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,9,9,0,18,Graded,N,Ellen McLarney
6985,AMES,127,01,The Modern Middle East,The historical development of the Middle East in the nineteenth and twentieth centuries. The emergence of nation-states in the region following World War I.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,48,14,34,0,48,Graded,Y,Abram Wilson Smith
10772,AMES,144,01,Introduction to Israeli Culture,"Surveys of Israeli culture from the late 1940s to the present. Examines Israeli fiction, cinema, popular music, visual culture. Major themes include ethnicity, the Israeli-Palestinian conflict, class, the Jewish Holocaust, religion and secularism. Legal and economic aspects of culture.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,4,14,0,18,Graded,Y,Reut Ben-yaakov
11276,AMES,145,02,Chinese Music Ensemble,Instructor consent required.,,0.5,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,3,12,0,15,Satisfactory/Unsatisfactory,Y,Jennifer Chang
9336,AMES,148CN,01,Global Palestine,"Why is Palestine addressed as complicated in dominant Western popular and scholarly historical accounts? How are gender and sexuality used to argue for settler-colonialism? How have Palestinians situated their collective project since the early twentieth century? Why is Palestine a focus of solidarity among Indigenous and other peoples around the world? The course grounds students in an understanding of Global Palestine using original documents, scholarship, and creative sources, and includes guests. Evaluation is based on preparation, attendance and participation, individual and team analytical writing and creative projects, and respect for the dignity and worth of every class member.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,6,12,0,18,Graded,Y,Frances S Hasso
8798,AMES,152CNS,01,"Visualizing Minor Stories: Archives, Museums, Histories","Explores local/ global archives to document distant, marginal or invisible histories. Guided research in Duke's collections and other museums, galleries, and digital collections. Examines injustice, liberation, and empowerment through knowledge production. Trace historical divisions and produce related research and creative projects. Variable topics like travel and missionary writings; wartime and military records of American wars in Asia and the Middle East; Afro-Asian solidarity; global and American civil rights; imperialism and the global cold war, global diasporas including Asian/American and other minority movements. Explore variable forms: oral histories, film and photography, digital exhibitions, and creative works.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,13,5,0,18,Graded,Y,Aimee Kwon
