class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
6406,BIOLOGY,111CN,01,"The Quest for a Fountain of Youth: The What, Why and How of Human Aging","This course will focus on advancements in our understanding of aging and how these insights are changing our perceptions of the inevitability of decline at the end of the human lifespan. Focus on research in cellular and molecular mechanisms of aging in model organisms and applications to human aging. Topics including natural selection and aging, centenarians and longevity genes, calorie restriction, the epigenome and aging. Ethical questions such as the value of doubling human life span and equal access to innovations will be addressed. Class time will be a mix of lectures, student-led presentations and writing assignments.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,20,20,0,0,20,Graded,N,Alison Hill
6402,BIOLOGY,150,01,Teaching Internship in Biology,"Under supervision of a faculty member, the teaching intern will assist undergraduate students with learning inside and/or outside the classroom. Responsibilities will vary depending on the course but may include performing demonstrations, facilitating group work, building curricular materials, and providing feedback. Interns will meet routinely with faculty supervisor. Required periodic reflection assignments.",,0.5,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,16,16,0,0,16,Satisfactory/Unsatisfactory,Y,Kelly A Hogan
6403,BIOLOGY,150,02,Teaching Internship in Biology,"Under supervision of a faculty member, the teaching intern will assist undergraduate students with learning inside and/or outside the classroom. Responsibilities will vary depending on the course but may include performing demonstrations, facilitating group work, building curricular materials, and providing feedback. Interns will meet routinely with faculty supervisor. Required periodic reflection assignments.",,0.5,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,6,4,0,10,Satisfactory/Unsatisfactory,Y,Lindsay Rose Saunders
6393,BIOLOGY,189FS,01,Chronic Stress and Health,"The impact of childhood adversity, trauma, and racism on health via epigenetic changes. The lack of a genetic basis for race in humans to explain health inequalities. The impact of historical, current, and medical racism on health today. How adversity and stress is codified in biological systems including increased inflammation; changes in gene expression; alterations in immune function; placental functioning; telomere shortening, physiological 'weathering'; and possible changes in life history. Research on how to build physiological and epigenetic resiliency.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,16,2,0,18,Graded,Y,Sherryl A Broverman
6349,BIOLOGY,201L,001,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,272,272,0,0,224,Graded,N,Anyimilehidi Mazo-Vargas; Chris Francis Shreve; Kelly A Hogan; -; -; -; -; -
6350,BIOLOGY,201L,01L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,16,16,0,0,16,Graded,N,Chris Francis Shreve; -; -; -; -; -
6351,BIOLOGY,201L,02L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,16,16,0,0,16,Graded,N,Chris Francis Shreve; -; -; -; -; -
6352,BIOLOGY,201L,03L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,16,16,0,0,16,Graded,N,Chris Francis Shreve; -; -; -; -; -
6353,BIOLOGY,201L,04L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,16,16,0,0,16,Graded,N,Chris Francis Shreve; -; -; -; -; -
6354,BIOLOGY,201L,05L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,16,16,0,0,16,Graded,N,Chris Francis Shreve; -; -; -; -; -
