class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
8486,CBB,510S,01,Computational Biology Seminar,"A weekly series of seminars on topics in computational biology presented by invited speakers, Duke faculty and CBB doctoral and certificate students. This course is required for all first and second year CBB students. In addition, all certificate students must register and receive credit for the seminar for four semesters",,1,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,30,23,7,0,30,Credit / No Credit,N,Elizabeth Hauser; -; -
8487,CBB,511,01,Journal Club,A weekly series of discussions led by students that focus on current topics in computational biology. Topics of discussion may come from recent or seminal publications in computational biology or from research interests currently being pursued by students. First and second year CBB doctoral and certificate students are strongly encouraged to attend as well as any student interested in learning more about the new field of computational biology,,1,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,30,17,13,0,30,Graded,N,Elizabeth Hauser; -; -
8485,CBB,520,01,Genome Tools and Technologies,"This course introduces the laboratory and computational methodologies for genetic and protein sequencing, mapping and expression measurement.",,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,48,24,24,0,48,Graded,N,Fred Dietrich; -; -; -
9239,CBB,526,01,Data Science,"Data science is 'the science of planning for, acquisition, management, analysis of, and inference from data'. This course systematically covers the concepts, ideas, tools, and example applications of data science in an end-to-end manner. We emphasize data-driven thinking, data processing and analytics, and extracting actionable values from data. We focus on the interactions between data and applications, data modeling, and data processing, data analytics, and the essential algorithms and tools. Prerequisites: A statistics course (Statistics 111 or higher), data structures and algorithms (Computer Science 201), and relational databases (Computer Science216 or 316).",,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,80,62,18,0,80,Graded,Y,Tananun Songdechakraiwut
5066,CBB,562,01,High-Resolution Cryo-Electron Microscopy Image Analysis,"Cryo-electron microscopy (EM) is a Nobel Prize winning technique to determine the structure of proteins and protein complexes at molecular resolution. Computational imaging aspects of cryo-EM, including image enhancement, reconstruction, classification and burst movie processing used to determine the high-resolution structure of proteins in 3D. Overview of the structure determination pipeline, focusing primarily on the data analysis aspects of the technique including the application of machine learning and deep learning strategies to extract atomic resolution information from millions of noisy images of proteins. Recommended prerequisite: Programming experience.",,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,50,19,31,0,50,Graded,Y,Alberto Bartesaghi
8371,CBB,574,01,"Modeling and Engineering Gene Circuits (GE, MC)","This course discusses modeling and engineering gene circuits, such as prokaryotic gene expression, cell signaling dynamics, cell-cell communication, pattern formation, stochastic dynamics in cellular networks and its control by feedback or feedforward regulation, and cellular information processing. The theme is the application of modeling to explore 'design principles' of cellular networks, and strategies to engineer such networks. Students need to define an appropriate modeling project. At the end of the course, they're required to write up their results and interpretation in a research-paper style report and give an oral presentation. Prerequisites: Biomedical Engineering 260L or consent of instructor.",,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,18,18,0,0,18,Graded,Y,Lingchong You
9046,CBB,575,01,Quantitative Methods for Biomedical Studies,"Quantitative methods for analyzing biomedical data. Data generation and related domain knowledge, data visualization and pre-processing tools, scientific problem formulation and data modeling, quantitative methods selection and application, pipeline programming and coding, and result checking and visualization. The interdisciplinary approach prepares students in math, statistics, biostatistics, computer science, and engineering for careers in biomedical data science. Recommended prerequisites: Multivariate calculus, linear algebra, undergraduate-level probability, undergraduate-level statistics, and R programming.",,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,22,11,11,0,18,Graded,Y,-; -; -; -; Jichun Xie
8488,CBB,591,01,Independent Study,Faculty directed experimental or theoretical research.,,1 - 9,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,30,5,25,0,30,Credit / No Credit,N,Elizabeth Hauser; -; -
4987,CBB,634,01,Geometric Algorithms,"Models of computation and lower-bound techniques; storing and manipulating orthogonal objects; orthogonal and simplex range searching, convex hulls, planar point location, proximity problems, arrangements, linear programming and parametric search technique, probabilistic and incremental algorithms. Prerequisite: Computer Science 532 or equivalent.",,3,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,23,11,12,0,23,Graded,Y,Pankaj K Agarwal
4051,CBB,658,01,Structural Biochemistry I,"Principles of modern structural biology. Protein-nucleic acid recognition, enzymatic reactions, viruses, immunoglobulins, signal transduction, and structure-based drug design described in terms of the atomic properties of biological macromolecules. Discussion of methods of structure determination with particular emphasis on macromolecular X-ray crystallography NMR methods, homology modeling, and bioinformatics. Students use molecular graphics tutorials and Internet databases to view and analyze structures. Prerequisites: organic chemistry and introductory biochemistry.",,2,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,10/08/2025,Closed,10,13,0,0,10,Graded,Y,Lorena S Beese
4041,CBB,659,01,Structural Biochemistry II,"Continuation of Biochemistry 658. Structure/function analysis of proteins as enzymes, multiple ligand binding, protein folding and stability, allostery, protein-protein interactions. Prerequisites: Biochemistry 658, organic chemistry, physical chemistry, and introductory biochemistry.",,2,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,10/10/2025,11/24/2025,Open,15,10,5,0,15,Graded,Y,Pei Zhou
8489,CBB,700,01,Internship,"Student gains practical experience by taking an internship in industry, and writes a report about this experience. Requires prior consent from the student's advisor and from the director of graduate studies. May be repeated with consent of the advisor and the director of graduate studies. Credit/no credit grading only.",,1,INR,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/31/2025,Open,30,1,29,0,30,Credit / No Credit,N,Elizabeth Hauser; -; -
8640,CBB,910,02,Career Development and Prep,Students gain a holistic view of what skills they will need to be successful graduate students and academic scholars. The curriculum focuses on the unique challenges doctoral students face and the tools needed for long-term success in academia or industry.,,1,LEC,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,15,5,10,0,30,Credit / No Credit,Y,-; -; -; -; -; Laura Coutts
