class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
6552,CHINESE,99,01,Survival Chinese: Navigating Daily Conversations,"Learning the fundamentals of the Chinese language and culture; developing essential speaking and listening skills in Mandarin Chinese; equipping with fundamental phrases, grammar, and cultural norms necessary for communication while traveling in China or navigating everyday scenarios such as ordering food, asking for directions, bargaining at markets, and more. Open to students, staff, or faculty with no prior exposure to the Chinese language but are interested in grasping essential language skills crucial for real-life interactions.",,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,12,3,0,15,Satisfactory/Unsatisfactory,N,Jiali Guo
6459,CHINESE,101,01,First-Year Chinese I,"First semester of a two-semester sequence. Designed for students with little or no knowledge of the Chinese language. Aim at developing basic communicative proficiency in Mandarin Chinese with equal attention to aural comprehension, speaking, reading, and writing skills. Learn some Chinese cultural facts and social-cultural etiquette when developing basic communicative competence in Chinese. Recognize and write approximately 250-300 characters by the end of the semester.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,13,2,0,15,Graded,N,Tianshu He
6460,CHINESE,101,02,First-Year Chinese I,"First semester of a two-semester sequence. Designed for students with little or no knowledge of the Chinese language. Aim at developing basic communicative proficiency in Mandarin Chinese with equal attention to aural comprehension, speaking, reading, and writing skills. Learn some Chinese cultural facts and social-cultural etiquette when developing basic communicative competence in Chinese. Recognize and write approximately 250-300 characters by the end of the semester.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,6,9,0,15,Graded,N,Shasha Yang
6461,CHINESE,102,01,First-Year Chinese II,"Continuation of Chinese 101. Designed for students with little knowledge of the Chinese language. Focus on developing basic communicative proficiency in Mandarin Chinese with equal attention to aural comprehension, speaking, reading, and writing skills. Learn some Chinese cultural facts and social-cultural etiquette when developing basic communicative competence in Chinese. Recognize and write approximately 300 characters by the end of the semester.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,11,4,0,15,Graded,N,Jiali Guo
6524,CHINESE,105,01,First-Year Chinese in Review I,"Consolidate learning the basic elements of Chinese language and culture. Equal attention paid to the development of listening, speaking, reading and writing proficiencies. Introduction to aspects of Chinese life and culture. Open to students who had received some Chinese language instruction before coming to Duke but lacked a solid foundation in basic Chinese grammar and pronunciation. Not open for credit to students who grew up in a household speaking Mandarin Chinese. After completing Chinese 105, students will take Chinese 203.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,10,5,0,15,Graded,N,Chi-Ju Hsieh
6462,CHINESE,131,01,First Year Chinese for Bilingual Learners,Designed for students who were raised in a Chinese-speaking environment and who can converse about personal information or daily topics but have little or no reading and writing skills in Mandarin Chinese. Gain knowledge of the etymologies of Chinese characters and writing system. Substantial work on the development of reading and writing competencies in Chinese while continuing to improve aural understanding and speaking competency. Topics focus on issues concerning the aspects of bilingual and bicultural experiences specifically addressed for Chinese heritage learners.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,9,6,0,15,Graded,N,Ya-Chuan Chou
6463,CHINESE,131,02,First Year Chinese for Bilingual Learners,Designed for students who were raised in a Chinese-speaking environment and who can converse about personal information or daily topics but have little or no reading and writing skills in Mandarin Chinese. Gain knowledge of the etymologies of Chinese characters and writing system. Substantial work on the development of reading and writing competencies in Chinese while continuing to improve aural understanding and speaking competency. Topics focus on issues concerning the aspects of bilingual and bicultural experiences specifically addressed for Chinese heritage learners.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,7,8,0,15,Graded,N,Shasha Yang
6465,CHINESE,203,01,Intermediate Chinese,"Second-year level Mandarin Chinese. Prerequisite: Chinese 102 or its equivalent. Not open to students who have completed Chinese 232 or 242. Aiming to enhance students' abilities in conversing on personal topics in informal situations, in reading and writing narrative and descriptive texts, and in analyzing the structure of Chinese language.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,13,2,0,15,Graded,N,Jiali Guo; Shu Zhang
6466,CHINESE,203,02,Intermediate Chinese,"Second-year level Mandarin Chinese. Prerequisite: Chinese 102 or its equivalent. Not open to students who have completed Chinese 232 or 242. Aiming to enhance students' abilities in conversing on personal topics in informal situations, in reading and writing narrative and descriptive texts, and in analyzing the structure of Chinese language.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,9,6,0,15,Graded,N,Ya-Chuan Chou
6467,CHINESE,204,01,Intermediate Chinese,Continuation of Chinese 203. A service-learning/community-engaged labeled course. Project-based service with local/global community partners. Community-engaged course activities involving linguistic and cultural exchange. Prerequisite: Chinese 203 or its equivalent. Not open to students who have completed Chinese 232 or 242. Continued work on consolidating the language.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,16,9,7,0,16,Graded,N,Shu Zhang
6464,CHINESE,232,01,Intermediate Chinese for Bilingual Learners,"Continuation of Chinese 131. Further development of reading and writing fluency and competencies through studying a range of topics consisting of more complex vocabulary and grammatical structures. Content covering necessary understanding of language and cultural heritage concerning Chinese customs, civilization, and history. Prerequisite: Chinese 131 or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,16,11,5,0,16,Graded,N,Jin-Wei Hung; Kun Shan Lee
6468,CHINESE,305,01,Pre-Advanced Chinese,"Designed for Chinese as a foreign/second language. Follows Chinese 204 or 224A as part of the language sequence. Increases students' knowledge of more complex forms of the Chinese vocabulary system and competencies in speaking, aural comprehension, reading, and writing. Exposure to a speech variety appropriate to formal and informal speech situations. Materials drawn from newspaper articles, essays, and other readings concerning social and cultural issues in contemporary Chinese society. Emphasis on the active use of the language for communication in written and spoken forms. Recommended prerequisite: Chinese 204 or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,14,11,3,0,14,Graded,N,Shu Zhang
6469,CHINESE,306,01,Advanced Chinese II,"Continuation of Chinese 305. Designed for Chinese as a foreign/second language. Builds knowledge of more sophisticated linguistic forms and learning to differentiate between different types of written and spoken discourse. Development of writing skills in selected formats and genres while continuing to develop correct use of speech patterns and vocabulary and cross-cultural understanding. Content drawn from newspaper articles, essays, and other readings concerning social and cultural issues in contemporary Chinese society. Prerequisite: Chinese 305 or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,8,4,0,12,Graded,N,Chi-Ju Hsieh
6532,CHINESE,331,01,Modern Chinese Society and Culture through New Media,"Different social and cultural issues that China is facing, including the coronavirus pandemic in Hubei, China's artificial-intelligence boom, globalization, etc; Content drawn from Chinese broadcast news, blogs and videos, TV shows, and documentary films; A community-engaged course or service-learning course; Engagement includes direct, project-based, or research-focused service with local/global community partners among other engaged practices; Improving language and intercultural communication skills that can be used to comprehend, analyze, and discuss real life topics and issues in modern Chinese society. Prerequisite: Chinese 232 or equivalent proficiency.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,15,3,0,18,Graded,N,Tianshu He
6470,CHINESE,333,01,Advanced Chinese for Bilingual Learners,"Continuation of Chinese 232, Literacy in Chinese. Designed for Chinese as a second language. Practice in formal and informal speech and discourse in speaking and writing. Content drawn from newspaper articles, essays, TV and radio concerning issues in contemporary China. Develops fluency and skills in writing essays and short stories while continuing to advance understanding of heritage culture and aural/oral proficiency. This is a service-learning or community-engaged course. Engagement including direct, project-based, or research-focused service with local/global community partners among other engaged practices. Prerequisite: Chinese 232 or equivalent proficiency.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,16,2,0,18,Graded,N,Jin-Wei Hung
6551,CHINESE,370,01,Debate in Chinese: Exploring Confucian and Daoist Values Today,"This course examines the enduring influence of Confucianism and Daoism on modern Chinese-speaking societies, with a focus on popular sayings, cultural beliefs, and practices. Students will explore key concepts from modern Chinese texts and works by Confucian and Daoist thinkers. Through class discussions, debate projects, and close readings in both English and modern Chinese, students will analyze the relevance of these philosophies today. The course highlights the origins of cultural values, compares them with Western perspectives, and fosters cross-cultural communication through discussions and hands-on activities.",,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,10,2,0,12,Graded,N,Kun Shan Lee
6499,CHINESE,407S,01,Issues in Chinese Language and Society I,"Materials from public media used to analyze diverse social phenomena and cultural issues in contemporary China. Major focus on developing literary reading and writing skills along with learning methods of writing academic Chinese essays on a wide range of complex topics. Topics include popular culture, food, marriage outlooks, Cultural Revolution, Confucianism, and social issues after the economic reform in China. Analysis of cultural and literary texts from variety of media and genres providing a basis for practice in discussion and writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,16,15,1,0,16,Graded,N,Jin-Wei Hung
