class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
3110,DOCST,101,01,Traditions in Documentary Studies,"Traditions of documentary work seen through an interdisciplinary perspective, with an emphasis on twentieth-century practice. Introduces students to a range of documentary idioms and voices, including the work of photographers, filmmakers, oral historians, folklorists, musicologists, radio documentarians, and writers. Stresses aesthetic, scholarly, and ethical considerations involved in representing other people and cultures.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,40,35,5,0,40,Graded,Y,Katherine Hyde
3105,DOCST,105S,01,The Documentary Experience: A Video Approach,"A documentary approach to the study of local communities through video production projects assigned by the course instructor. Working closely with these groups, students explore issues or topics of concern to the community. Students complete an edited video as their final project.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,14,13,1,0,14,Graded,Y,GARY Hawkins
3116,DOCST,110S,01,Introduction to Oral History,"Introductory oral history fieldwork seminar. Oral history theory and methodology, including debates within the discipline. Components and problems of oral history interviewing as well as different kinds of oral history writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,18,0,0,15,Graded,Y,Michelle Lanier
3108,DOCST,115S,01,Introduction to Black and White Photography,"Foundation class in photography utilizing black and white film and a wet darkroom. Shoot, process, and print individual student work throughout the semester. Emphasis on the documentary approach and a continual visual exploration of meaning and metaphor in the form of regular assignments, slide lectures of important historic and contemporary photographic work, and critiques of each other's work. No textbooks are required, though students will need to budget a comparable amount for supplies and equipment.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,11,11,0,0,11,Graded,Y,Susie Post-Rust
6813,DOCST,119S,01,Introduction to Digital Photography,"An emphasis on digital photography, using the camera as a distinctive way of seeing and knowing. Class assignments accompanied by historical and theoretical readings, lectures, class discussions, and field trips. Final projects include thematic photographic series and an individual documentary essay.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,14,1,0,15,Graded,Y,Katelyn Lester
6814,DOCST,119S,02,Introduction to Digital Photography,"An emphasis on digital photography, using the camera as a distinctive way of seeing and knowing. Class assignments accompanied by historical and theoretical readings, lectures, class discussions, and field trips. Final projects include thematic photographic series and an individual documentary essay.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,14,1,0,15,Graded,Y,Katelyn Lester
3122,DOCST,135S,01,Introduction to Audio Documentary,"Practicing the research, recording, and digital production of short audio (podcast or public radio-style) documentaries. Through listening in and out of class, exposure to various approaches from journalistic to narrative to artistic. Exploration of audio documentary as a medium for telling stories and examining issues of social and cultural significance and for advancing equity and justice.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,13,12,1,0,13,Graded,Y,John H Biewen
8802,DOCST,152CNS,01,"Visualizing Minor Stories: Archives, Museums, Histories","Explores local/ global archives to document distant, marginal or invisible histories. Guided research in Duke's collections and other museums, galleries, and digital collections. Examines injustice, liberation, and empowerment through knowledge production. Trace historical divisions and produce related research and creative projects. Variable topics like travel and missionary writings; wartime and military records of American wars in Asia and the Middle East; Afro-Asian solidarity; global and American civil rights; imperialism and the global cold war, global diasporas including Asian/American and other minority movements. Explore variable forms: oral histories, film and photography, digital exhibitions, and creative works.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,13,5,0,18,Graded,Y,Aimee Kwon
4824,DOCST,190FS,01,Focus Program Topics in Documentary Studies,Open only to students in the Focus Program. Topics vary each semester offered.,KNOWING THROUGH MUSIC/ART.,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,13,5,0,18,Graded,Y,Andrew Brock Waggoner
11555,DOCST,191,01,Independent Study,"Supervision and guidance of individual, documentary production-based topics. Consent of director of undergraduate studies required.",WILDLIFE PHOTOJOURNALISM,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Christopher Wilson Sims
