class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
1899,EGRMGMT,501,01,Engineering Management Seminar,Current topics in applied engineering management and entrepreneurship. Weekly seminar series. Credit/No credit.,,0,SEM,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/02/2025,Open,190,109,81,0,190,Credit / No Credit,N,Luis E Morales
9994,EGRMGMT,501,02,Engineering Management Seminar,Current topics in applied engineering management and entrepreneurship. Weekly seminar series. Credit/No credit.,,0,SEM,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/02/2025,Open,5,2,3,0,0,Credit / No Credit,N,Luis E Morales
1917,EGRMGMT,504,01,Residency 1 - Introduction,"One-week course to introduce the Master of Engineering Management Program. Residency 1 includes an orientation to Duke and the program, business simulations, case studies, professional development workshops and alumni engagement opportunities. Prerequisite: enrollment in the Master of Engineering Management Online Program.",MEM ONLINE RESIDENCY 1 COHORT,0,IND,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/10/2025,08/15/2025,Open,75,35,40,0,75,Credit / No Credit,N,LaTondra Murray
1878,EGRMGMT,510,01,Marketing,"Review basic concepts in marketing; marketing of high tech products and services. Product development with short life cycles, selling into complex supply chains, building advantage through innovation, the role of the customer in high tech and technology-intensive service industries, and marketing in volatile environments. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORT 1,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,46,29,17,0,46,Graded,N,William Clark
1879,EGRMGMT,510,04,Marketing,"Review basic concepts in marketing; marketing of high tech products and services. Product development with short life cycles, selling into complex supply chains, building advantage through innovation, the role of the customer in high tech and technology-intensive service industries, and marketing in volatile environments. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORT 4,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,50,26,24,0,50,Graded,N,William Clark
1880,EGRMGMT,510,05,Marketing,"Review basic concepts in marketing; marketing of high tech products and services. Product development with short life cycles, selling into complex supply chains, building advantage through innovation, the role of the customer in high tech and technology-intensive service industries, and marketing in volatile environments. Prerequisite: enrollment in the Master of Engineering Management Program.",MEM ONLINE STUDENTS,3,LEC,E,Engineering Professional,Asynchronous Online,Duke University,Online,Regular Academic Session,08/25/2025,12/02/2025,Open,40,37,3,0,40,Graded,N,William Clark
1936,EGRMGMT,512,01,Product Management in High-Tech Companies,"Students will explore the entire product management challenge in a way that goes beyond the typical MBA product marketing and brand management course with emphasis on managing products & services in a high tech environment. The course provides an in-depth exposure to the analyses, decisions, and implementation issues relevant to a typical product manager in a high tech company and prepares students for their first industry product management opportunity. This course is the first step in developing the set of skills needed for a successful product manager utilizing a mix of individual and team-based assignments, case analysis and presentations, computer simulations and projects.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,25,24,1,0,25,Graded,N,James J Mundell
1932,EGRMGMT,512,02,Product Management in High-Tech Companies,"Students will explore the entire product management challenge in a way that goes beyond the typical MBA product marketing and brand management course with emphasis on managing products & services in a high tech environment. The course provides an in-depth exposure to the analyses, decisions, and implementation issues relevant to a typical product manager in a high tech company and prepares students for their first industry product management opportunity. This course is the first step in developing the set of skills needed for a successful product manager utilizing a mix of individual and team-based assignments, case analysis and presentations, computer simulations and projects.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,30,30,0,0,30,Graded,N,Richard Thomas
1933,EGRMGMT,512,03,Product Management in High-Tech Companies,"Students will explore the entire product management challenge in a way that goes beyond the typical MBA product marketing and brand management course with emphasis on managing products & services in a high tech environment. The course provides an in-depth exposure to the analyses, decisions, and implementation issues relevant to a typical product manager in a high tech company and prepares students for their first industry product management opportunity. This course is the first step in developing the set of skills needed for a successful product manager utilizing a mix of individual and team-based assignments, case analysis and presentations, computer simulations and projects.",MEM ONLINE STUDENTS,3,LEC,E,Engineering Professional,Asynchronous Online,Duke University,Online,Regular Academic Session,08/25/2025,12/02/2025,Open,9,1,8,0,9,Graded,N,Richard Thomas
1929,EGRMGMT,514,01,Negotiations and Consultative Selling in Technology,"Skills in negotiations and consultative selling are required. From making a decision that affects internal operations, presenting a proposal to one's boss, or closing a sale with a major client, it is vital to have a strong set of skills to achieve our objectives. Focusing on two primary areas of influence and communication within business—negotiations and consultative selling (working collaboratively with others to effectively meet customer needs), this course covers the structured processes, theoretical constructs, and practical applications required to understand a complex situation and develop the negotiation or sales process most needed for value creation and goal attainment.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,30,14,16,0,30,Graded,N,Katharine M Amato
1881,EGRMGMT,520,23,"Intellectual Property, Business Law, and Entrepreneurship","Basic principles of intellectual property law, especially patent law but including trademark and copyright law, together with an overview of business law and the formation of new technical enterprises. Consideration of regulatory law, contract law, and product liability. Licensing and the use of the patent database in technological development. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORTS 2 & 3,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/02/2025,Open,100,59,41,0,100,Graded,N,Bryan Andrew McGann; Jeff Ward; Seth A. Watkins
1882,EGRMGMT,530,01,Finance in High Tech Industries,"Review basic concepts of financial accounting and finance, with an emphasis on accounting needed for effective financial analysis. Focus on issues of finance in high tech industries. Emphases will include project financing, notions of options as applied to internal financial analysis, allocation of costs and revenues for new high tech projects, valuing projects and valuing firms when intellectual assets are a significant portion of total level value; corporate control in high tech firms. Finance issues in mergers, acquisitions, and alliances. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORT 1,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,50,31,19,0,50,Graded,N,C. J. Skender
1883,EGRMGMT,530,04,Finance in High Tech Industries,"Review basic concepts of financial accounting and finance, with an emphasis on accounting needed for effective financial analysis. Focus on issues of finance in high tech industries. Emphases will include project financing, notions of options as applied to internal financial analysis, allocation of costs and revenues for new high tech projects, valuing projects and valuing firms when intellectual assets are a significant portion of total level value; corporate control in high tech firms. Finance issues in mergers, acquisitions, and alliances. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORT 4,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,50,27,23,0,50,Graded,N,C. J. Skender
1884,EGRMGMT,530,05,Finance in High Tech Industries,"Review basic concepts of financial accounting and finance, with an emphasis on accounting needed for effective financial analysis. Focus on issues of finance in high tech industries. Emphases will include project financing, notions of options as applied to internal financial analysis, allocation of costs and revenues for new high tech projects, valuing projects and valuing firms when intellectual assets are a significant portion of total level value; corporate control in high tech firms. Finance issues in mergers, acquisitions, and alliances. Prerequisite: enrollment in the Master of Engineering Management Program.",MEM ONLINE STUDENTS,3,LEC,E,Engineering Professional,Asynchronous Online,Duke University,Online,Regular Academic Session,08/25/2025,12/02/2025,Open,40,36,4,0,40,Graded,N,C. J. Skender
