class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4838,ENGLISH,90S,01,Special Topics in Literature,Topics vary by semester; emphasis on development of writing skills. See synopsis for more details.,CONFESSING POETRY,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,5,10,0,15,Graded,N,Will Brewbaker
4839,ENGLISH,90S,02,Special Topics in Literature,Topics vary by semester; emphasis on development of writing skills. See synopsis for more details.,WARPING TIME IN FICTION & FILM,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,15,0,0,15,Graded,Y,Olivia Depue
4897,ENGLISH,101S,02,The Art of Reading,"An introduction to the skills of critical reading through the close examination of literary works, or other media such as film. See synopsis for more details.",INTRODUCTION TO NARRATIVE,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,15,0,0,15,Graded,N,Richard Jean So
9121,ENGLISH,101S,03,The Art of Reading,"An introduction to the skills of critical reading through the close examination of literary works, or other media such as film. See synopsis for more details.",IMAGINING AMERICA,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,12,12,0,0,12,Graded,N,Marguerite Nguyen
10972,ENGLISH,101S,04,The Art of Reading,"An introduction to the skills of critical reading through the close examination of literary works, or other media such as film. See synopsis for more details.","MONSTERS, PIRATES & EMPRESSES",1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,4,8,0,12,Graded,N,Timothy Heimlich
4843,ENGLISH,110S,01,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,15,0,0,15,Graded,N,Cathy E Shuman
4844,ENGLISH,110S,02,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,15,0,0,15,Graded,N,Camille A Bordas
4845,ENGLISH,110S,03,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,10,2,0,12,Graded,N,Adam S Levin
6560,ENGLISH,165CNS,01,The Cultural Cold War: Voices From Below,"The Cold War was marked by ongoing rivalry between the United States of America and the Soviet Union, though its hot wars were fought across the decolonizing world. Placing literary and aesthetic cultures at the center of Cold War battles, this course introduces Cold War cultural interventions in Asia, Africa, and Latin America and how they shaped popular understandings of literary autonomy, freedom of speech, ideology, and propaganda. Through sampling declassified documents from CIA archives, little magazines, cartoons, films, novels, and short stories, students will learn how the Cold War generated competing approaches to literature and art.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,16,2,0,18,Graded,Y,Preeti Singh
6604,ENGLISH,181,01,Introduction to Film Studies,"Basic film theory and history of motion picture technology. Introduction to experimental, documentary, and narrative forms of Third World, European, and United States cinemas.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,30,32,0,0,30,Graded,Y,Franklin D Cason; -
