class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
3663,EVANTH,101,01,Introduction to Evolutionary Anthropology,"The study of human origins, anatomy, and behavior from an evolutionary perspective. The historical development of pre-Darwinian evolutionary thinking and Darwin's contribution to evolutionary theory; genetics; microevolution and macroevolution; the modern synthesis framing the study of human origins and behavior in the context of modern evolutionary biology; primate behavioral ecology and evolution; a survey of primate and human paleontology, adaptation and variation; the origins of human social organization and culture; the impact of modern humans on biodiversity.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,80,39,41,0,30,Graded,N,Katarina Danielle Evans; Abi Bayer Human; Caroline Laura Shearer
3664,EVANTH,101D,001,Introduction to Evolutionary Anthropology,"The study of human origins, anatomy, and behavior from an evolutionary perspective. The historical development of pre-Darwinian evolutionary thinking and Darwin's contribution to evolutionary theory; genetics; microevolution and macroevolution; the modern synthesis framing the study of human origins and behavior in the context of modern evolutionary biology; primate behavioral ecology and evolution; a survey of primate and human paleontology, adaptation and variation; the origins of human social organization and culture; the impact of modern humans on biodiversity. Lecture is the same as Evolutionary Anthropology 101, but adds a 50 minute discussion section with hands-on access to fossil casts, etc.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,72,16,56,0,72,Graded,N,Katarina Danielle Evans; Abi Bayer Human; Caroline Laura Shearer
3666,EVANTH,101D,02D,Introduction to Evolutionary Anthropology,"The study of human origins, anatomy, and behavior from an evolutionary perspective. The historical development of pre-Darwinian evolutionary thinking and Darwin's contribution to evolutionary theory; genetics; microevolution and macroevolution; the modern synthesis framing the study of human origins and behavior in the context of modern evolutionary biology; primate behavioral ecology and evolution; a survey of primate and human paleontology, adaptation and variation; the origins of human social organization and culture; the impact of modern humans on biodiversity. Lecture is the same as Evolutionary Anthropology 101, but adds a 50 minute discussion section with hands-on access to fossil casts, etc.",,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,6,6,0,12,Graded,N,Katarina Danielle Evans; Abi Bayer Human; Caroline Laura Shearer
3667,EVANTH,101D,03D,Introduction to Evolutionary Anthropology,"The study of human origins, anatomy, and behavior from an evolutionary perspective. The historical development of pre-Darwinian evolutionary thinking and Darwin's contribution to evolutionary theory; genetics; microevolution and macroevolution; the modern synthesis framing the study of human origins and behavior in the context of modern evolutionary biology; primate behavioral ecology and evolution; a survey of primate and human paleontology, adaptation and variation; the origins of human social organization and culture; the impact of modern humans on biodiversity. Lecture is the same as Evolutionary Anthropology 101, but adds a 50 minute discussion section with hands-on access to fossil casts, etc.",,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,5,7,0,12,Graded,N,Katarina Danielle Evans; Abi Bayer Human; Caroline Laura Shearer
3668,EVANTH,101D,04D,Introduction to Evolutionary Anthropology,"The study of human origins, anatomy, and behavior from an evolutionary perspective. The historical development of pre-Darwinian evolutionary thinking and Darwin's contribution to evolutionary theory; genetics; microevolution and macroevolution; the modern synthesis framing the study of human origins and behavior in the context of modern evolutionary biology; primate behavioral ecology and evolution; a survey of primate and human paleontology, adaptation and variation; the origins of human social organization and culture; the impact of modern humans on biodiversity. Lecture is the same as Evolutionary Anthropology 101, but adds a 50 minute discussion section with hands-on access to fossil casts, etc.",,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,3,9,0,12,Graded,N,Katarina Danielle Evans; Abi Bayer Human; Caroline Laura Shearer
3669,EVANTH,101D,05D,Introduction to Evolutionary Anthropology,"The study of human origins, anatomy, and behavior from an evolutionary perspective. The historical development of pre-Darwinian evolutionary thinking and Darwin's contribution to evolutionary theory; genetics; microevolution and macroevolution; the modern synthesis framing the study of human origins and behavior in the context of modern evolutionary biology; primate behavioral ecology and evolution; a survey of primate and human paleontology, adaptation and variation; the origins of human social organization and culture; the impact of modern humans on biodiversity. Lecture is the same as Evolutionary Anthropology 101, but adds a 50 minute discussion section with hands-on access to fossil casts, etc.",,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,2,10,0,12,Graded,N,Katarina Danielle Evans; Abi Bayer Human; Caroline Laura Shearer
3641,EVANTH,220,01,Human Evolution,Evolutionary biology of the hominidae. Anatomical and behavioral adaptations and phylogeny of fossils and living primates including Homo sapiens. Prerequisite: Evolutionary Anthropology 101 or equivalent.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,20,4,16,0,20,Graded,N,Charles M. Musiba
3661,EVANTH,230,01,Introduction to Forensic Anthropology,"An introduction to medicolegal anthropology and death investigation. Topics include crime scene protocol and body recovery, basics of osteology, determining time since death, making personal identification, determining the manner and mode of death, postmortem modification of skeletal remains, protocols for mass disasters, human rights applications, and courtroom testimony. Open to both majors and non-majors.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,100,73,27,0,100,Graded,N,Steven E Churchill; Daniela Trujillo Hassan
3673,EVANTH,285,01,Evolutionary Medicine and Global Health,"Covers evolutionary approaches to understand human health at a global scale. Integration of evolutionary thinking and medical science provides new insights to a wide array of medical issues including obesity, cancer, allergies, and mental illness. Evolutionary perspectives reveal why some pathogens are more harmful than others, shed light on the origins and spread of infectious diseases in humans, and help in controlling antibiotic resistance. Evolutionary approaches provide insights as to why we age and provide solutions to alleviate human health problems that often differ from modern medical practice. Course will place these perspectives in the context of global health challenges.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,40,39,1,0,40,Graded,Y,Charles Nunn; Caroline Kei Maki
3676,EVANTH,315S,01,Human Biological Variation,"This course covers biological variation in humans at the genetic and physiological/anatomical levels from an evolutionary and ecological perspective. Specifically, we will discuss shared human evolutionary traits, how past population movement has influenced the current distribution of humans around the globe, the concept and science of ancestry, evolutionary adaptation in humans, developmental adaptation and acclimatization, accommodation, epigenetic variation, biocultural adaptation, and health. Recommended prerequisite: EVANTH101 or BIO202.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,14,15,0,0,14,Graded,N,Elaine Elizabeth Gomez Guevara
3642,EVANTH,334L,001,Human Osteology,"An introduction to the basics of human osteological analysis. Identification and siding of all the bones of the human body and the major osteological landmarks on each bone; basics of bone histology, development and growth; and fundamentals of anthropological analysis of human skeletal remains (archeological treatment of burials; determination of gender, populational affinities, stature; paleopathological analysis; medicolegal applications). Prerequisite: Evolutionary Anthropology 101 or Biology 202L.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,30,30,0,0,30,Graded,N,Olumayowa T Adegboyega; Mary Joy
3643,EVANTH,334L,02L,Human Osteology,"An introduction to the basics of human osteological analysis. Identification and siding of all the bones of the human body and the major osteological landmarks on each bone; basics of bone histology, development and growth; and fundamentals of anthropological analysis of human skeletal remains (archeological treatment of burials; determination of gender, populational affinities, stature; paleopathological analysis; medicolegal applications). Prerequisite: Evolutionary Anthropology 101 or Biology 202L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,14,1,0,15,Graded,N,Olumayowa T Adegboyega; Mary Joy
3644,EVANTH,334L,03L,Human Osteology,"An introduction to the basics of human osteological analysis. Identification and siding of all the bones of the human body and the major osteological landmarks on each bone; basics of bone histology, development and growth; and fundamentals of anthropological analysis of human skeletal remains (archeological treatment of burials; determination of gender, populational affinities, stature; paleopathological analysis; medicolegal applications). Prerequisite: Evolutionary Anthropology 101 or Biology 202L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,16,0,0,15,Graded,N,Olumayowa T Adegboyega; Mary Joy
3276,EVANTH,337L,01L,Functional Anatomy of the Human Brain,"Functional anatomy of the human brain and spinal cord with team-based learning approaches and laboratory-based discovery. Hands-on examination of human specimens with guided explorations of external and internal brain structures and dissections to facilitate discovery. Extensive use of interactive digital media to explore CNS anatomy and the organization of the major neural systems underlying sensory, motor and cognitive function. Analysis of actual clinical cases representing a variety of neurological disorders. Consideration of brain evolution and comparative neuroanatomy. Prior completion of Neuroscience 101/102 or 201 or Evolutionary Anthropology 101 highly recommended.",,1,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,24,24,0,0,24,Graded,Y,Len E White
3646,EVANTH,344L,01L,Primate Field Biology,Survey of field methods used to document primate behavior. Laboratory includes observations of free-ranging and captive primates at the Duke Lemur Center. Focus on the scientific process and writing of formal research papers. Prerequisite: Evolutionary Anthropology 101 or Biology 202L.,,1,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,10,10,0,0,10,Graded,N,Leslie J Digby; Caroline Laura Shearer
