class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4069,FINTECH,501,01,Financial Technology Seminar,Current topics in applied financial technology and entrepreneurship. Weekly seminar series. Credit/No credit.,,0,SEM,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,135,78,57,0,135,Credit / No Credit,N,Jimmie Lenz
4070,FINTECH,501,02,Financial Technology Seminar,Current topics in applied financial technology and entrepreneurship. Weekly seminar series. Credit/No credit.,,0,SEM,E,Engineering Professional,Asynchronous Online,Duke University,Online,Regular Academic Session,08/25/2025,12/05/2025,Open,20,6,14,0,20,Credit / No Credit,N,Jimmie Lenz
4094,FINTECH,502,01,FinTech Capstone,"This course is a culmination of the FinTech program and will focus on developing solutions to a real world problem. For example, sufficient retirement income is an increasingly pressing problem in the United States and most developed countries given growth in retirement age, health care cost and quality, with corresponding longevity of the population. In order to obtain solutions that are economically and operationally feasible there is a need to understand, through forecasting techniques, the probable outcomes, with an eye towards both sides of the balance sheet. This will ensure that solutions created do not operate in a vacuum that fails to account for Global economic environment.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,60,45,15,0,60,Graded,N,John P Fimbel
4095,FINTECH,502,02,FinTech Capstone,"This course is a culmination of the FinTech program and will focus on developing solutions to a real world problem. For example, sufficient retirement income is an increasingly pressing problem in the United States and most developed countries given growth in retirement age, health care cost and quality, with corresponding longevity of the population. In order to obtain solutions that are economically and operationally feasible there is a need to understand, through forecasting techniques, the probable outcomes, with an eye towards both sides of the balance sheet. This will ensure that solutions created do not operate in a vacuum that fails to account for Global economic environment.",,3,LEC,E,Engineering Professional,Asynchronous Online,Duke University,Online,Regular Academic Session,08/25/2025,12/05/2025,Open,20,2,18,0,20,Graded,N,John P Fimbel
4096,FINTECH,505,01,Mid-Program Residency,"One-week course to assess interim progress for the Master of Engineering FinTech Online Program. Residency 2 includes team-building exercises, case studies, leadership training, workshops, seminars and engagement opportunities. Prerequisite: FINTECH 504. Open only to students in the Master of Engineering FinTech Online Program.",,0,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,20,4,16,0,20,Credit / No Credit,N,Jimmie Lenz
4085,FINTECH,510,02,Programming for FinTech,"This class is aimed at students who want to focus on financial technology (FinTech) but who may not have a programming or even technical background. This course will bring students up to speed on programming, data structures, and algorithms. C++ is the language of choice in this class because C and C++ are very commonly used by computer engineers.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,35,34,1,0,35,Graded,N,Dominic J Pazzula
4086,FINTECH,510,03,Programming for FinTech,"This class is aimed at students who want to focus on financial technology (FinTech) but who may not have a programming or even technical background. This course will bring students up to speed on programming, data structures, and algorithms. C++ is the language of choice in this class because C and C++ are very commonly used by computer engineers.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,35,12,23,0,35,Graded,N,Patrick J Morrison
4087,FINTECH,510,04,Programming for FinTech,"This class is aimed at students who want to focus on financial technology (FinTech) but who may not have a programming or even technical background. This course will bring students up to speed on programming, data structures, and algorithms. C++ is the language of choice in this class because C and C++ are very commonly used by computer engineers.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,35,27,8,0,35,Graded,N,Mick Bellas
4088,FINTECH,510,05,Programming for FinTech,"This class is aimed at students who want to focus on financial technology (FinTech) but who may not have a programming or even technical background. This course will bring students up to speed on programming, data structures, and algorithms. C++ is the language of choice in this class because C and C++ are very commonly used by computer engineers.",,3,LEC,E,Engineering Professional,Asynchronous Online,Duke University,Online,Regular Academic Session,08/25/2025,12/05/2025,Open,20,9,11,0,20,Graded,N,Patrick J Morrison
4081,FINTECH,512,01,Software Engineering for FinTech,"This course focuses on moving from small-to-medium software projects, to the design ideas required for larger scale, maintainable code. We will start with core design principles, which we will see manifest in a variety of the forms through the course of the semester. We will see these ideas emerge from smaller scale design at the start of the semester to large scale system architecture at the end. Testing will also be an important topic throughout. Prerequisite: FINTECH 510",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,25,5,20,0,25,Graded,N,John B Slankas
4091,FINTECH,520,01,Financial Institution Products & Services,"The course will provide students with an understanding of finance and financial concepts, with emphasis on innovation and technological changes. Study includes the maturation of products and services used by financial services firms, the monetary and financial system, the structural position of institutions comprising the financial services industry and their businesses, and 'non-banks'. Students will acquire skills to develop interest rate forecasting models, asset management methodologies, and time value of money applications. A review of the role of industry vendors/utilities will complete an understanding of this environment.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,65,40,25,0,65,Graded,N,Alessio Brini; Taiyuan Chang
