class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
2957,FOCUS,195FS,01,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",COGNITIVE NEUROSCIENCE & LAW,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,36,33,3,0,0,Satisfactory/Unsatisfactory,N,Nicole Lewellyn Schramm-Sapyta
2958,FOCUS,195FS,02,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",EXPLORATION GENETICS & GENOMIC,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,36,35,1,0,0,Satisfactory/Unsatisfactory,N,Gail Lynn Clements
2959,FOCUS,195FS,03,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",FREE FOR ALL,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,36,36,0,0,0,Satisfactory/Unsatisfactory,N,Eric J Mlyn
2960,FOCUS,195FS,04,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",GEOPOLITICS AND CULTURE,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,18,0,0,0,Satisfactory/Unsatisfactory,N,Mark T Dalhouse
2961,FOCUS,195FS,05,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",GLOBAL ENERGY,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,36,34,2,0,0,Satisfactory/Unsatisfactory,N,Nico Hotz
2962,FOCUS,195FS,06,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",GLOBAL HEALTH,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,27,25,2,0,0,Satisfactory/Unsatisfactory,N,Sherryl A Broverman
2963,FOCUS,195FS,07,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",HUMANITARIAN CHALLENGES,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,27,26,1,0,0,Satisfactory/Unsatisfactory,N,Ingrid Bianca Byerly
2964,FOCUS,195FS,08,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",IMPLICATIONS OF AI AND LLMS,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,27,27,0,0,0,Satisfactory/Unsatisfactory,N,Mary Suzanne Osborne
2965,FOCUS,195FS,09,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",BUILD A BETTER WORLD,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,36,32,4,0,0,Satisfactory/Unsatisfactory,N,Dirk Philipsen
2966,FOCUS,195FS,10,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",KNOWLEDGE IN SERVICE OF SOCIE,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,27,22,5,0,0,Satisfactory/Unsatisfactory,N,Susie Post-Rust
2967,FOCUS,195FS,11,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.","MEDICINE, ETHICS, HLTH POLICY",0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,36,36,0,0,0,Satisfactory/Unsatisfactory,N,Kathryn M Andolsek
2968,FOCUS,195FS,12,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",MODELING ECON & SOC SCIENCES,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,36,34,2,0,0,Satisfactory/Unsatisfactory,N,David L Banks
2969,FOCUS,195FS,13,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",SCIENCE AND RELIGION,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,36,32,4,0,36,Satisfactory/Unsatisfactory,N,Amy L Hall
2970,FOCUS,195FS,14,Special Topics in Focus,"Forum for discussing and bridging the varied interdisciplinary issues that arise within the individual Focus Program seminars. May include group discussion, readings, guest lectures, film viewings, and other educational activities. Open only to participants in the Focus Program. Satisfactory/Unsatisfactory grading only.",SCIENCE AND THE PUBLIC,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,36,35,1,0,0,Satisfactory/Unsatisfactory,N,Jory Weintraub
