class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
2921,GERMAN,101,01,First-Year German I,"First-semester introductory language course. Practice in spoken and written German (speaking, listening, reading, writing); introduction to German culture and society through film, music, literature, and other authentic materials. Communicative approach to language study focuses on learning to use German in meaningful contexts across a variety of real-life situations and genres.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,9,9,0,18,Graded,N,Carolin Jolitz
2922,GERMAN,101,02,First-Year German I,"First-semester introductory language course. Practice in spoken and written German (speaking, listening, reading, writing); introduction to German culture and society through film, music, literature, and other authentic materials. Communicative approach to language study focuses on learning to use German in meaningful contexts across a variety of real-life situations and genres.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,15,3,0,18,Graded,N,Carolin Jolitz
2923,GERMAN,101,03,First-Year German I,"First-semester introductory language course. Practice in spoken and written German (speaking, listening, reading, writing); introduction to German culture and society through film, music, literature, and other authentic materials. Communicative approach to language study focuses on learning to use German in meaningful contexts across a variety of real-life situations and genres.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,6,12,0,18,Graded,N,Achim Schmid
10926,GERMAN,101A,01,First-Year German I,"First-semester introductory language course. Practice in spoken and written German (speaking, listening, reading, writing); introduction to German culture and society through film, music, literature, and other authentic materials. Communicative approach to language study focuses on learning to use German in meaningful contexts across a variety of real-life situations and genres. Offered as part of a Duke Global Education program.",,1,LEC,E,Undergraduate,Study Away,Duke University,Berlin,Regular Academic Session,08/25/2025,12/05/2025,Open,18,8,10,0,18,Graded,N,Departmental Staff
2924,GERMAN,102,01,First-Year German II,"Second-semester introductory language course. Practice in spoken and written German (speaking, listening, reading, writing); introduction to German culture and society through film, music, literature, and other authentic materials. Communicative approach to language study focuses on learning to use German in meaningful contexts across a variety of real-life situations and genres.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,5,13,0,18,Graded,N,April Lynn Henry
2925,GERMAN,102,02,First-Year German II,"Second-semester introductory language course. Practice in spoken and written German (speaking, listening, reading, writing); introduction to German culture and society through film, music, literature, and other authentic materials. Communicative approach to language study focuses on learning to use German in meaningful contexts across a variety of real-life situations and genres.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,6,12,0,18,Graded,N,Kasturi Prabal Chatterjee
10927,GERMAN,102A,01,First-Year German II,"Second-semester introductory language course. Practice in spoken and written German (speaking, listening, reading, writing); introduction to German culture and society through film, music, literature, and other authentic materials. Communicative approach to language study focuses on learning to use German in meaningful contexts across a variety of real-life situations and genres. Offered as part of a Duke Global Education program.",,1,LEC,E,Undergraduate,Study Away,Duke University,Berlin,Regular Academic Session,08/25/2025,12/05/2025,Open,18,12,6,0,18,Graded,N,Departmental Staff
2944,GERMAN,165FS,01,Virtual Realities: Collective Dreams from Plato to Cyberspace,"What is 'virtual reality'? If something is real, isn't it also always actual, and if virtual, only almost or nearly real? What strange, hybrid no-mans-land lies midway between truth and illusion, and how can we learn to navigate inside this space? The puzzle is an old one, even if the technology we call VR is new. In this discussion-intensive course, we will read, watch, and play our way through some of the most powerful attempts to understand humanity's penchant for collective dreaming: from Plato's allegory of the cave, to the immersive spectacles of baroque theater, to the ghostly realms of gothic literature and modern film, to the invention of cyberspace and parallel universe games.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,18,0,0,18,Graded,Y,Sarah Pourciau
2948,GERMAN,170FS,01,"You, Me, and the Machine: Philosophy and the Idea of AI","The idea of AI raises epistemological questions about the nature of mind. What does it mean to claim that a machine thinks and understands? In better understanding some epistemological puzzles about AI, we will better understand puzzles about our knowledge of others, and ultimately knowledge of ourselves. Topics may include: symbolic and connectionist AI, the computational theory of mind, intentionality, mental content, embodied cognition, functionalism, behaviorism, consciousness, and self-knowledge. Authors may include: Turing, Searle, Putnam, Nagel, Dreyfus, Kant, Heidegger, and Wittgenstein. Students will gain familiarity and practice with philosophy as an activity by interpreting, evaluating, and constructing arguments. No background in computer science is required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,18,0,0,18,Graded,Y,Henry W Pickford
2951,GERMAN,171CNS,01,"You, Me, and the Machine: Philosophy and the Idea of AI","The idea of AI raises epistemological questions about the nature of mind. What does it mean to claim that a machine thinks and understands? In better understanding some epistemological puzzles about AI, we will better understand puzzles about our knowledge of others, and ultimately knowledge of ourselves. Topics may include: symbolic and connectionist AI, the computational theory of mind, intentionality, mental content, embodied cognition, functionalism, behaviorism, consciousness, and self-knowledge. Authors may include: Turing, Searle, Putnam, Nagel, Dreyfus, Kant, Heidegger, and Wittgenstein. Students will gain familiarity and practice with philosophy as an activity by interpreting, evaluating, and constructing arguments. No background in computer science is required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,18,0,0,18,Graded,Y,Henry W Pickford
