class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
8813,GSF,121CN,01,Sex and Power in Asian Diasporas,"Focusing on the modern and contemporary period, this course examines the ways that structures of sex and power shape the experience of global Asian (and particularly East Asian) diasporic communities. Emphasis on the ways that the state and an array of religious, educational, medical, and other institutions shape attitudes toward and practices of gender and sexuality. Literature, cinema, and other forms of cultural production given particular attention.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,23,19,4,0,23,Graded,Y,Carlos Rojas
7028,GSF,122,01,History of Latinxs in the United States,"This introductory course will cover the social, cultural, and political histories of Latino/as in the United States from 1848 to the present including the Treaty of Guadalupe Hidalgo, the Great Depression, WWI/WWII, the creation of Latino/a civil rights organizations, and the civil wars and free trade agreements of the 1980s and 1990s that have spurned so much of contemporary migration. Themes include colonialism and conquest, sexuality and gender, race and ethnicity, transnationalism and migration, social inequality and practices of resistance. This class will highlight the diversity of the Latino/a experience—focusing on the history of Afro-Latino/as, queer Latino/as, and undocumented Latino/as.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,30,8,22,0,30,Graded,Y,Cecilia Marquez
8484,GSF,148CN,01,Global Palestine,"Why is Palestine addressed as complicated in dominant Western popular and scholarly historical accounts? How are gender and sexuality used to argue for settler-colonialism? How have Palestinians situated their collective project since the early twentieth century? Why is Palestine a focus of solidarity among Indigenous and other peoples around the world? The course grounds students in an understanding of Global Palestine using original documents, scholarship, and creative sources, and includes guests. Evaluation is based on preparation, attendance and participation, individual and team analytical writing and creative projects, and respect for the dignity and worth of every class member.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,6,12,0,18,Graded,Y,Frances S Hasso
4020,GSF,176CNS,01,Afro-Global Struggles,"What does it mean to struggle for freedom? More specifically, what have Afro Diasporic freedom struggles entailed? This course introduces students to anticolonial and abolitionist traditions of resistance from South Africa to the United States, from the Old to the New Worlds. The seminar also attends to contemporary decolonial movement work in and beyond the university via primary archival materials, secondary published work, and film investigating the connections between literature, music, poetry, political writings, and even dance. Course requirements include attendance and participation, discussion posts, and a final submission (essay or creative project).",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,18,0,0,18,Graded,Y,Anne-Maria Makhulu
7058,GSF,181CNS,01,"Sex, Bodies, and Power","In our world, bodies and sexual acts have become linked to political power in terms of pleasure, reproduction, identity, and even basic bodily functions such as urination and defecation. How has something so basic as one's body become so closely associated with power? Sex, Bodies, and Power engages in an interdisciplinary examination of written and visual texts to examine the way bodies have been linked to sex and power. How do we understand our own bodies? How do we develop sexual fantasies, and how are those fantasies regulated by the state and other actors and institutions? Do bodies and sex become regulated differently depending on race, ethnicity, nationality, and gender? How does this change in different times and places? How is all of this altered by global pandemics, anti-racist movements, reproductive justice, and queer embodiment? What does it mean to engage in a historical analysis of these questions?",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,11,4,0,15,Graded,Y,Peter Sigal
8711,GSF,190S,02,"Special Topics in Gender, Sexuality and Feminist Studies","Seminar topics vary, focusing on interdisciplinary work arising from feminist scholarship.",POLITICS OF SCIENCE,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,4,14,0,18,Graded,Y,Dana McLachlin
3093,GSF,195,01,Critical Approaches to Global Issues,"Introduction to critical transnational studies through several disciplinary approaches. Examines capitalism and neo-liberal globalization and their relationships to culture, politics, economics, and other social forms and outcomes; considers transnationalism 'from below'; addresses linear and Western-centric thinking about progress and modernity; focuses a historical lens on political discourses, institutions, and projects to understand them contextually; demonstrates how cultures and identities are dynamically constituted in interaction with historical, material, political, and situational factors; considers how different inequalities and contestations inflect most social formations.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,50,35,15,0,50,Graded,Y,Adam Richard Rosenblatt; Cade Bourne; Summer Steenberg
5963,GSF,230,01,Gender in the Economy,Economics of gender including the status of women in the labor market; feminist economic theories; ethical considerations of gender-based inequalities; gendered division of labor within the family and between the household and labor market. Comparisons of women's status across different cultures and geographic areas; gender-related measurements and indicators; explanations and remedies for female/male occupational segregation and wage differentials. Prerequisite: Economics 201D.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,40,40,0,0,40,Graded,Y,Genna R Miller
7001,GSF,239,01,"Women, Gender, and Sexuality in U.S. History","Major questions relating to women and women's place in society over the course of U.S. history, broadly defined, from the colonial period to the present: How did different groups of women see themselves as women? How did views of women's sexuality change? How did men's and women's relationships and roles change? How did women understand their connections to the larger society? How did race, ethnicity, and class shape all those issues? Course uses a variety of materials, including novels, movies, images, and music to explore the ethical contours of women's lives in the past, following change over time to better understand women's position today.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,40,14,26,0,40,Graded,Y,Juliana Barr
5052,GSF,242,01,"Race, Gender, Class, & Computing","This course examines how identity impacts and is impacted by computing. Through an introduction to identity as a social construct, we will explore the societal factors that have influenced present-day technology development and use, historical contexts, and the resulting impact on various communities.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,50,41,9,0,50,Graded,Y,Alicia Nicki Washington
