class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
3090,HISTORY,103,01,Critical Approaches to Global Issues,"Introduction to critical transnational studies through several disciplinary approaches. Examines capitalism and neo-liberal globalization and their relationships to culture, politics, economics, and other social forms and outcomes; considers transnationalism 'from below'; addresses linear and Western-centric thinking about progress and modernity; focuses a historical lens on political discourses, institutions, and projects to understand them contextually; demonstrates how cultures and identities are dynamically constituted in interaction with historical, material, political, and situational factors; considers how different inequalities and contestations inflect most social formations.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,50,35,15,0,50,Graded,Y,Adam Richard Rosenblatt; Cade Bourne; Summer Steenberg
7026,HISTORY,122,01,History of Latinxs in the United States,"This introductory course will cover the social, cultural, and political histories of Latino/as in the United States from 1848 to the present including the Treaty of Guadalupe Hidalgo, the Great Depression, WWI/WWII, the creation of Latino/a civil rights organizations, and the civil wars and free trade agreements of the 1980s and 1990s that have spurned so much of contemporary migration. Themes include colonialism and conquest, sexuality and gender, race and ethnicity, transnationalism and migration, social inequality and practices of resistance. This class will highlight the diversity of the Latino/a experience—focusing on the history of Afro-Latino/as, queer Latino/as, and undocumented Latino/as.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,30,8,22,0,30,Graded,Y,Cecilia Marquez
7031,HISTORY,124,01,History of the Present,"Examines the history of the past forty years, focusing on the United States in a global context. Themes might include: globalization, inequality, the rise of the alt-right, climate change, the internet, and the emergence of finance and consulting. Prepares students to think historically about their own world, and gives them the opportunity to use historical methods to think about the forces shaping their lives, their families, and their potential careers. Draws on a wide variety of sources and genres: alongside more traditional academic readings, students might be exposed to digital storytelling, journalism, television, and video games.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,108,109,0,0,108,Graded,Y,James G Chappel; -; -
3102,HISTORY,125S,01,The Documentary Experience: A Video Approach,"A documentary approach to the study of local communities through video production projects assigned by the course instructor. Working closely with these groups, students explore issues or topics of concern to the community. Students complete an edited video as their final project.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,14,13,1,0,14,Graded,Y,GARY Hawkins
3117,HISTORY,126S,01,Introduction to Oral History,"Introductory oral history fieldwork seminar. Oral history theory and methodology, including debates within the discipline. Components and problems of oral history interviewing as well as different kinds of oral history writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,18,0,0,15,Graded,Y,Michelle Lanier
3953,HISTORY,129,01,Introduction to African Studies (DS3 or DS4),"A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,60,19,41,0,60,Graded,Y,Khwezi Mkhize
7038,HISTORY,138,01,From Stalin to Putin: The Art of Dictatorship,"When the Soviet Union ceased to exist, many believed that Russia's history of autocratic rule might finally end. Today Russia under Putin appears to be retreating from democracy. Putin's rule is routinely compared to a dictatorship. The Soviet most notorious dictator, Stalin is being rehabilitated by the Russian establishment. This course traces the history of modern Russian politics from Stalin to Putin and examines how such completely ordinary individuals managed to amass the kind of power that is best described dictatorial. It examines the complex evolution of communist and post-Soviet leadership. The course is comparative and draws on Nazi Germany and Fascist Italy as case studies.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,25,9,16,0,25,Graded,Y,Anna Krylova
10431,HISTORY,144CNS,01,Photography and History: Dictatorship & Resistance in Latin America,"This seminar explores the power of photographic images as 20th century Latin America suffered from and resisted dictatorships and fought for democracy. It opens with the world's first fully photographed and filmed revolution in Mexico (1910-17), and then investigates photographic practice in Cuba, Chile, & Brazil after 1945. While used as a tool of oppression, photographic images will also be explored as vital weapons against human rights violations and fuel for popular democratic insurgencies. This course offers freshmen a chance to share the excitement of research in action, on learning with rather than teaching at, as they improve their skill in 'reading' and contextualizing images while debating what truths, if any, a photographer can communicate, how, and under what circumstances?",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,7,11,0,18,Graded,N,John D French
10432,HISTORY,145CNS,01,Indigenous Storytelling and Histories of Place,"More than antiquated stories confined to the archival record, Indigenous storytelling provides living communities today with avenues to communicate directly with ancestors to co-create abundant futures. Expressed through genealogical relationships to lands, waters, and peoples, Native communities cultivate abundance through providing care and mutual aid to each other and their environments. The course provides a framework for observing abundance created by historical and present Indigenous communities through engaged readings of critical texts and embodied practices of storytelling through art. By rejecting models of scarcity and loss of knowledge and power projected by five centuries of colonization, students will build a practical toolkit for creating abundance in everyday life.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,10,5,0,15,Graded,N,Alika M Bourgette
7043,HISTORY,147,01,Global History of the Prison,"This is an introductory lecture class on the global history of incarceration. It studies the emergence of the prison as a penal institution in various forms: the medieval debtors' prison, industrial poorhouses, colonial prison and detention camps, and the modern prison industrial complex. Special focus is dedicated to the relationship between incarceration and race in a global context. Over the course of the semester, students will work on multimedia projects on a special topic related to prison history.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,75,54,21,0,75,Graded,Y,Sarah M Balakrishnan
