class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
3252,I&E,101CN,01,Innovation Creativity & Entrepreneurial Mindset,"This course is a deep dive into the essential skills and perspectives need to bring a new idea to life. The course explores the link between sociology, psychology, anthropology, and economics and the individual (and team) capacity to generate new ideas for a creative problem-solving. The course cultivates crucial competencies like curiosity, questioning, and creativity, aimed at empowering students to tackle problems with renewed, inquisitive approach.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,40,23,17,0,40,Graded,Y,Douglas Kaufman
3247,I&E,110,01,Design Your Duke Journey,"Design Your Duke Journey (+Career!) is an interactive course that applies a design-thinking framework and mindset to career exploration and development. Students will learn to get curious, try stuff out and talk to people through experiential activities in and out of the classroom, self-reflection, readings and discussion. The intended goal is that students will learn how design thinking can help them explore options and opportunities, and at the same time, wrestle with the 'wicked' problem of: How do I know if I'm on the right track, if I don't know exactly what the destination is? This class is best suited for first-year or sophomore undergraduate students.",,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,30,24,6,0,30,Satisfactory/Unsatisfactory,N,Greg Victory
10889,I&E,110,03,Design Your Duke Journey,"Design Your Duke Journey (+Career!) is an interactive course that applies a design-thinking framework and mindset to career exploration and development. Students will learn to get curious, try stuff out and talk to people through experiential activities in and out of the classroom, self-reflection, readings and discussion. The intended goal is that students will learn how design thinking can help them explore options and opportunities, and at the same time, wrestle with the 'wicked' problem of: How do I know if I'm on the right track, if I don't know exactly what the destination is? This class is best suited for first-year or sophomore undergraduate students.",,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,30,8,22,0,30,Satisfactory/Unsatisfactory,N,Mathavi J Strasburger
3589,I&E,243S,01,The Art of Improvising,"We will explore techniques for spontaneous behavior, immediate creation, and developing your creativity and truth on stage. The goal of the class exercises will be to build community and collaboration, to deepen your communication skills, and to strengthen your natural sense of humor. We will study the works of Viola Spolin, Keith Johnstone, and iO.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,16,15,1,0,16,Graded,Y,Johanna (Jody) McAuliffe
3235,I&E,252,01,Learning to Fail,"Most people spend their lives afraid of failing. Yet, many of the world's most successful people failed numerous times on their paths toward success. The underlying question of this class is if failing is as antithetical to learning as we're taught to believe. To explore this question, we will test ways of using failure as a strategy for learning. We will experiment with failure to learn how it can make us better as we develop our skills as innovators, specifically focusing on the earliest stage of creativity: ideation. We will use failure through experimentation as a technique for problem definition and needs discovery which, in turn, will help us validate the quality of our ideas.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,19,0,0,18,Graded,Y,Aaron Philip Dinin
3238,I&E,253,01,Social Marketing: From Literary Celebrities to Instagram Influencers,"Typical Duke students spend hours each day using social media. You've surely heard the platforms described as 'revolutionary,' and you've also heard them described as 'time wasters.' What you probably haven't thought about is how similar they are to previous 'revolutionary' communications technologies like novels, newspapers, and even language itself. This course explores ways in which studying the masters of previous 'social' media technologies—the Shakespeares, Whitmans, and Eliots of the world—can help us understand how influencers on digital social media leverage the same platforms you use every day to market themselves, build their brands, and grow their audiences.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,40,41,0,0,40,Graded,Y,Aaron Philip Dinin
8474,I&E,265S,01,Digital Feminism,"The aim of this course is to critically analyze digital culture from a feminist and gender studies perspective. We will address topics related to digital innovation and its history, unpacking and questioning them through the insights offered by genders studies analytical tools. Subjects such as the rise of the Silicon Valley, gaming culture, social media, algorithms, Artificial Intelligence, extraction of data applied to biotechnology, macroeconomic development of IT platforms and the impact of technology on ecology will be discussed starting from a current event or debate, to which we will give a historical, ethical, sociological, theoretical, literary or cinematographic perspective.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,18,0,0,18,Graded,Y,Alicia Nicki Washington
4834,I&E,273S,01,Electronic Music for TV and Movies,"Experiential, project-based course focusing on writing electronic music for TV and film. Students will score multiple scenes from movies and TV shows. They will learn entire composition/production process: sketching initial ideas from images; creating workflow in the DAW, using MIDI and FX to enhance dramatic/emotional components scenes; mixing complete audio tracks; delivering final stems to dub stage for dialogue and foley. Students will finish course with portfolio of work useful to apply for professional opportunities in commercial film industry. Course will also include career-building guidance for aspiring film composers. Instructors are Duke faculty composer John Supko and Emmy-nominated freelance film composer Karam Salem. Suitable for beginners as well as more advanced students.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,12,6,0,18,Graded,Y,John P Supko; Auburn Lee; Ronja Mokranova
3246,I&E,275,01,"Innovation & Entrepreneurship at the Intersection of Media, Entertainment and Technology","The class will jump into the middle of the change and innovation happening at the intersection of Media, Entertainment and Technology. We will look at how we make, distribute and consume Media and Entertainment. We will focus on entrepreneurs and innovative companies and creators revolutionizing Media and Entertainment, as well as thought leaders and leading companies in the space. The class will feature Cases, articles, speakers, in class discussion along with a term long project.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,30,33,0,0,30,Graded,N,Jed Simmons
3250,I&E,283,01,Product Management,"When creating transformative technology-based products, the essential component to success and positive impact on society is the central role of humans. This course explores this intersection of the humanities and technology. Products are created in interdisciplinary teams through leadership, communication, experimentation, and critical thinking. Product managers must understand diverse cultures and customers. Concepts covered include needs finding, ethical product development, market opportunity analysis, strategy, road mapping, competitive analysis, and life cycle management. Learning takes place using a mix of individual and team-based assignments, presentations, and projects.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,27,28,0,0,27,Graded,Y,Anna Wilson; Amy S Peters; Rachel Settle
3231,I&E,290,01,Special Topics,Selected topics in innovation and entrepreneurship.,WOMEN’S LEADERSHIP LAB,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,40,43,0,0,40,Graded,N,Sima D Sistani
9193,I&E,295S,01,Arts Entrepreneurship,"Student teams work on specific arts-based entrepreneurial projects. Teams comprised of students from different backgrounds (arts, engineering, economics, computer science). Goals include creating business plan and launching ventures in areas of the arts. Structure an adaptation of Fuqua Program for Entrepreneurs. Ideal projects have real/positive impact on society. Students learn to situate artistic creativity within projects that meet societal need. Students from any background welcome to apply for enrollment. Must have interest in arts or working with artists in entrepreneurial context. Admission by permission of instructors.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,16,2,0,18,Graded,Y,Aaron Philip Dinin
4828,I&E,296S,01,Music Entrepreneurship,"Music Entrepreneurship addresses, first and foremost, how to get your art out into the world. This course also explores strategies musicians can use to cultivate an audience and then how to monetize their art and earn an income as a musician. Prerequisites for the course are the ability to perform music (any style, instrument, or voice) and an interest in learning how to get your music out into the world.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,12,6,0,18,Graded,Y,Susan L Fancher; Alex Alexander Lee
9180,I&E,299S,01,Innovating For Social Impact- Leading with Purpose,"Innovating for Social Impact will explore the ever-evolving intersection between the public sector, private sector, non-profit organizations, and individuals in tackling the world's most pressing challenges. Experiential and interactive, this class will take a hands-on, service-oriented approach to learning about issues that are impacting people here locally, and around the globe, and the innovative solutions that are helping to drive progress. Through an examination of our role in the world as leaders, we will think deeply about our moral character - diving into our personal values, wrestling with hard questions, and creating individual leadership maps that help to guide how we want to show up in the world.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,16,2,0,18,Graded,Y,Danielle L Zapotoczny
8170,I&E,302,01,Fieldwork Methods: Cultural Analysis and Interpretation,"Anthropology as a discipline (a field of study) and the site where anthropologists work: the field. Combines theories of anthropological fieldwork methods with practice, including participation, observation, and interviews. Students undertake original research in a local fieldsite of their choice and produce their own mini-ethnography. This requirement may also be satisfied by taking Cultural Anthropology 290A Duke in Ghana Anthropological Field Research.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,25,22,3,0,25,Graded,Y,Katya Wesolowski
3244,I&E,350,01,Customer Empathy & Brand Experience Design,"Before Dollar Shave Club, we went to Target to save on Gillette. We still buy traditional brands at traditional stores. But a host of these disruptors are cutting out the middleman while redefining brick-and-mortar retail. Amazon now gets us whatever we want, whenever and wherever we want it. Dollar Shave Club quickly amassed 3 million subscribers. These 'direct-to-consumer' brands control every customer interaction. These brands become as much about that experience as about the product itself. This requires customer empathy. Armed with these insights, we can create brands that reframe peoples' category expectations and, in best cases, enhance their lives.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,24,24,0,0,24,Graded,N,Brad Brinegar
3232,I&E,352,01,Strategies for Innovation and Entrepreneurship,"Course covers component elements of developing skills needed to launch a venture. Starting at the point of need identification, course covers lean methodology; innovation and entrepreneurship strategy; creating needed financing and resource structures; effectively marketing/communicating innovation and its associated benefits; leading, managing, and working effectively within teams; creating a positive and ethical work culture; and evaluating success. Materials for class discussion are case studies and readings.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,40,38,2,0,40,Graded,N,Shep Moyle
9348,I&E,352,02,Strategies for Innovation and Entrepreneurship,"Course covers component elements of developing skills needed to launch a venture. Starting at the point of need identification, course covers lean methodology; innovation and entrepreneurship strategy; creating needed financing and resource structures; effectively marketing/communicating innovation and its associated benefits; leading, managing, and working effectively within teams; creating a positive and ethical work culture; and evaluating success. Materials for class discussion are case studies and readings.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,40,25,15,0,40,Graded,N,Shep Moyle
