class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
7917,ITALIAN,101,01,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,12,3,0,15,Graded,N,Gerardo Pisacane
7918,ITALIAN,101,02,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,15,0,0,3,Graded,N,Pierpaolo Spagnolo
7919,ITALIAN,101,03,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,13,2,0,15,Graded,N,Pierpaolo Spagnolo
9906,ITALIAN,101,04,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,15,0,0,15,Graded,N,Gerardo Pisacane
9905,ITALIAN,101,05,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,10,5,0,15,Graded,N,Pietro Tripano
10993,ITALIAN,101,06,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,6,9,0,15,Graded,N,Laura P Casa
10922,ITALIAN,101A,01,Italian for Beginners,"Practice in understanding, speaking, reading, and writing. (Taught in Duke-administered programs in Italy.) Placement tests administered to returning students intending to continue in Italian language studies.",,1,LEC,E,Undergraduate,Study Away,Duke University,Rome,Regular Academic Session,08/25/2025,12/05/2025,Open,40,9,31,0,40,Graded,N,Departmental Staff
11693,ITALIAN,101A,02,Italian for Beginners,"Practice in understanding, speaking, reading, and writing. (Taught in Duke-administered programs in Italy.) Placement tests administered to returning students intending to continue in Italian language studies.",,1,LEC,E,Undergraduate,Study Away,Duke University,Venice,Regular Academic Session,08/25/2025,12/05/2025,Open,4,0,4,0,4,Graded,N,Departmental Staff
7920,ITALIAN,102,01,Elementary Italian 2,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,5,10,0,15,Graded,N,Pietro Tripano
7921,ITALIAN,102,02,Elementary Italian 2,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,6,9,0,15,Graded,N,Della Chambless
7922,ITALIAN,102,03,Elementary Italian 2,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,12,3,0,15,Graded,N,Pietro Tripano
7924,ITALIAN,203,02,Intermediate Italian,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,10,5,0,15,Graded,N,Laura P Casa
7925,ITALIAN,203,03,Intermediate Italian,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,13,2,0,15,Graded,N,Laura Bilanceri
7926,ITALIAN,203,04,Intermediate Italian,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,11,4,0,15,Graded,N,Pierpaolo Spagnolo
7927,ITALIAN,203,05,Intermediate Italian,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,3,12,0,15,Graded,N,Laura Bilanceri
8079,ITALIAN,208FS,01,Bio-Lit: The Science of Renaissance Sex and Gender,"What is a woman? What is a man? Did Renaissance minds consider other options? Could women be intellectuals? Were male bodies necessary for reproduction? What taboos about sex and power were almost too scandalous even for the elites? Much as it does today, talk of sex and gender sparked hot debate throughout Renaissance Europe. Between the fourteenth and seventeenth centuries, bodies were sites of fascination and dread. This course studies 'Bio-Lit' (literature about life and the body), drawing on examples of epic and lyric poetry, medical treatises, recipe books, experiment logs, cosmetic how-to guides, paintings, and early opera. Offered as part of the FOCUS program.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,18,0,0,18,Graded,Y,Kathleen Driscoll
7929,ITALIAN,301S,01,"Introduction to Italian Studies: Language, Literature, Film","Introduction to Italian literature, thought and cultural practices. Focus on one or more authors, genres, social and political movements, cultural institutions, from middle ages to present, exposing students to a range of critical and theoretical tools. Engagement with social, political and philosophical issues and debates of enduring importance within literary and cultural texts and traditions. Strong emphasis on development of composition skills, writing and discourse strategies, vocabulary development, rhetorical techniques and conventions. Prerequisite: an Italian 200 level FL course or above.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,13,2,0,15,Graded,N,Mattia Begali
8048,ITALIAN,327S,01,Introduction to Italian Culture,"An introduction to Italian culture through the cross-cultural analysis of its history, literature, cinema and arts.",BLACK ITALY,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,4,11,0,15,Graded,N,Francesca Magario
6565,ITALIAN,384,01,Avant-Garde Art 1900-1945,"Major artistic movements and theoretical aims of early modernism: fauvism, cubism, expressionism, futurism, constructivism, suprematism, dada, surrealism, deStijl, Bauhaus, and Neue Sachlichkeit in France, Italy, Germany, America.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,20,9,11,0,20,Graded,Y,Angelina Lucento
