class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
3485,LSGS,201S,01,Introduction to Latino/a Studies in the Global South,"Intro to the interdisciplinary field of Latino/a Studies, and how it reconfigures the study of the United States and the Americas. Considers literature, history, sociology, economics, politics, culture and language in examining terms such as: Latino, latinidad, Global South, transnational, globalization, and multiculturalism. Exploration of alignments and divergences of Latino/a Studies with African and African American Studies, Latin American and Caribbean Studies, and Critical US Studies. Classroom learning will connect with the community outside of Duke. Required intro course for students in the Latino/a Studies in the Global South certificate program.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,13,5,0,18,Graded,Y,Sophia Enriquez; Haotian Wang; Trisha Liao
9323,LSGS,209,01,Intermediate Spanish for Heritage Learners,"This course is the first of a two-course sequence for heritage Spanish learners. It aims to reconnect students with their linguistic and cultural heritage to further them through meaningful experiences. Activities in this course empower heritage learners to apply their bilingual/bicultural knowledge in academic and professional settings. Students have the opportunity to a) discuss topics relevant to their interests, use presentational skills to write and talk about them b) conduct sociolinguistic research, develop critical and integrative thinking skills in Spanish, and c) gain skills required to work professionally in a Spanish-speaking environment. Instructor consent required.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,8,4,0,12,Graded,Y,Liliana Paredes
7030,LSGS,222,01,History of Latinxs in the United States,"This introductory course will cover the social, cultural, and political histories of Latino/as in the United States from 1848 to the present including the Treaty of Guadalupe Hidalgo, the Great Depression, WWI/WWII, the creation of Latino/a civil rights organizations, and the civil wars and free trade agreements of the 1980s and 1990s that have spurned so much of contemporary migration. Themes include colonialism and conquest, sexuality and gender, race and ethnicity, transnationalism and migration, social inequality and practices of resistance. This class will highlight the diversity of the Latino/a experience—focusing on the history of Afro-Latino/as, queer Latino/as, and undocumented Latino/as.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,30,8,22,0,30,Graded,Y,Cecilia Marquez
8020,LSGS,306CN,01,"Health, Culture, and the Latino Community","Exploration of health issues in the Spanish-speaking world shaped by social, cultural, political, ethnic, and economic determinants. Topics: cultural competency, community beliefs, medical practices and policies, preventive medicine, mental health. Projects include presentations, writing, research, and conversations with local and global contacts. Evaluation on knowledge of content, oral and written proficiency in Spanish. One 300-level Spanish course recommended prior to enrolling. Prerequisite: Spanish 204 or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,3,12,0,15,Graded,Y,Joan E Clifford
8029,LSGS,307S,01,Issues of Education and Immigration,"Topics include Latino/a/x identities, educational pathways for Spanish-speakers in our community, relevant public policy and legislation, and social action. Required 20 hours outside of class with assigned community partners. Assessment on knowledge of content, oral and written Spanish, and participation in service. One 300-level Spanish course recommended prior to enrolling.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,10,5,0,15,Graded,Y,Rebecca Amelia Ewing
3323,LSGS,316,01,Sociology of Racism in America,"Examines social history of major racial groups in the US and relationships to contemporary standing. Discusses central concepts sociologists use to analyze racial matters. Central theme: 'racism' is not mere 'prejudice,' 'ignorance,' or 'intolerance,' but a comprehensive historical system of racial domination organized around the logic of white supremacy. Discussion of 'whiteness' in the USA—how whiteness emerged as a social category, an identity based on experiences of variety of European 'peoples;' how it dominated the racial structure of the US since the 17th century, how wealth has been distributed along racial lines, racialization of Asians and Latinos, and color blind racism.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,35,12,23,0,35,Graded,Y,Eduardo Bonilla-Silva
3066,LSGS,350,01,"Brains, Everywhere","Over the last three decades we have witnessed the speedy rise of the 'neurosciences,' an historical event characterized by some 'neuro-cultures' and 'neuro-subjects.' In this course we will track this history and ask what change in meaning might 'neuro' effect in the disciplines that were previously 'neuro'-free. If there is a neuro-turn in the humanities and social sciences, what is it that's 'turning'? We will consider the centrality of brain research in these discussions to ask questions about the meaning of 'personhood/subjectivity,' 'human/post human,' 'mind/body,' 'self/ego,' and 'emotion/affect.'",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,12,12,0,0,12,Graded,Y,Antonio Viego; -
8741,LSGS,390S,01,Special Topics in Latino/a Studies in the Global South,A comparative and interdisciplinary approach to Latino/a Studies in the Global South. Topics vary by semester and instructors.,LATINX LITERARY WORLDS,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,16,1,15,0,16,Graded,Y,Christina A Leon; -
8120,LSGS,425S,01,Cuzco: Local and Imperial,"Cuzco is a city in the Andes with a rich past that not only originates with the prominence of the Inca Empire, but also with its closeness to Aymara and Amazonian cultures. Its archeological record and history together with the prevalence of Quechua, Aymara and Spanish are tied to the city's pre-Columbian, colonial and contemporary cultural practices. The question that we will work through by engaging with readings and visual material is how a space or place—a city—creates its history and significance with the passage of time.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,18,0,0,18,Graded,Y,Angelica Serna Jeri; Uriel Nascimento Santos Pinho
8104,LSGS,439S,01,Global Spain,"This Duke in Spain course draws from comparative perspectives across countries and cultures. It links Madrid's socio-cultural turning points vis-à-vis national and international migration to other geographies where Spanish is spoken. Forming a nexus with broader Spanish-language mobile circuits––as evinced, for example, through U.S. Latino/a/x populations––this seminar explores the Spanish capital as a global urban epicenter and primary destination site for migrants from Africa, the Americas, Europe, and Asia. Recommended prerequisite: Spanish 204 or equivalent.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,15,3,0,18,Graded,Y,Claudia Milian
