class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
2832,MSEG,591,01,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,DNA ON SI SURFACE,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Stefan Zauscher
2833,MSEG,591,02,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,2D CHALC SEMI,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,David Mitzi
2834,MSEG,591,03,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,HONEYCOMB MAGNET,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Sara Haravifard
2835,MSEG,591,04,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,NANOTUBE TFTS,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Michael J Therien
2836,MSEG,591,05,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,ANTI WEAR RUBBER,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Stephen L Craig
2837,MSEG,591,06,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,CURE GELATION,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Bavand Keshavarz
2838,MSEG,591,07,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,INTER REL DFT,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Volker Blum
2839,MSEG,591,08,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,INJECTABLE HYDROGEL,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Benjamin J Wiley
2840,MSEG,591,09,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,HOIP DIMEN ENG,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,David Mitzi
2841,MSEG,591,10,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,HYDROGEL DESIGN,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Benjamin J Wiley
2842,MSEG,591,11,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,IMAGING,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Willie Padilla
2843,MSEG,591,12,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,HYBRID MAT STUDY,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Volker Blum
2844,MSEG,591,13,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,RIR-MAPLE PLUME STUDY,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Adrienne Stiff-Roberts
2845,MSEG,591,14,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,POLYNET THERMO,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,0,Graded,N,Michael Rubinstein
2846,MSEG,591,15,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
2847,MSEG,591,16,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
2848,MSEG,591,17,Independent Study,Independent study guided by an instructor with related interests and expertise. Department consent required.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,1,0,1,0,0,Graded,N,Departmental Staff
