class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4722,MUSIC,101-1,01,Class Piano,A group lesson in which students play assigned pieces for each other and the instructor. The instructor works with each student individually. Beginners are welcome as well as students who have taken other rudimentary lessons. Each student learns at their own pace and is given some practice time during the class period. Assigned pieces will include duets with other members of the class. Instructor consent required.,,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,5,5,0,0,5,Graded,N,Susan Greenberg
4723,MUSIC,101-1,02,Class Piano,A group lesson in which students play assigned pieces for each other and the instructor. The instructor works with each student individually. Beginners are welcome as well as students who have taken other rudimentary lessons. Each student learns at their own pace and is given some practice time during the class period. Assigned pieces will include duets with other members of the class. Instructor consent required.,,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,5,5,0,0,5,Graded,N,Susan Greenberg
4724,MUSIC,101-1,03,Class Piano,A group lesson in which students play assigned pieces for each other and the instructor. The instructor works with each student individually. Beginners are welcome as well as students who have taken other rudimentary lessons. Each student learns at their own pace and is given some practice time during the class period. Assigned pieces will include duets with other members of the class. Instructor consent required.,,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,5,5,0,0,5,Graded,N,Susan Greenberg
4725,MUSIC,101-1,04,Class Piano,A group lesson in which students play assigned pieces for each other and the instructor. The instructor works with each student individually. Beginners are welcome as well as students who have taken other rudimentary lessons. Each student learns at their own pace and is given some practice time during the class period. Assigned pieces will include duets with other members of the class. Instructor consent required.,,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,5,5,0,0,5,Graded,N,Susan Greenberg
4726,MUSIC,101-2,02,Class Voice,Group lessons focused on development of basic technique for voice in a master class setting. Students will perform song literature appropriate to the individual skill level. Instructor consent required.,,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,5,4,1,0,5,Graded,N,Elizabeth Linnartz
4728,MUSIC,101-3,01,Introductory Guitar Class,Group lessons focused on the development of basic technique for guitar. Students will observe their peers during lessons and will perform literature appropriate to each individual's skill level. Instructor consent required.,,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,8,6,2,0,8,Graded,N,Colin Fullerton
4729,MUSIC,101-3,02,Introductory Guitar Class,Group lessons focused on the development of basic technique for guitar. Students will observe their peers during lessons and will perform literature appropriate to each individual's skill level. Instructor consent required.,,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,8,6,2,0,8,Graded,N,Colin Fullerton
4813,MUSIC,101-6,01,Class Percussion,Group lessons focused on the development of basic technique for percussion. Students will observe their peers during lessons and will perform literature appropriate to each individual's skill level. Instructor consent required.,,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,14,2,12,0,14,Graded,N,Julia Thompson
4737,MUSIC,103-1,01,Classical Piano,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,1,9,0,10,Graded,N,Ieva Jokubaviciute
4738,MUSIC,103-1,02,Classical Piano,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,David Heid
4739,MUSIC,103-1,03,Classical Piano,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,1,9,0,10,Graded,N,Pei-Fen Liu
4740,MUSIC,103-1,04,Classical Piano,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,Daniel S Seyfried
4741,MUSIC,103-1,05,Classical Piano,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,2,8,0,10,Graded,N,Jean K Park
4742,MUSIC,103-2,01,Jazz Piano,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,1,9,0,10,Graded,N,Edmund J Paolantonio
4631,MUSIC,103-3,01,Organ,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,Clara Gerdes
4632,MUSIC,103-4,01,Harpsichord,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,Clara Gerdes
4743,MUSIC,104-1,01,Violin,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,4,6,0,10,Graded,N,Eric N Pritchard
4744,MUSIC,104-1,02,Violin,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,2,8,0,10,Graded,N,Hsiao-Mei Ku
4745,MUSIC,104-1,03,Violin,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,Mary K Robinson
4746,MUSIC,104-1,04,Violin,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,2,8,0,10,Graded,N,Jennifer Curtis
4747,MUSIC,104-1,05,Violin,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,Gabriel J Richard
4748,MUSIC,104-2,01,Viola,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,Jonathan E Bagg
4749,MUSIC,104-3,01,Cello,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,2,8,0,10,Graded,N,Caroline S Stinson
4750,MUSIC,104-3,02,Cello,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,3,7,0,10,Graded,N,Stephanie Vial
4751,MUSIC,104-4,01,Double Bass,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,Zachary David Hobin
4633,MUSIC,104-5,01,Classical Guitar,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,Colin Fullerton
4634,MUSIC,104-6,01,Jazz Guitar,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,0,10,0,10,Graded,N,Kevin Van Sant
4735,MUSIC,104-7,01,Harp,"Weekly, 30-minute individual private instruction for undergraduate students of varying levels. Ability beyond the beginner stage is required. There is a fee associated with lessons for non-declared music majors. Instructor consent required.",,0.25,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,10,1,9,0,10,Graded,N,Laura Byrne
