class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
1213,OPHTHAL,220C,01,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,08/25/2025,08/29/2025,Open,5,1,4,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
1214,OPHTHAL,220C,02,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/02/2025,09/05/2025,Open,5,0,5,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
1224,OPHTHAL,220C,03,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/08/2025,09/12/2025,Open,5,2,3,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
1221,OPHTHAL,220C,04,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/15/2025,09/19/2025,Open,5,0,5,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
1228,OPHTHAL,220C,05,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/22/2025,09/26/2025,Open,5,0,5,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
1229,OPHTHAL,220C,06,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/29/2025,10/03/2025,Open,5,1,4,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
1230,OPHTHAL,220C,07,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/06/2025,10/10/2025,Open,5,0,5,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
1231,OPHTHAL,220C,08,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/13/2025,10/17/2025,Open,5,0,5,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
1509,OPHTHAL,220C,09,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/20/2025,10/24/2025,Open,5,0,5,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
1510,OPHTHAL,220C,10,Ophthalmology,"This ophthalmology selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive ophthalmology, including subspecialties (neuro-ophthalmology, external disease, oculoplastics, cornea, refractive surgery, pediatrics, strabmismus, glaucoma, and vitreoretinal disease). There will be didactic instruction and with patient care exposure in the clinic setting and operating room. Credit: 1. Enrollment max. 5. Location: Duke Eye Center, Hudson Building, Main Entrance (2nd floor). Please contact Matthew Larch (matthew.larch@duke.edu) for more information. Jullia Rosdahl, MD, PhD
Credit: 1. Enrollment Max: 5. Jullia Rosdahl, MD, PhD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/27/2025,10/31/2025,Open,5,1,4,0,0,Credit / No Credit,N,-; -; Jullia Rosdahl
