class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
1266,ORTHO,221C,01,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,08/25/2025,08/29/2025,Open,2,0,2,0,0,Credit / No Credit,N,Ankit Patel
1267,ORTHO,221C,02,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/02/2025,09/05/2025,Open,2,1,1,0,0,Credit / No Credit,N,Ankit Patel
1268,ORTHO,221C,03,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/08/2025,09/12/2025,Open,2,0,2,0,0,Credit / No Credit,N,Ankit Patel
1269,ORTHO,221C,04,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/15/2025,09/19/2025,Open,2,1,1,0,0,Credit / No Credit,N,Ankit Patel
1270,ORTHO,221C,05,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/22/2025,09/26/2025,Open,2,0,2,0,0,Credit / No Credit,N,Ankit Patel
1271,ORTHO,221C,06,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/29/2025,10/03/2025,Open,2,0,2,0,0,Credit / No Credit,N,Ankit Patel
1272,ORTHO,221C,07,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/06/2025,10/10/2025,Open,2,1,1,0,0,Credit / No Credit,N,Ankit Patel
1273,ORTHO,221C,08,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/13/2025,10/17/2025,Open,2,0,2,0,0,Credit / No Credit,N,Ankit Patel
1517,ORTHO,221C,09,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/20/2025,10/24/2025,Open,2,0,2,0,0,Credit / No Credit,N,Ankit Patel
1518,ORTHO,221C,10,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/27/2025,10/31/2025,Open,2,0,2,0,0,Credit / No Credit,N,Ankit Patel
1519,ORTHO,221C,11,Physical Medicine and Rehabilitation,"Physical Medicine & Rehabilitation is the medical specialty that focuses on improving the function and quality of life of patients of all ages and etiologies, specializing in stroke, sports injury, spinal cord injury, traumatic brain injury, limb loss, pain management, and/or congenital or acquired musculoskeletal conditions. PM&R physicians are known as physiatrists. Physiatrists focus on a holistic, patient-centered approach to care, focusing on how to improve a patient's function utilizing therapies, pharmacology equipment, etc. Physiatrists often lead interdisciplinary rehabilitation teams and work closely with neurologists, psychiatrists, orthopedic/neurological surgeons, either in close coordination or as members of multi-disciplinary clinics. Thus, students who participate in this selective will take part in a collaborative practice, build on their medical knowledge, and develop basic understanding of the nuances of these conditions from the perspective of the recovery and rehabilitation process. The students will also gain insights about the specialty of PM&R for the consideration of this specialty for their career. The time and location of the first day of the selective will be decided through the communication with the course director, Dr. Ankit Patel (ankit.patel@duke.edu). The class meets M-F, 8am - 5pm. Students attend Grand Rounds on Wednesday from 6:30am - 7:30am (in person or virtually). Permission is required. Students must contact Dr. Patel prior to registering and/or course information. The secondary contact is Lucie Sowell (lucie.sowell@duke.edu). Enrollment Max. 2; Credit: 1. Course Director: Ankit Patel, H. Michael Guo, MD; Mike O. Boyd, DO; and Gloria Liu, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,11/03/2025,11/07/2025,Open,2,0,2,0,0,Credit / No Credit,N,Ankit Patel
