class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
5150,PHYSICS,121DL,001,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,50,40,10,0,50,Graded,N,Marko Cetina
5151,PHYSICS,121DL,002,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,35,21,14,0,35,Graded,N,Marko Cetina
5152,PHYSICS,121DL,003,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,50,44,6,0,50,Graded,N,Marko Cetina
5153,PHYSICS,121DL,004,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,35,28,7,0,35,Graded,N,Marko Cetina
5154,PHYSICS,121DL,01D,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,30,28,2,0,30,Graded,N,Courtney J Martin; Marko Cetina
5155,PHYSICS,121DL,01L,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,0,LAB,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,24,19,5,0,24,Graded,N,Ken Alan McKenzie; Marko Cetina; Tyler Jay Hellstern
5156,PHYSICS,121DL,02D,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,25,23,2,0,25,Graded,N,Bergen Hasli Kendziorski; Marko Cetina
5157,PHYSICS,121DL,02L,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,0,LAB,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,24,22,2,0,24,Graded,N,Ken Alan McKenzie; Marko Cetina; Jyotika Roychowdhury
5158,PHYSICS,121DL,03D,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,30,28,2,0,30,Graded,N,Jean Luc Ishimwe; Marko Cetina
5159,PHYSICS,121DL,03L,General Physics I-A,"First semester of a two-semester introductory physics course suitable for students in the life sciences. Core physics topics: kinematics, dynamics, systems of particles, momentum, energy, angular momentum, conservation laws, statics, fluids, and oscillations. The course explores fundamental physics concepts, laws, and their synthesis. Quantitative reasoning is developed through the application of mathematical models of nature, as well as statistical data analysis. Relevant mathematics skills are taught and practiced in dedicated modules. Physics 121 includes lecture, lab, and discussion components. Not open to students with credit for Physics 141L, 151L, 161D or equivalent.",,0,LAB,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,24,9,15,0,24,Graded,N,Ken Alan McKenzie; Marko Cetina; Jyotika Roychowdhury
