class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
8032,PORTUGUE,89S,01,First Year Seminar in Portuguese,"Topics vary each semester offered. Prior to the drop/add period, this course is restricted to first-year students who have not fulfilled their seminar requirement.","BRAZIL, RACE, SEX, THE BODY",1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,1,17,0,18,Graded,Y,Lamonte Aidoo
7938,PORTUGUE,101,01,Elementary Portuguese I,"Course is geared towards communicative skills and is designed for students to complete it with a basic level of proficiency in listening, speaking, reading, and writing. The course focuses on conversation, grammar acquisition, and cultural issues raised in lessons, films, videos, articles, readings, and music. Meets four times a week.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,14,1,0,15,Graded,N,Magda Silva
8001,PORTUGUE,203,02,Intermediate Portuguese,"Intensive language review of reading, writing, and oral practice, with increased attention to grammatical variety and accuracy. Cultural component emphasized through short readings, videos, music. Recommended prerequisite: Portuguese 102 or 112.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,15,15,0,0,15,Graded,N,Magda Silva; Nicoly Monteiro dos Santos
7999,PORTUGUE,301S,01,Advanced Colloquial Portuguese,"Study of colloquial Portuguese as a catalyst of popular culture; sayings, expressions, and proverbs. Emphasis on oral communication. We will do an examination of the factors that have had a cultural impact in the Portuguese language involving religion, gender, politics, or ethnicity. We will study such things as everyday talk; i/literacy and identity; stories, legends; comedy, poetry, music, advertisements, the influence of English in the Portuguese language; the machismo in the everyday vocabulary. How these linguistic/cultural phenomena both represent and complicate our notions of cultural norms in the learning of the Portuguese language.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,10,5,0,15,Graded,N,Magda Silva
7939,PORTUGUE,393,01,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, resulting in a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open only to qualified juniors by consent of instructor and director of undergraduate studies.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
7940,PORTUGUE,393,02,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, resulting in a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open only to qualified juniors by consent of instructor and director of undergraduate studies.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
7941,PORTUGUE,394,01,Research Independent Study,See Portuguese 393. Open only to qualified juniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
7942,PORTUGUE,394,02,Research Independent Study,See Portuguese 393. Open only to qualified juniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
7943,PORTUGUE,493,01,Research Independent Study,See Portuguese 393. Open only to qualified seniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
7944,PORTUGUE,493,02,Research Independent Study,See Portuguese 393. Open only to qualified seniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
7945,PORTUGUE,494,01,Research Independent Study,See Portuguese 393. Open only to qualified seniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
7946,PORTUGUE,494,02,Research Independent Study,See Portuguese 393. Open only to qualified seniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
8024,PORTUGUE,791,01,Special Readings,Supervised independent study and reading. Consent of instructor required.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
8025,PORTUGUE,791,02,Special Readings,Supervised independent study and reading. Consent of instructor required.,,3,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,2,0,2,0,2,Graded,N,Departmental Staff
