class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
1237,SURGERY,205C,81,Surgery,"The required course in surgery is given in the second year and consists of a seven-week clinical clerkship. The primary goal is to provide a rich experience in the discipline of surgery while introducing students to the practice and principles of surgery. The objectives of this course are satisfied in a variety of ways. Students are actively incorporated into the surgical services. Students work with Duke Surgical residents and members of the surgical faculty in the traditional surgical disciplines and surgical specialties. Students are assigned patients on the surgical wards where they serve a crucial role in the care, diagnosis, management, and follow-up of their patients. Clinical rounds are made daily and provide real-time patient care experience and instruction. The fundamental topics which form the foundation of surgical practice are presented at bi-weekly seminars with presentations by senior staff of the Duke University Department of Surgery. The subjects discussed include a broad range of topics in general, thoracic, transplant and vascular surgery. Students are also given an opportunity to reinforce their knowledge of anatomy and physiology. Students are also given an opportunity to test their hand eye coordination in the Surgical Education and Activities Lab. For questions, please contact Thomas Latta, Program Coordinator, via email, thomas.latta@duke.edu. Credit: 7. Alisan Fathalizadeh, MH",,7,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,08/25/2025,10/17/2025,Open,22,19,3,0,0,Satisfactory/Unsatisfactory,N,-; -; -; Katharine L Jackson; Alisan Fathalizadeh
1238,SURGERY,205C,82,Surgery,"The required course in surgery is given in the second year and consists of a seven-week clinical clerkship. The primary goal is to provide a rich experience in the discipline of surgery while introducing students to the practice and principles of surgery. The objectives of this course are satisfied in a variety of ways. Students are actively incorporated into the surgical services. Students work with Duke Surgical residents and members of the surgical faculty in the traditional surgical disciplines and surgical specialties. Students are assigned patients on the surgical wards where they serve a crucial role in the care, diagnosis, management, and follow-up of their patients. Clinical rounds are made daily and provide real-time patient care experience and instruction. The fundamental topics which form the foundation of surgical practice are presented at bi-weekly seminars with presentations by senior staff of the Duke University Department of Surgery. The subjects discussed include a broad range of topics in general, thoracic, transplant and vascular surgery. Students are also given an opportunity to reinforce their knowledge of anatomy and physiology. Students are also given an opportunity to test their hand eye coordination in the Surgical Education and Activities Lab. For questions, please contact Thomas Latta, Program Coordinator, via email, thomas.latta@duke.edu. Credit: 7. Alisan Fathalizadeh, MH",,7,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/20/2025,12/12/2025,Open,22,19,3,0,0,Satisfactory/Unsatisfactory,N,-; -; -; Katharine L Jackson; Alisan Fathalizadeh
1286,SURGERY,206C,16,Primary Care Leadership Track (PCLT) - Surgery,"The required course in surgery is given in the second year and consists of an eight week clinical clerkship. The primary goal is to provide a rich experience in the discipline of surgery while introducing students to the practice and principles of surgery. The objectives of this course are satisfied in a variety of ways. Students are actively incorporated into the surgical services. Students are divided into two groups, one at Duke University and the other at the Veterans Administration Medical Center, and each works with Duke Surgical residents and members of the surgical faculty in the traditional surgical disciplines and surgical specialties. Students are assigned patients on the surgical wards where they serve a crucial role in the care, diagnosis, management, and follow-up of their patients. Clinical rounds are made daily and provide real-time patient care experience and instruction. The fundamental topics which form the foundation of surgical practice are presented at bi-weekly seminars with presentations by senior staff of the Duke University Department of Surgery. The subjects discussed include a broad range of topics in general, thoracic, transplant and vascular surgery in addition to the surgical specialties encompassing neurosurgery, orthopaedics, otolaryngology, plastic surgery, and urology/ Students are also given an opportunity to re-inforce their knowledge of anatomy and physiology. These fundamental principles are discussed during dissections of fresh tissue performed in the Duke University of Surgery Fresh Tissue Laboratory. Students are also given an opportunity to test their hand eye coordination in the Surgical Education and Activities Lab. The entire experience is consolidated during various sessions in experimental surgery, during which each student serves as the anesthesiologist, first assistant, and operating surgeon in performance of surgical procedures on experimental animals. For questions, please contact Thomas Latta, Program Coordinator, via email, thomas.latta@duke.edu. Credit: 7.. Alisan Fathalizadeh, MD",,7,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,08/25/2025,12/12/2025,Open,1,0,1,0,0,Satisfactory/Unsatisfactory,N,-; -; Katharine L Jackson
1152,SURGERY,223C,01,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,08/25/2025,08/29/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1153,SURGERY,223C,02,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/02/2025,09/05/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1158,SURGERY,223C,03,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/08/2025,09/12/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1159,SURGERY,223C,04,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/15/2025,09/19/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1164,SURGERY,223C,05,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/22/2025,09/26/2025,Closed,1,1,0,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1165,SURGERY,223C,06,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/29/2025,10/03/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1166,SURGERY,223C,07,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/06/2025,10/10/2025,Closed,1,1,0,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1167,SURGERY,223C,08,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/13/2025,10/17/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1653,SURGERY,223C,09,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/20/2025,10/24/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1654,SURGERY,223C,10,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/27/2025,10/31/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
