class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4683,THEATRST,141,01,The Hollywood Musical: Singing and Dancing the American Dream,"Beyond its unapologetic praise of spectacularity and entertainment, what makes the Hollywood film musical a quintessential American genre? Since its origins, the Hollywood musical has been channelling various ideologies in its modes of performance and production; it has offered a space to address specific anxieties of the American society: modernity vs. nostalgia, representations of gender, ethnicity, class, and the low/high divide in arts. Emphasis will be given on its performative aspects, the relationship between choreography and song, the changing representations of the dancing body, musical styles, sexual objectification and the star persona.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,25,1,24,0,25,Graded,Y,Jacqueline Waeber
3572,THEATRST,145S,01,Acting,"Acting 145S explores the craft of acting as an experiential and embodied knowledge through collaboration, imagination, play, and attending live theater. The course engages culturally diverse approaches to the practice while facilitating an introduction to voice and movement; monologue and scene work; audition preparation; and a creation of a dramaturgical toolbox to aid students in future classes and productions.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,11,1,0,12,Graded,N,Johann Montozzi-Wood
3573,THEATRST,145S,02,Acting,"Acting 145S explores the craft of acting as an experiential and embodied knowledge through collaboration, imagination, play, and attending live theater. The course engages culturally diverse approaches to the practice while facilitating an introduction to voice and movement; monologue and scene work; audition preparation; and a creation of a dramaturgical toolbox to aid students in future classes and productions.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,6,6,0,12,Graded,N,Chelsea M Thaler
3574,THEATRST,145S,03,Acting,"Acting 145S explores the craft of acting as an experiential and embodied knowledge through collaboration, imagination, play, and attending live theater. The course engages culturally diverse approaches to the practice while facilitating an introduction to voice and movement; monologue and scene work; audition preparation; and a creation of a dramaturgical toolbox to aid students in future classes and productions.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,12,12,0,0,12,Graded,N,Jeff M Storer
3575,THEATRST,145S,04,Acting,"Acting 145S explores the craft of acting as an experiential and embodied knowledge through collaboration, imagination, play, and attending live theater. The course engages culturally diverse approaches to the practice while facilitating an introduction to voice and movement; monologue and scene work; audition preparation; and a creation of a dramaturgical toolbox to aid students in future classes and productions.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,8,4,0,12,Graded,N,Johann Montozzi-Wood
9933,THEATRST,187A,01,Reading Theater in New York,"Theater is a live art in which one assembly of people tells a story to another: the audience. This course introduces this art from two, interwoven perspectives. First we consider the scripts as artifacts of the past. We uncover the acting, directing, and design conventions that originally animated the scripts; the spaces for which they were intended; the audiences for whom they were performed. Then we consider the scripts as blueprints for the present with the guidance of guest artists in New York (some from Duke's alumni network) and site visits to theaters and rehearsal rooms. We see productions all plays, which are chosen from that season's offerings in New York.",,1,LEC,E,Undergraduate,Study Away,Duke University,New York,Regular Academic Session,08/28/2025,12/10/2025,Closed,12,12,0,0,12,Graded,Y,R. Darren Gobert
3602,THEATRST,187S,01,Reading Theater,"In the theater, what we read on the page is an artifact of performances that once happened as well as a blueprint for stage performances yet to come. In this course, we work as archeologists to explore the meanings of the artifact and as creators—on our feet and with our bodies—to unlock the potential meanings of the blueprint. The course focuses on six plays, drawn from different periods in history and different countries, and includes non-European and non-white perspectives.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,14,8,6,0,14,Graded,Y,Torry Bend
3590,THEATRST,190FS,01,Focus Program Special Topics,Topics vary semester to semester. Open only to students in the Focus program.,MOVEMENT AND NEUROPLASTICITY,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,18,18,0,0,18,Graded,Y,Johanna (Jody) McAuliffe
3595,THEATRST,202,01,Introduction to Performance Studies,"Introduction to field of performance studies, with examples drawn from music, dance, theatre, performance art, protests, rituals, and everyday life. Through comparative study of global performance, we explore the usefulness of concepts of ritual, play, and performativity as they relate to performance and technology; intercultural performance and implications and ethics of appropriation and borrowing; originality and imitation; archive and repertoire; performative writing; and the performative dimensions of gender, race, and sexuality.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,14,6,8,0,14,Graded,Y,Douglas A Jones
9935,THEATRST,203A,01,"The Arts, Culture, and Performance of New York","This course introduces its participants to New York though its rich artistic, cultural, and performance offerings--drawn from art, dance, film, music, literature, and theater. Visiting all five boroughs, they contemplate how the identities of New Yorkers—informed by the city and by ability, class, ethnicity, gender, race, and sexuality—are performed in the theater of everyday life: in parks, streets, subways, and especially the city's diverse neighborhoods and restaurants.",,1,LEC,E,Undergraduate,Study Away,Duke University,New York,Regular Academic Session,08/28/2025,12/10/2025,Closed,12,12,0,0,12,Graded,Y,Hunter James Augeri
