class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
8167,AMES,110S,01,Mysticism of India: Spiritual Traditions of South Asia,"This course focuses on the mystical teachings of South Asia, including Muslim, Hindu, and Sikh material. We will pay particular attention to music and poetry. Course content is primarily premodern material, with most readings being from the 1000-1600 period. All readings are in English. No background required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,12,12,0,1,12,Graded,Y,Omid Safi
7866,AMES,124CNS,01,Global Japan,"Draws upon approaches from Global Asias and Anthropology to examine the global dimensions of Japanese identity and culture. Examines stereotypes and erroneous imaginations of Japanese identity and society, most notably the myth of homogeneity. Explores historical and contemporary Japanese diasporic configurations and communities in various global contexts, including but not limited to regions such as Latin America and cities such as Los Angeles. Examines the various diasporic communities and hubs within Japan, including but not limited to schools for children of North Korean heritage and small Black-owned businesses in Tokyo.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,3,15,0,18,Graded,N,Kimberly Hassel
4226,AMES,142,01,History of Chinese Medicine,"This course introduces students to the history of medicine through the study of medical practices and beliefs in China. Paying close attention to socio-historical context, we will explore how those beliefs formed, how the practices have changed over time, and in particular how the introduction of Western medicine and then scientific biomedicine forced fundamental changes in Chinese medicine over the course of the twentieth century. This course also introduces students to the discipline of History, and students will work in close consultation with the professor to produce a unique research paper. History majors should take a Gateway Seminar first, but there are no official prerequisites.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,50,41,9,0,50,Graded,Y,Nicole Elizabeth Barnes
3914,AMES,145,01,Chinese Music Ensemble,Instructor consent required.,,0.5,MUS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,0,15,0,0,Satisfactory/Unsatisfactory,Y,Jennifer Chang
7869,AMES,147CNS,01,Border Fictions,"Explores the histories and afterlives of 20th-century partitions through literature, art, photography, and film. Reads fiction/film centered on borders with attention to genres such as ghost stories, science fiction, spy thrillers and magic realism. Examines struggles over sovereignty, identity, and lived experiences through a reading of borders as method. Engages with digital archives to understand patterns in oral storytelling across borders from South, Southeast, and West Asia with emphasis on comparative readings. Evaluations through class participation, discussion posts, presentations, final online exhibit or poster presentation.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,8,10,0,18,Graded,Y,Preeti Singh
7867,AMES,173CNS,01,Chinese Diasporas and Language: A Sociolinguistic Exploration,"Designed for first-year students to understand Chinese diasporas through the lens of sociolinguistics. Investigate how language shapes and is shaped by cultural identity, intergenerational communication, language ideology, and societal attitudes within Chinese diasporic communities. Key themes include the diverse linguistic profiles of Chinese diasporas, language maintenance and shift, identity and language, linguistic landscapes in Chinatowns, and Chinese heritage language education. Readings and class discussions conducted in English.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,2,10,0,12,Graded,Y,Yan Liu
7865,AMES,177CNS,01,"Religion, War, Social Justice","Course explores conflict and coexistence in the three monotheistic world religions--Christianity, Judaism, and Islam--and current wars waged in the name of religion. Looks at origins and evolution of armed struggle in each tradition. Traces religious conflict in the Muslim conquest of the 7th c., the reconquista, the crusades in the 11th & 13th centuries, and the establishment of Israel and the ensuing conflict in Palestine. Also explores social justice and peaceful coexistence in the three religions—in Latin American liberation theologies, understandings of jihad as spiritual struggle, and the Jewish concept of Tikkun Olam or 'repairing the world' through social action.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,18,19,0,1,18,Graded,N,Ellen McLarney
4570,AMES,182S,01,Asian American Theater,"Asian American theater and performance traditions, including major dramatic texts and canon formation. Critical framework for discussing race, ethnicity, gender, and sexuality.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,14,14,0,1,14,Graded,Y,Esther K Lee
8291,AMES,214,01,9/11 and Its Aftermath: How Bin Laden Changed America and the World,"Course will examine the impact of the 9/11 attacks and the response to these attacks on America and the World. Study the historical, political, and sociological forces that gave rise to Al Qaeda, and it's ideology. Course will chart and assess the response to the attacks by the United States and its allies, including military actions, U.S. foreign policy, intelligence collection, law enforcement policy, and homeland security. Address thematic issues such as the impact of attacks on American history, politics, foreign policy, culture, and national cohesion.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,40,40,0,10,40,Graded,Y,David Schanzer
7852,AMES,223S,01,Muhammad: The Prophet of Islam,"Course will cover the life, legacy, and devotion to the Prophet of Islam. No background needed. All course material in English. Course will include various sources depicting the life of Muhammad, the statements attributed to the Prophet, and also the vast legacy of devotion to the Prophet.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,8,4,0,12,Graded,Y,Omid Safi
