class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
6030,BIOLOGY,120CNS,01,Genetics in the News: How gene research is changing our view of the world,"Course examines recent advances in genetics and genomics and their effect on society by comparing current news stories with the scientific research papers on which they are based. Students discuss and analyze selected news story/research paper sets and choose news stories to present in class. Topics covered include human evolution, whole genome sequencing, cloning, genetically modified organisms (GMOs), human disease traits, gene therapy, CRISPR, and 'de-extinction'/conservation genetics.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,4,14,0,15,Graded,N,Amy Bejsovec
6026,BIOLOGY,150,01,Teaching Internship in Biology,"Under supervision of a faculty member, the teaching intern will assist undergraduate students with learning inside and/or outside the classroom. Responsibilities will vary depending on the course but may include performing demonstrations, facilitating group work, building curricular materials, and providing feedback. Interns will meet routinely with faculty supervisor. Required periodic reflection assignments.",,0.5,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,10,2,0,12,Satisfactory/Unsatisfactory,Y,Kelly A Hogan
6027,BIOLOGY,150,02,Teaching Internship in Biology,"Under supervision of a faculty member, the teaching intern will assist undergraduate students with learning inside and/or outside the classroom. Responsibilities will vary depending on the course but may include performing demonstrations, facilitating group work, building curricular materials, and providing feedback. Interns will meet routinely with faculty supervisor. Required periodic reflection assignments.",,0.5,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,8,6,2,0,8,Satisfactory/Unsatisfactory,Y,Lindsay Rose Saunders
2779,BIOLOGY,159,01,The Future of the Oceans: From Science to Policy,"The ocean covers two-thirds of the planet, forming the backbone of healthy ecosystems and many growing economies worldwide. Despite this importance, we know far less about the oceans than terrestrial environments. This course provides an overview of why the oceans matter, including the many ways people use and depend on the oceans. We will discuss the major issues that threaten our oceans, and students will explore emerging solutions to these challenges of changing ocean use using market-based, scientific, and policy approaches. Course will include an optional weekend field trip to the Duke Marine Lab in Beaufort.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,100,44,56,0,100,Graded,Y,John Walker Virdin; Nicolas M. Cassar
5987,BIOLOGY,201L,001,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,224,224,0,100,224,Graded,N,Anyimilehidi Mazo-Vargas; Chris Francis Shreve; Kelly A Hogan; -; -; -; -
5988,BIOLOGY,201L,01L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Closed,16,16,0,16,16,Graded,N,Chris Francis Shreve; -; -; -; -
5989,BIOLOGY,201L,02L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,16,16,0,14,16,Graded,N,Chris Francis Shreve; -; -; -; -
5990,BIOLOGY,201L,03L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,16,16,0,10,16,Graded,N,Chris Francis Shreve; -; -; -; -
5991,BIOLOGY,201L,04L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,16,16,0,6,16,Graded,N,Chris Francis Shreve; -; -; -; -
5992,BIOLOGY,201L,05L,Introduction to Biology: Molecular Biology,"Introduces major concepts in biology through the lens of molecular biology. A focus on information storage, transmission and flow via the molecular concepts that comprise DNA replication, transcription, and translation. Structure and function of DNA, RNA, proteins. Supporting topics include cell structure and function. Applied topics related to human disease and biotechnology. Laboratory includes an introduction to recombinant DNA technology. A background with introductory chemistry is helpful. Not open to students who have taken 203L.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,16,16,0,6,16,Graded,N,Chris Francis Shreve; -; -; -; -
