class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
8271,CHINESE,98,01,Learning Chinese Through Calligraphy: An Introduction to Chinese Culture and Chinese Characters,"An introduction to the Chinese writing system and cultural traditions through the art of calligraphy. Students will learn basic Chinese characters, fundamental vocabulary, and writing techniques while exploring the historical and cultural significance of Chinese calligraphy. Designed for students, staff, or faculty with no prior Chinese language experience or those who have taken 'SURVIVAL CHINESE' and wish to continue learning. Emphasis on character recognition and cultural context through interactive and hands-on practice.",,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,16,14,2,3,16,Satisfactory/Unsatisfactory,N,Jiali Guo
7775,CHINESE,101,01,First-Year Chinese I,"First semester of a two-semester sequence. Designed for students with little or no knowledge of the Chinese language. Aim at developing basic communicative proficiency in Mandarin Chinese with equal attention to aural comprehension, speaking, reading, and writing skills. Learn some Chinese cultural facts and social-cultural etiquette when developing basic communicative competence in Chinese. Recognize and write approximately 250-300 characters by the end of the semester.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,2,15,Graded,N,Jiali Guo
7776,CHINESE,102,01,First-Year Chinese II,"Continuation of Chinese 101. Designed for students with little knowledge of the Chinese language. Focus on developing basic communicative proficiency in Mandarin Chinese with equal attention to aural comprehension, speaking, reading, and writing skills. Learn some Chinese cultural facts and social-cultural etiquette when developing basic communicative competence in Chinese. Recognize and write approximately 300 characters by the end of the semester.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,0,15,Graded,N,Chi-Ju Hsieh; Tianshu He
9907,CHINESE,102,03,First-Year Chinese II,"Continuation of Chinese 101. Designed for students with little knowledge of the Chinese language. Focus on developing basic communicative proficiency in Mandarin Chinese with equal attention to aural comprehension, speaking, reading, and writing skills. Learn some Chinese cultural facts and social-cultural etiquette when developing basic communicative competence in Chinese. Recognize and write approximately 300 characters by the end of the semester.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,6,9,0,15,Graded,N,Chi-Ju Hsieh; Jiali Guo
7778,CHINESE,131,01,First Year Chinese for Bilingual Learners,Designed for students who were raised in a Chinese-speaking environment and who can converse about personal information or daily topics but have little or no reading and writing skills in Mandarin Chinese. Gain knowledge of the etymologies of Chinese characters and writing system. Substantial work on the development of reading and writing competencies in Chinese while continuing to improve aural understanding and speaking competency. Topics focus on issues concerning the aspects of bilingual and bicultural experiences specifically addressed for Chinese heritage learners.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,10,5,0,15,Graded,N,Kun Shan Lee
7781,CHINESE,203,01,Intermediate Chinese,"Second-year level Mandarin Chinese. Prerequisite: Chinese 102 or its equivalent. Not open to students who have completed Chinese 232 or 242. Aiming to enhance students' abilities in conversing on personal topics in informal situations, in reading and writing narrative and descriptive texts, and in analyzing the structure of Chinese language.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,0,15,Graded,N,Ya-Chuan Chou
7782,CHINESE,204,01,Intermediate Chinese,Continuation of Chinese 203. A service-learning/community-engaged labeled course. Project-based service with local/global community partners. Community-engaged course activities involving linguistic and cultural exchange. Prerequisite: Chinese 203 or its equivalent. Not open to students who have completed Chinese 232 or 242. Continued work on consolidating the language.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,1,15,Graded,N,Shu Zhang
7779,CHINESE,232,01,Intermediate Chinese for Bilingual Learners,"Continuation of Chinese 131. Further development of reading and writing fluency and competencies through studying a range of topics consisting of more complex vocabulary and grammatical structures. Content covering necessary understanding of language and cultural heritage concerning Chinese customs, civilization, and history. Prerequisite: Chinese 131 or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,11,4,0,15,Graded,N,Ya-Chuan Chou
7780,CHINESE,232,02,Intermediate Chinese for Bilingual Learners,"Continuation of Chinese 131. Further development of reading and writing fluency and competencies through studying a range of topics consisting of more complex vocabulary and grammatical structures. Content covering necessary understanding of language and cultural heritage concerning Chinese customs, civilization, and history. Prerequisite: Chinese 131 or equivalent.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,14,1,0,15,Graded,N,Shasha Yang
9310,CHINESE,235T,01,Voices in Music: Chinese,"Voices in Music explores how language and culture impact the production and reception of music in Chinese-speaking communities. Texts include compositions, lyrics, music videos, interviews, visual texts, and documentaries, allowing students to examine music from multiple perspectives in Chinese. Discussions will include ethnomusicology, representations of culture and identity, performance, and the music industry. Tutorials are taught in Chinese. Recommended prerequisite: 4 semesters-level of language study (CHINESE 204) or equivalent.",,0.5,TUT,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,8,8,0,0,8,Satisfactory/Unsatisfactory,Y,Shasha Yang
