class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
6664,EGR,101L,001,Engineering Design and Communication,"Students work in a team to learn and apply the engineering design process to solve an open-ended, client-based problem drawn from a community partner. In this class, students learn to apply the engineering design process to meet the needs of a client, iteratively prototype using tools and materials appropriate to the solution, work collaboratively on a team, and communicate the critical steps in the design process in written, oral, and visual formats. First-year Pratt students only. Trinity first-year students may take the course with instructor consent.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,45,44,1,0,45,Graded,N,Michael Rizk; Stacy L Tantum
6665,EGR,101L,01L,Engineering Design and Communication,"Students work in a team to learn and apply the engineering design process to solve an open-ended, client-based problem drawn from a community partner. In this class, students learn to apply the engineering design process to meet the needs of a client, iteratively prototype using tools and materials appropriate to the solution, work collaboratively on a team, and communicate the critical steps in the design process in written, oral, and visual formats. First-year Pratt students only. Trinity first-year students may take the course with instructor consent.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,45,44,1,0,45,Graded,N,Michael Rizk; Stacy L Tantum
9347,EGR,102L,01L,Design to Deliver,"Students work in a team to apply the engineering design process to complete an open-ended, client-based problem drawn from a community partner. Prerequisite: Engineering 101L.",,0.5,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,50,26,24,0,50,Satisfactory/Unsatisfactory,N,Ibrahim Mohedas; Steven McClelland
6666,EGR,105L,001,Computing for Engineers,"Introduction to computational thinking, modeling, and programming to solve authentic engineering problems. Students will learn to visualize data; as well as a design, test, and deliver solutions with an industry-standard computational tools. Topics include: devising an algorithm and writing, documenting, testing, and debugging code. Course emphasizes both strategic collaboration and individual resourcefulness in seeking solutions. Primary computational language used in this class is Python. No prior knowledge of computer programming is required. Open to Pratt first-year students. Others, by permission only.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,25,23,2,0,40,Graded,N,David Andrew Ward
7591,EGR,105L,01L,Computing for Engineers,"Introduction to computational thinking, modeling, and programming to solve authentic engineering problems. Students will learn to visualize data; as well as a design, test, and deliver solutions with an industry-standard computational tools. Topics include: devising an algorithm and writing, documenting, testing, and debugging code. Course emphasizes both strategic collaboration and individual resourcefulness in seeking solutions. Primary computational language used in this class is Python. No prior knowledge of computer programming is required. Open to Pratt first-year students. Others, by permission only.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,25,23,2,0,40,Graded,N,David Andrew Ward
6641,EGR,121L,001,Engineering Innovation,"Introduces first years to the process of team-based creative conceptualization, visualization prototyping, and product realization. Students use computer-aided design tools to create custom circuit boards and computer numerically controlled (CNC) machined components to produce prototype systems. Design concepts are introduced and supported through hands-on assignments.",,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,100,93,7,25,100,Graded,N,Greg Twiss; Rebecca Simmons
6642,EGR,121L,01L,Engineering Innovation,"Introduces first years to the process of team-based creative conceptualization, visualization prototyping, and product realization. Students use computer-aided design tools to create custom circuit boards and computer numerically controlled (CNC) machined components to produce prototype systems. Design concepts are introduced and supported through hands-on assignments.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,45,45,0,13,45,Graded,N,Greg Twiss; Rebecca Simmons
6643,EGR,121L,02L,Engineering Innovation,"Introduces first years to the process of team-based creative conceptualization, visualization prototyping, and product realization. Students use computer-aided design tools to create custom circuit boards and computer numerically controlled (CNC) machined components to produce prototype systems. Design concepts are introduced and supported through hands-on assignments.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,45,45,0,13,45,Graded,N,Greg Twiss; Rebecca Simmons
10011,EGR,121L,03L,Engineering Innovation,"Introduces first years to the process of team-based creative conceptualization, visualization prototyping, and product realization. Students use computer-aided design tools to create custom circuit boards and computer numerically controlled (CNC) machined components to produce prototype systems. Design concepts are introduced and supported through hands-on assignments.",,0,LAB,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,45,3,42,0,45,Graded,N,Greg Twiss; Rebecca Simmons
6639,EGR,190,01,Special Topics in Engineering,Study arranged on special engineering topics in which the faculty have particular interest and competence as a result of research or professional activities. Consent of instructor(s) required.,ETHICS & TECHNOLOGY,0.5,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,12,14,0,0,12,Graded,N,Richard Ryan Eva
