class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
2626,EGRMGMT,501,01,Engineering Management Seminar,Current topics in applied engineering management and entrepreneurship. Weekly seminar series. Credit/No credit.,,0,SEM,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,130,107,23,0,130,Credit / No Credit,N,Luis E Morales
8681,EGRMGMT,501,02,Engineering Management Seminar,Current topics in applied engineering management and entrepreneurship. Weekly seminar series. Credit/No credit.,,0,SEM,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,2,1,1,0,2,Credit / No Credit,N,Luis E Morales
2641,EGRMGMT,506,01,Residency 3 - Conclusion and Graduation,"One-week course to conclude the Master of Engineering Management Online Program. Residency 3 includes internship presentations, team-building exercises, case studies, leadership training, professional development workshops, exit interviews, and graduation activities. Prerequisite: EGRMGMT 505.",,0,IND,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,05/03/2026,05/10/2026,Open,50,16,34,0,50,Credit / No Credit,N,LaTondra Murray
2615,EGRMGMT,510,02,Marketing,"Review basic concepts in marketing; marketing of high tech products and services. Product development with short life cycles, selling into complex supply chains, building advantage through innovation, the role of the customer in high tech and technology-intensive service industries, and marketing in volatile environments. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORT 2,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,35,28,7,0,35,Graded,N,William Clark
2616,EGRMGMT,510,03,Marketing,"Review basic concepts in marketing; marketing of high tech products and services. Product development with short life cycles, selling into complex supply chains, building advantage through innovation, the role of the customer in high tech and technology-intensive service industries, and marketing in volatile environments. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORT 3,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,35,27,8,0,35,Graded,N,William Clark
2653,EGRMGMT,512,01,Product Management in High-Tech Companies,"Students will explore the entire product management challenge in a way that goes beyond the typical MBA product marketing and brand management course with emphasis on managing products & services in a high tech environment. The course provides an in-depth exposure to the analyses, decisions, and implementation issues relevant to a typical product manager in a high tech company and prepares students for their first industry product management opportunity. This course is the first step in developing the set of skills needed for a successful product manager utilizing a mix of individual and team-based assignments, case analysis and presentations, computer simulations and projects.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,30,11,19,0,30,Graded,N,Richard Thomas
2654,EGRMGMT,512,02,Product Management in High-Tech Companies,"Students will explore the entire product management challenge in a way that goes beyond the typical MBA product marketing and brand management course with emphasis on managing products & services in a high tech environment. The course provides an in-depth exposure to the analyses, decisions, and implementation issues relevant to a typical product manager in a high tech company and prepares students for their first industry product management opportunity. This course is the first step in developing the set of skills needed for a successful product manager utilizing a mix of individual and team-based assignments, case analysis and presentations, computer simulations and projects.",MEM ONLINE STUDENTS,3,LEC,E,Engineering Professional,Asynchronous Online,Duke University,Online,Regular Academic Session,01/07/2026,04/22/2026,Open,10,0,10,0,10,Graded,N,Richard Thomas
2650,EGRMGMT,514,01,Negotiations and Consultative Selling in Technology,"Skills in negotiations and consultative selling are required. From making a decision that affects internal operations, presenting a proposal to one's boss, or closing a sale with a major client, it is vital to have a strong set of skills to achieve our objectives. Focusing on two primary areas of influence and communication within business—negotiations and consultative selling (working collaboratively with others to effectively meet customer needs), this course covers the structured processes, theoretical constructs, and practical applications required to understand a complex situation and develop the negotiation or sales process most needed for value creation and goal attainment.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,30,7,23,0,30,Graded,N,Katharine M Amato
2617,EGRMGMT,520,05,"Intellectual Property, Business Law, and Entrepreneurship","Basic principles of intellectual property law, especially patent law but including trademark and copyright law, together with an overview of business law and the formation of new technical enterprises. Consideration of regulatory law, contract law, and product liability. Licensing and the use of the patent database in technological development. Prerequisite: enrollment in the Master of Engineering Management Program.",MEM ONLINE,3,LEC,E,Engineering Professional,Asynchronous Online,Duke University,Online,Regular Academic Session,01/07/2026,04/22/2026,Open,35,24,11,0,35,Graded,N,Bryan Andrew McGann; Jeff Ward; Seth A. Watkins
2618,EGRMGMT,520,14,"Intellectual Property, Business Law, and Entrepreneurship","Basic principles of intellectual property law, especially patent law but including trademark and copyright law, together with an overview of business law and the formation of new technical enterprises. Consideration of regulatory law, contract law, and product liability. Licensing and the use of the patent database in technological development. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORTS 1 & 4,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,85,52,33,0,85,Graded,N,Bryan Andrew McGann; Jeff Ward; Seth A. Watkins
2619,EGRMGMT,530,02,Finance in High Tech Industries,"Review basic concepts of financial accounting and finance, with an emphasis on accounting needed for effective financial analysis. Focus on issues of finance in high tech industries. Emphases will include project financing, notions of options as applied to internal financial analysis, allocation of costs and revenues for new high tech projects, valuing projects and valuing firms when intellectual assets are a significant portion of total level value; corporate control in high tech firms. Finance issues in mergers, acquisitions, and alliances. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORT 2,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,40,27,13,0,40,Graded,N,C. J. Skender
2620,EGRMGMT,530,03,Finance in High Tech Industries,"Review basic concepts of financial accounting and finance, with an emphasis on accounting needed for effective financial analysis. Focus on issues of finance in high tech industries. Emphases will include project financing, notions of options as applied to internal financial analysis, allocation of costs and revenues for new high tech projects, valuing projects and valuing firms when intellectual assets are a significant portion of total level value; corporate control in high tech firms. Finance issues in mergers, acquisitions, and alliances. Prerequisite: enrollment in the Master of Engineering Management Program.",COHORT 3,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,40,27,13,0,40,Graded,N,C. J. Skender
2633,EGRMGMT,532,01,Advanced Corporate Finance for Technology-Based Companies,"The focus of this course will be on major financial decisions of established technology corporations as well as entrepreneurial ventures. Analytical models and theories will be covered via problems and cases. Specific areas will include asset management, short-term and long-term borrowing, advanced capital budgeting strategies, determination of capital structure, dividend policy, international issues, and mergers and other forms of restructuring. Prerequisite: enrollment in the Master of Engineering Management Program.",,3,LEC,E,Engineering Professional,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,30,4,26,0,30,Graded,N,C. J. Skender
2634,EGRMGMT,532,02,Advanced Corporate Finance for Technology-Based Companies,"The focus of this course will be on major financial decisions of established technology corporations as well as entrepreneurial ventures. Analytical models and theories will be covered via problems and cases. Specific areas will include asset management, short-term and long-term borrowing, advanced capital budgeting strategies, determination of capital structure, dividend policy, international issues, and mergers and other forms of restructuring. Prerequisite: enrollment in the Master of Engineering Management Program.",MEM ONLINE STUDENTS,3,LEC,E,Engineering Professional,Asynchronous Online,Duke University,Online,Regular Academic Session,01/07/2026,04/22/2026,Open,10,2,8,0,10,Graded,N,C. J. Skender
