class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
5387,ENGLISH,90S,01,Special Topics in Literature,Topics vary by semester; emphasis on development of writing skills. See synopsis for more details.,"SEX, DEATH, AND GOTHIC ROMANCE",1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,1,15,Graded,Y,Kate Turner
5388,ENGLISH,90S,02,Special Topics in Literature,Topics vary by semester; emphasis on development of writing skills. See synopsis for more details.,THE DEVIL IN AMERICA,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,6,9,0,15,Graded,Y,Joelle Faith Troiano
5389,ENGLISH,90S,03,Special Topics in Literature,Topics vary by semester; emphasis on development of writing skills. See synopsis for more details.,THE BLACK UNDEAD,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,6,9,0,15,Graded,Y,Dray Denson
5433,ENGLISH,101S,01,The Art of Reading,"An introduction to the skills of critical reading through the close examination of literary works, or other media such as film. See synopsis for more details.",TOTALITARIAN IMAGINATION,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,0,15,Graded,N,Thomas Pfau
5434,ENGLISH,101S,02,The Art of Reading,"An introduction to the skills of critical reading through the close examination of literary works, or other media such as film. See synopsis for more details.","WAR & WORSHIP, WINE & (WO)MEN",1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,5,15,Graded,N,Thomas J Ferraro
5435,ENGLISH,101S,03,The Art of Reading,"An introduction to the skills of critical reading through the close examination of literary works, or other media such as film. See synopsis for more details.",THE FATE OF NATURE,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,11,1,0,12,Graded,N,Timothy Heimlich
5390,ENGLISH,110S,01,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,2,15,Graded,N,Akhil Sharma
5391,ENGLISH,110S,02,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,2,15,Graded,N,Faulkner Fox
5392,ENGLISH,110S,03,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,2,15,Graded,N,Faulkner Fox
5393,ENGLISH,110S,04,Introduction to Creative Writing,"A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts. See synopsis for more details. This course does not count toward the English major, but would count toward the minor in creative writing.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,1,15,Graded,N,Camille A Bordas
