class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
5644,ICS,101D,001,Introduction to Cultural Anthropology,Same as Cultural Anthropology 101 except instruction is provided in lecture and discussion group each week.,,1,LEC,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,60,11,49,0,60,Graded,Y,Courtney Lewis
5645,ICS,101D,01D,Introduction to Cultural Anthropology,Same as Cultural Anthropology 101 except instruction is provided in lecture and discussion group each week.,,0,DIS,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,20,11,9,0,20,Graded,Y,Departmental Staff
7376,ICS,110,01,Introduction to African Studies (DS3 or DS4),"A range of disciplinary perspectives on key topics in contemporary African Studies: nationalism and pan-Africanism, imperialism and colonialism, genocide and famine, development and democratization, art and music, age and gender.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,60,19,41,0,60,Graded,Y,Charlie D Piot
3224,ICS,111,01,Traditions in Documentary Studies,"Traditions of documentary work seen through an interdisciplinary perspective, with an emphasis on twentieth-century practice. Introduces students to a range of documentary idioms and voices, including the work of photographers, filmmakers, oral historians, folklorists, musicologists, radio documentarians, and writers. Stresses aesthetic, scholarly, and ethical considerations involved in representing other people and cultures.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,40,40,0,0,40,Graded,Y,Lauren Rose Henschel
5662,ICS,113,01,Introduction to Human Rights: Gateway for the Human Rights Certificate,"This is the Gateway course for the Human Rights Certificate. Students are introduced to the history, theory, practice of, and current issues in human rights. The course is interdisciplinary.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,25,25,0,2,25,Graded,Y,Robin Kirk
4242,ICS,118,01,Science and the Modern World: Introduction to the History of Science,"This course surveys the history of science from the sixteenth century through the present day. It addresses science not just as a body of knowledge and methods but as a cultural activity that has shaped and been shaped by modern global history. Topics will range across physical sciences, life sciences, earth and environmental sciences, and social sciences. This course takes a global perspective, with emphasis on parallels, differences, and interconnections among ways of knowing nature in different places and times, as well as the role of specific materials, environments, technologies, and practical problems in the development of modern science.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,40,18,22,0,40,Graded,Y,Evan Hepler-Smith
4200,ICS,121,01,Introduction to Contemporary Latin America,"This is an introductory, interdisciplinary survey course on modern Latin America focusing on contemporary social issues especially from the past five years. Each week will be dedicated to a different social problematic, including: political indigeneity; the legacy of African slavery; feminism and femicide; drug wars; migration and border issues; student movements; neoliberalism and resource struggles; and ecological contestation. Weekly meetings are driven by reading discussion, with context provided in lectures. You will conduct independent research in at least one group presentation and one final project. Required for students seeking the certificate in Latin American Studies.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,8,10,0,18,Graded,Y,Jocelyn H Olcott
7870,ICS,133CNS,01,Border Fictions,"Explores the histories and afterlives of 20th-century partitions through literature, art, photography, and film. Reads fiction/film centered on borders with attention to genres such as ghost stories, science fiction, spy thrillers and magic realism. Examines struggles over sovereignty, identity, and lived experiences through a reading of borders as method. Engages with digital archives to understand patterns in oral storytelling across borders from South, Southeast, and West Asia with emphasis on comparative readings. Evaluations through class participation, discussion posts, presentations, final online exhibit or poster presentation.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,8,10,0,18,Graded,Y,Preeti Singh
4257,ICS,149CNS,01,Gateway Seminar: The Imperial Encounter in Africa,"This course studies the concept of the 'imperial encounter' in Africa—what it involved, who it exploited, and why today we still grapple with its legacies. Over the course of five hundred years, the relationship between Africans and Europeans radically changed the ways that people on both continents now live their lives. How did this situation come about? When Europeans met Africans on the African continent, what processes and events led this relationship to becoming one of colonial domination? In answering these questions, this seminar will introduce students to the craft of History through a variety of sources: letters, poems, films, maps, and literature from colonial Africa.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,18,19,0,1,18,Graded,Y,Sarah M Balakrishnan
3292,ICS,172S,01,Modernity: Diagnosis and Cure,"Modernity is a plastic word, impossible to define in a way to satisfy all. Thus, we will skip that task in this course and focus on the history and current implications of the ideas and institutions that have shaped the world since around the eighteenth century. Some of these ideas and institutions include industrialization and mass society; capitalism and socialism; sovereignty, the modern state, and its powers; disenchantment and secularism; colonization, decolonization, and neocolonialism; democracy and authoritarianism; consumerism and surveillance capitalism; and environmental destruction. No prior study of the subject is necessary. A measure of concern for the order of things as they stand in the world and an interest in improving them is recommended.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,3,15,0,18,Graded,Y,Mustafa O Tuna
2743,ICS,195,01,Critical Approaches to Global Issues,"Introduction to critical transnational studies through several disciplinary approaches. Examines capitalism and neo-liberal globalization and their relationships to culture, politics, economics, and other social forms and outcomes; considers transnationalism 'from below'; addresses linear and Western-centric thinking about progress and modernity; focuses a historical lens on political discourses, institutions, and projects to understand them contextually; demonstrates how cultures and identities are dynamically constituted in interaction with historical, material, political, and situational factors; considers how different inequalities and contestations inflect most social formations.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,50,26,24,0,50,Graded,Y,Avrati Bhatnagar
2904,ICS,210,01,Languages of the World,"The major languages of the world viewed in the context of the communicative and significate functions of language as parameters that shape and define society. The role of language in defining and structuring culturally-based relationships from a semiotic point of view. The structure, writing systems, phonology, morphology, and lexicon of languages from the following groups: Indo-European, Semitic, Turkic, Finno-Ugric, Caucasian, Afroasiatic, Sino-Tibetan, Niger-Kordofanian, Dravidian, and Native American languages.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,32,23,9,0,32,Graded,Y,Dominika Marta Baran
4233,ICS,216,01,Gender and Socialism,"History of socialist feminism as a global political movement and philosophical-theoretical tradition with a special focus on its divergent national trajectories and conflict-ridden relationship with liberal feminism and socialist and communist movements and governments in Europe, Russia, China and US since the nineteenth century; offers an overview of European, Russian, Chinese and US history of the last two centuries; includes exploration of principles and aspirations that informed socialist theory of modern society, social justice, family, motherhood, parenthood, sexual difference, gender equality as well as public policies and legislation instituted or informed by the socialist tradition.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,20,7,13,0,20,Graded,Y,Anna Krylova
4203,ICS,218,01,Modern & Global India,"Examines the historical foundations for the emergence of India as a modern and global society with a focus on the Mughal empire, British colonialism, and Indian nationalism. Uses textual and visual sources for charting how local political, social-economic and cultural factors intersect with the global movements of peoples, goods, technologies, and ideas in the creation of the modern nation-state of India. Concludes with discussion of globalization of Indian labor, food, and Bollywood. Time frame from 1500 to present.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,20,20,0,0,20,Graded,Y,Avrati Bhatnagar
4236,ICS,232,01,Latin American Wars of Independence,"This course covers the conspiracies, uprisings, and wars that led to the independence of Haiti and the Latin American colonies of Spain and Portugal between 1780 and the 1898 withdrawal of Spain from Cuba. It focuses on the key military and political leaders of anti-colonial struggles conducted on a continental scale from the islands of the Caribbean to the Andean highlands and beyond. Military strategy and political tactics were decisively shaped by modern debates about the meaning of freedom in terms of slavery and national self-determination. No prior knowledge of Latin America and the Caribbean required.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,25,9,16,0,25,Graded,Y,John D French
3476,ICS,235S,01,Writing for Global Audiences – Theories and Applications of Comparative Rhetoric,"This course examines how writing practices and communication strategies are shaped by cultural differences, focusing on how writers construct, adapt, and negotiate voice and identity for global audiences. We will analyze rhetorical traditions through non-Eurocentric theories—spanning cultural, geographical, and non-human perspectives—via rigorous reading, case studies, and discussion. By examining real-world examples like protest writings, we will explore methodologies for effective global communication. We will refine rhetorical knowledge through collaborative learning, honing adaptive, ethical, and sophisticated writing practices that meet the expectations of diverse global audiences.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,7,8,0,15,Graded,Y,Yan Li
7424,ICS,238S,01,"China and the Black World: Similarities, Differences, and Interconnections","China, Africa, and their diasporas have similarities and differences, many of them the products of interconnections or overlapping experiences. Through the lenses of history, art, politics, and economics, this anthropology seminar compares these two culture complexes and highlights the hybrid and creative results of their interaction, with the special goal of correcting existing misunderstandings and facilitating thoughtful cooperation in the future. While the professor will orient the discussion around current anthropological methods of critical analysis, the seminar format will require the professor and all of the students to build on and contribute to each other's understanding of the topic.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,2,16,0,18,Graded,Y,James Lorand Matory
8758,ICS,248S,01,Ritual and Magic,"Explores the cross-cultural and historical practice of ritual and magic in both religious and secular contexts. Introduction to and practice of ethnographic methods and writing, with a fieldwork project on ritual behavior and/or magical thinking in the contemporary world. Readings include anthropological theory and ethnography from the United States, the Caribbean, Africa, and South America.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,11,7,0,18,Graded,Y,Katya Wesolowski
4214,ICS,253,01,"Jewish History, 1492 to the Present","Major developments in Jewish history from the early modern period to today. The Kehillah, the Spanish-Jewish Diaspora, the rise of Polish Jewry, the Safed Kabbalah, Sabbatianism, the emergence of the Chassidut, the Haskalah (Jewish Enlightenment), Emancipation and the nation state, Reform Judaism, economic modernization, racial antisemitism, Zionism, the Holocaust, the State of Israel, flourishing Jewish pluralism in the United States, the future: nation and Diaspora?",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,20,17,3,0,20,Graded,Y,Jakob Istvan Ware
8136,ICS,256S,01,Shamanism and Spirit Possession,"Anthropological, psychological, and Religious Studies approaches to cross-cultural study of spirit possession and shamanism. Examination of in-depth case-studies and comparative works, from both literate civilizations and non-literate cultures. Engage with contemporary concerns with nature and boundaries of personhood and embodiment and their relation to leadership.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,7,11,0,18,Graded,Y,John R Freeman
8430,ICS,263,01,"War, Slavery, and Revolution in the Caribbean, 1700-1800","The development of Caribbean society and economy in the contexts of slavery, empire, international rivalry, and democratic revolution.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,20,4,16,0,20,Graded,Y,Barry Gaspar
