class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4736,ITALIAN,101,01,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,4,11,0,15,Graded,N,Laura P Casa
4737,ITALIAN,101,02,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,0,15,Graded,N,Gerardo Pisacane
4738,ITALIAN,101,03,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,1,15,Graded,N,Pierpaolo Spagnolo
4739,ITALIAN,101,04,Elementary Italian 1,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,10,5,0,15,Graded,N,Pierpaolo Spagnolo
4740,ITALIAN,102,01,Elementary Italian 2,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,9,6,0,15,Graded,N,Della Chambless
4741,ITALIAN,102,02,Elementary Italian 2,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,1,15,Graded,N,Della Chambless
4742,ITALIAN,102,03,Elementary Italian 2,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,2,15,Graded,N,Laura Bilanceri
4743,ITALIAN,102,04,Elementary Italian 2,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,1,15,Graded,N,Pietro Tripano
4744,ITALIAN,102,05,Elementary Italian 2,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,6,9,0,15,Graded,N,Pietro Tripano
4834,ITALIAN,111,01,Intensive Elementary Italian,"Covers the basic elementary curriculum Italian 101 and 102 in one semester. Listening, speaking, reading, writing, and cultural exploration activities receive equal attention. Meets five times a week, eight contact hours.",,2,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,10,5,0,15,Graded,N,Gerardo Pisacane
4911,ITALIAN,171CNS,01,Being Human: Exploring Our Boundaries in Literature & Film,"What does it mean to be human? How does imaginative work explore the boundaries of being human? This course investigates these questions in three units: animals, dehumanization, and the uncanny valley. In unit 1 we read works that interrogate the boundary between humans and other animals. How do we conceptualize what defines us and how do creative works interrogate the validity of these human concepts by exploring other animals' perspectives? In unit 2, we continue this exploration, focusing only on human-human interactions, especially in terms of migration, concentration camps, and colonialism. In unit 3, we try to understand who is human (not robot) in diverse media. Authors include Kafka, Coetzee, Spiegelman, Primo Levi, Scego, Maaza Mengiste, Asimov, Collodi, and Philip K. Dick.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,15,15,0,0,15,Graded,Y,Saskia Ziolkowski
4745,ITALIAN,203,01,Intermediate Italian,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,13,2,0,15,Graded,N,Laura Bilanceri
4746,ITALIAN,203,02,Intermediate Italian,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,8,7,1,0,8,Graded,N,Laura P Casa
4747,ITALIAN,203,03,Intermediate Italian,"Introduction to the Italian language, culture, and society through its peoples' products, practices, and perspectives. Students will interact with a wide variety of multimodal texts and materials and engage in communicative activities with real-world relevance. Equal attention to listening, speaking, reading, and writing in order to build a solid foundation that allows students to interact with communities of speakers extending beyond the classroom. Conducted in Italian.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,8,7,0,15,Graded,N,Laura Bilanceri
8126,ITALIAN,235T-3,01,Voices in Music: Italian,"Voices in Music explores how language and culture impact the production and reception of music in Italian-speaking communities. Texts include compositions, lyrics, music videos, interviews, visual texts, and documentaries, allowing students to examine music from multiple perspectives in Italian. Discussions will include ethnomusicology, representations of culture and identity, performance, and the music industry. Tutorials are taught in Italian. Recommended prerequisite: 4 semesters-level of language study (ITAL 204) or equivalent.",,0.5,TUT,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,8,5,3,0,8,Satisfactory/Unsatisfactory,Y,Laura Bilanceri
