class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
8558,LAW,120,01,Constitutional Law,An examination of the distribution of and limitations upon governmental authority under the Constitution of the United States.,,4.5,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,85,70,15,0,0,Graded,N,Joseph Blocher
8468,LAW,120,02,Constitutional Law,An examination of the distribution of and limitations upon governmental authority under the Constitution of the United States.,,4.5,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,38,2,0,0,Graded,N,H. Timothy Lovelace
8467,LAW,120,03,Constitutional Law,An examination of the distribution of and limitations upon governmental authority under the Constitution of the United States.,,4.5,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,39,1,0,0,Graded,N,Jeff Powell
9375,LAW,120,04,Constitutional Law,An examination of the distribution of and limitations upon governmental authority under the Constitution of the United States.,,4.5,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,85,77,8,0,0,Graded,N,Ernest A Young
8764,LAW,140,01,Criminal Law,An introductory study of the law of crimes and the administration of criminal justice.,,4.5,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,31,9,0,0,Graded,N,Samuel W Buell
8559,LAW,140,02,Criminal Law,An introductory study of the law of crimes and the administration of criminal justice.,,4.5,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,39,1,0,0,Graded,N,James E Coleman
8466,LAW,140,03,Criminal Law,An introductory study of the law of crimes and the administration of criminal justice.,,4.5,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,38,2,0,0,Graded,N,Ben Grunwald
8765,LAW,140,04,Criminal Law,An introductory study of the law of crimes and the administration of criminal justice.,,4.5,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,85,78,7,0,0,Graded,N,Emily Ryo
8766,LAW,140,05,Criminal Law,An introductory study of the law of crimes and the administration of criminal justice.,,4.5,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,38,2,0,0,Graded,N,Shane T Stansbury
8470,LAW,160B,01,"Legal Analysis, Research, and Writing",Second half of a year-long course. 4 hours will be awarded upon completion of this half. The grade will be a grade in the Law School numerical grading table.,,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,29,11,0,0,Graded,N,Casandra Thomson; Martha Jane Peter Bahnson
8471,LAW,160B,02,"Legal Analysis, Research, and Writing",Second half of a year-long course. 4 hours will be awarded upon completion of this half. The grade will be a grade in the Law School numerical grading table.,,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,26,14,0,0,Graded,N,Melissa Hanson; Michael B McArthur
8472,LAW,160B,03,"Legal Analysis, Research, and Writing",Second half of a year-long course. 4 hours will be awarded upon completion of this half. The grade will be a grade in the Law School numerical grading table.,,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,29,11,0,0,Graded,N,Cassandra N Patterson; Ryan Michael Christian
8473,LAW,160B,04,"Legal Analysis, Research, and Writing",Second half of a year-long course. 4 hours will be awarded upon completion of this half. The grade will be a grade in the Law School numerical grading table.,,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,29,11,0,0,Graded,N,Laura Scott; Sarah Carrington Walker
8474,LAW,160B,05,"Legal Analysis, Research, and Writing",Second half of a year-long course. 4 hours will be awarded upon completion of this half. The grade will be a grade in the Law School numerical grading table.,,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,28,12,0,0,Graded,N,Catherine Rose Lloyd Lawson; Chelsey A Mckimmy
8475,LAW,160B,06,"Legal Analysis, Research, and Writing",Second half of a year-long course. 4 hours will be awarded upon completion of this half. The grade will be a grade in the Law School numerical grading table.,,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,27,13,0,0,Graded,N,Cassandra N Patterson; Rebecca Marie Rich
8476,LAW,160B,07,"Legal Analysis, Research, and Writing",Second half of a year-long course. 4 hours will be awarded upon completion of this half. The grade will be a grade in the Law School numerical grading table.,,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,28,12,0,0,Graded,N,Jennifer Lee Behrens; Kendall Gray
8477,LAW,160B,08,"Legal Analysis, Research, and Writing",Second half of a year-long course. 4 hours will be awarded upon completion of this half. The grade will be a grade in the Law School numerical grading table.,,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,28,12,0,0,Graded,N,Gregory E Pawlowski; Wickliffe Shreve
8560,LAW,170,02,Property,"A study of the basic concepts of ownership of resources such as land, objects and ideas.",,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,85,75,10,0,0,Graded,N,Jedediah S Purdy
8546,LAW,170,03,Property,"A study of the basic concepts of ownership of resources such as land, objects and ideas.",,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,85,75,10,0,0,Graded,N,Shitong Qiao
8469,LAW,200,02,Administrative Law,"A study of administrative agencies and legislative authority, information gathering and withholding, rule-making and order-formulating proceedings, judicial review of administrative actions, and constitutional limitations on administrative powers.",,3,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,75,74,1,0,15,Graded,N,Stuart Benjamin
8623,LAW,201,01,Legal Writing: Craft & Style,"The goal of this course is to learn to effectively edit written work—our own or that of others—by reviewing principles of clear, concise, cohesive, and (yes) stylish writing.",,2,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Closed,16,16,0,5,5,Credit / No Credit,N,Kendall Gray
8767,LAW,203,01,Business Strategy for Lawyers,"The course is designed to introduce a wide variety of modern strategy frameworks and methodologies, including methods for assessing the strength of competition, for understanding relative bargaining power, for anticipating competitors' actions, for analyzing cost and value structures and their relevance to competition, and for assessing potential changes in the scope of the firm (diversification and vertical integration). Basic mastery of these tools has relevance to everyone seeking a career in business or those advising business managers or executives.",,3,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/12/2026,03/04/2026,Open,50,39,11,0,10,Graded,N,Scott F Rockart
8768,LAW,205,01,Antitrust,"This course covers the fundamentals of United States antitrust law as well as the underlying legal and economic theory. Topics include (i) horizontal restraints of trade such as cartels, oligopolies, and joint ventures; (ii) monopolization and the conduct of dominant firms; (iii) vertical restraints of trade between suppliers and customers such as resale price maintenance, territorial and customer restrictions, tying arrangements, exclusive dealing contracts, bundled and loyalty pricing; (iv) mergers; and (v) the intersection between antitrust and other areas of law, such as procedure, intellectual property, and the First Amendment.",,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Wait List,60,60,0,9,15,Graded,N,Aslihan Asil
8619,LAW,207,01,Sports and the Law,This course examines the legal relations among the various parties in sports at both the professional and amateur levels. Particular attention will be paid to the importance given to the maintenance of competitive balance and its impact on traditional notions of competition that apply in other business settings.,,3,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,40,33,7,0,15,Graded,N,Paul H Haagen
8620,LAW,210,07,Business Associations,"Surveys the law providing ground rules for the organization, financing, and internal governance of corporations and other forms of business associations such as partnerships and limited liability companies.",,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,85,71,14,0,20,Graded,N,Gina-Gail S Fletcher
8726,LAW,210,08,Business Associations,"Surveys the law providing ground rules for the organization, financing, and internal governance of corporations and other forms of business associations such as partnerships and limited liability companies.",,4,LEC,E,Law School,In Person,Duke University,Durham,Regular Academic Session,01/08/2026,04/16/2026,Open,89,38,51,0,20,Graded,N,Sarah B Raskin
