class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
9568,OT-D,508,01,Occupational Transitions I,"This course is one in a four-part, co-occurring series focused on applying the occupational therapy process to situations in which occupations are disrupted. Here, students assess and create interventions for situations where occupation is disrupted by issues in the environment, including physical, social, cultural, virtual, and political environments.",,3,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-1st year,01/05/2026,05/15/2026,Open,90,45,45,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Tami S Atkins
9569,OT-D,509,01,Occupational Transitions II,"This course is one in a four-part, co-occurring series focused on applying the occupational therapy process to situations in which occupations are disrupted by issues in physical, social, cultural, and political environments. Attention is given to the use of technology and data to assess the impact of environmental disruptions on individuals, groups, communities, and populations and to design and implement environmental interventions.",,3,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-1st year,01/05/2026,05/15/2026,Open,90,45,45,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; MaryBeth Gallagher
9570,OT-D,510,01,Occupational Transitions III,"Also part of the four-course series on occupational transitions, students in this course become proficient in administering the OT process with clients whose occupations are disrupted or in transition due to the impacts of health conditions such as mental illness, neurological events, burn injuries, visual impairments, and intellectual or developmental disability. Students also explore the underlying anatomy/neuroanatomy elements of transitions resulting from health-impacting conditions.",,3,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-1st year,01/05/2026,05/15/2026,Open,90,45,45,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Abigail Carroll
9571,OT-D,511,01,Enabling Occupation Skills II,"Students use the Kawa Model and other models to integrate their learning occurring in the transition series courses addressing occupational transitions due to human development, environments, and health conditions. Students explore client narratives and appreciate the complex contextual elements that enable, support, challenge, limit and determine what occupations people engage in, how they engage and how they experience occupation.",,3,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-1st year,01/05/2026,05/15/2026,Open,90,45,45,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Michael Iwama
9572,OT-D,512,01,"Assembling, Creating, & Translating Knowledge II","In the second course in the two-part research series, students continue to develop and implement research at the intersection of occupation, diversity, and health through a community-engaged research project. Students design and conduct a qualitative study in collaboration with a community partner, analyze the results, and present the findings at a public poster session.",,3,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-1st year,01/05/2026,05/15/2026,Open,90,45,45,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Denise Nepveux
9573,OT-D,513,01,Formation for Service II,"This course is Part II of a series that occurs across the curriculum. Students consider the formation of a professional identity in relation to service with and alongside others – colleagues, clients, and neighbors. Students explore how frameworks for service, therapeutic use of self, self-empathy, and power dynamics shape their commitment to service as an emerging occupational therapy practitioner.",,2,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-1st year,01/05/2026,05/15/2026,Open,90,22,68,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Warren Malueg-Lattimore
9574,OT-D,513,01-A,Formation for Service II,"This course is Part II of a series that occurs across the curriculum. Students consider the formation of a professional identity in relation to service with and alongside others – colleagues, clients, and neighbors. Students explore how frameworks for service, therapeutic use of self, self-empathy, and power dynamics shape their commitment to service as an emerging occupational therapy practitioner.",,2,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-1st year,01/05/2026,05/15/2026,Open,90,23,67,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Warren Malueg-Lattimore
9575,OT-D,514,01,Applied Practice Experience (APEx) IB,"In this two-week experiential, students apply content from second semester coursework to simulated practice scenarios, followed by application to practice settings.",,1,LL,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-1st year,01/05/2026,05/15/2026,Open,90,45,45,0,0,Pass/Fail Grading,N,-; Raheleh Ghasseminia
9576,OT-D,607,01,Advanced Practice Course I,"In this 5-week course, students use the occupational therapy process to analyze and adapt occupations to optimize 5 performance and promote health and well-being. The course deepens understanding of activity analysis and the person-environment-occupation transaction and enables students to address performance challenges with adaptive interventions, including adaptive devices, compensatory strategies, environmental modifications, and graded approaches to ADLs. The process is applicable to optimizing all areas of occupation, including education, work,
instrumental activities of daily living, and others. Students provide interventions that are occupation-based, grounded in evidence, and culturally competent.",,1,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-2nd year,01/05/2026,05/01/2026,Open,90,43,47,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Samantha Green
9577,OT-D,608,01,Advanced Practice Course II,"In this 5-week course, students use the occupational therapy process to address UE function and improve participation in occupation through remediation and compensatory approaches. The course reviews assessments and occupational performance analysis skills gained in former OTD courses. These skills are integrated with new health conditions, interventions, and psychosocial issues. Interventions include activities to prepare clients for occupation such as therapeutic activities, therapeutic exercise, neuromuscular re-education, custom orthoses, and physical agents (i.e., ultrasound, electrical stimulation, and superficial hot/cold). Interventions also include the use of
adaptive devices and task modification to support and challenge UE movement capacities",,1,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-2nd year,01/05/2026,05/01/2026,Open,90,43,47,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Kristopher Amis
9578,OT-D,609,01,Advanced Practice Course III,"In this 5-week course, students use the occupational therapy process to assess cognition and reduce/increase cognitive load through remediation and compensatory approaches. The course reviews activity analysis and occupational performance analysis, with particular attention to identifying process skills and mental functions. While the course primarily addresses cognitive rehabilitation and habilitation, the process is applicable to optimizing all client factors such as motor skills, visual skills, and others. Students provide interventions that are occupation-based, grounded in evidence, and culturally competent.",,1,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-2nd year,01/05/2026,05/01/2026,Open,90,43,47,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Dorothy Porcello
9593,OT-D,611,01,Customized Learning Project,"This course is a seminar-style discussion to frame customized learning projects (CLP) within an occupational perspective. Students can complete a chosen project in line with their interests anytime across their didactic course work and receive credit for the project through this seminar. Students define an occupational perspective and determine how this perspective guides the design and implementation of their CLP.
 
Credit is determined by how extensive experience was and course completion.
20 hours = 1 credit
40 hours = 2 credits
60+ hours = 3 credits",,1 - 3,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-2nd year,01/05/2026,05/01/2026,Open,90,4,86,0,0,Pass/Fail Grading,N,-; Antoine Bailliard
9579,OT-D,612,01,Comprehensive Assessment and Management of Practice (CAMP) I,"In this course, students begin the transition to the responsibilities of a practicing occupational therapist. Through a supervised team approach, students complete the full OT process with community volunteer clients. Students assess volunteers' occupational supports and needs, plan and implement interventions to optimize occupational engagement, establish a discharge plan, complete documentation, and practice billing for services. This course builds upon earlier foundational experiences in APEx and coursework to further develop professional reasoning, therapeutic use of self, evidence-based practice, and enabling skills in preparation for Level II Fieldwork.",,3,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-2nd year,01/05/2026,05/01/2026,Open,90,43,47,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Melissa Werz
9581,OT-D,616,01,Formation for Service V,"This course is Part V of a series that occurs across the curriculum. In this final course, students explore tools to support their resiliency as emerging occupational therapists. Students consider stewardship as a framework for serving clients facing occupational transitions, injustices, or disruptions. Students create a professional development plan for their upcoming year of Level II Fieldwork and Capstone experiences.",,2,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-2nd year,01/05/2026,05/01/2026,Open,90,21,69,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Warren Malueg-Lattimore
9582,OT-D,616,01-A,Formation for Service V,"This course is Part V of a series that occurs across the curriculum. In this final course, students explore tools to support their resiliency as emerging occupational therapists. Students consider stewardship as a framework for serving clients facing occupational transitions, injustices, or disruptions. Students create a professional development plan for their upcoming year of Level II Fieldwork and Capstone experiences.",,2,LEC,E,Occupational Therapy-Doctorate,In Person,Duke University,Durham,Occupational Therapy-2nd year,01/05/2026,05/01/2026,Open,90,22,68,0,0,"Honors, High Pass, Pass, Low Pass Grading",N,-; Raheleh Ghasseminia
