class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4758,PORTUGUE,101,01,Elementary Portuguese I,"Course is geared towards communicative skills and is designed for students to complete it with a basic level of proficiency in listening, speaking, reading, and writing. The course focuses on conversation, grammar acquisition, and cultural issues raised in lessons, films, videos, articles, readings, and music. Meets four times a week.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,8,7,0,15,Graded,N,Magda Silva; Uriel Nascimento Santos Pinho
4759,PORTUGUE,102,01,Elementary Portuguese II,"Builds on the elements of language acquired in Elementary Portuguese 101; enrollment in Portuguese 102 presupposes acquisition of the contents covered in Portuguese 101. Speaking, reading, and writing skills emphasized; exposure to some aspects of Portuguese-speaking cultures an important component. Conducted entirely in Portuguese, using a communicative approach. Four class meetings a week. Prerequisite: Portuguese 101 or consent of instructor.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,9,6,0,15,Graded,N,Magda Silva
4822,PORTUGUE,112,01,Accelerated Elementary Portuguese,"Designed for highly motivated undergraduate and graduate students as well as fluent speakers of another Romance language, this course covers much of the elementary language sequence (Portuguese 101-102). Most grammar and textbook work is done outside of class, freeing class time for more communicative activities. Conversation sessions provide intensive work on grammar focused through discussion on issues raised in films, news media, reading, music. It is expected that students who take this course will be able to place directly into Portuguese 203; however, placement into Portuguese 102 may be recommended in some cases. Meets four times a week.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,11,1,0,12,Graded,N,Magda Silva
4827,PORTUGUE,204,01,Advanced Intermediate Portuguese,"An advanced grammar review complemented by oral practice, composition, videos, and selected literary readings. Guided essay writing on topics related to the readings and videos. Second part of an intermediate sequence; suggested as preparation for 300-level courses. Prerequisites: Portuguese 203 or consent of instructor.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,2,13,0,15,Graded,N,Magda Silva
9294,PORTUGUE,303S,01,Introduction to Cultural Studies,"Introduction to cultural and political debates that shape Brazil and the Portuguese-speaking world. The goal is to explore and examine critically how particular forms of discourse and cultural production (across different genres and media) relate to crucial topics in politics, art, culture, and society. Articles, literary texts, films, web sites, etc. will serve as resources. Students are expected to achieve discursive complexity and linguistic accuracy in written and spoken language and to gain familiarity with cultural studies in Portuguese. Prerequisite: Portuguese 204 or equivalent.",AFRO-LATIN AMERICA,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,8,10,0,18,Graded,N,Lamonte Aidoo
4760,PORTUGUE,393,01,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, resulting in a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open only to qualified juniors by consent of instructor and director of undergraduate studies.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,2,0,2,0,2,Graded,N,Departmental Staff
4761,PORTUGUE,393,02,Research Independent Study,"Individual research in a field of special interest, under the supervision of a faculty member, resulting in a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open only to qualified juniors by consent of instructor and director of undergraduate studies.",,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,2,0,2,0,2,Graded,N,Departmental Staff
4762,PORTUGUE,394,01,Research Independent Study,See Portuguese 393. Open only to qualified juniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,2,0,2,0,2,Graded,N,Departmental Staff
4763,PORTUGUE,394,02,Research Independent Study,See Portuguese 393. Open only to qualified juniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,2,0,2,0,2,Graded,N,Departmental Staff
4764,PORTUGUE,493,01,Research Independent Study,See Portuguese 393. Open only to qualified seniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,2,0,2,0,2,Graded,N,Departmental Staff
4765,PORTUGUE,493,02,Research Independent Study,See Portuguese 393. Open only to qualified seniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,2,0,2,0,2,Graded,N,Departmental Staff
4766,PORTUGUE,494,01,Research Independent Study,See Portuguese 393. Open only to qualified seniors by consent of instructor and director of undergraduate studies.,,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,2,0,2,0,2,Graded,N,Departmental Staff
