class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4605,THEATRST,110S,01,"Finding Your Voice: Speech, Rhetoric and Story","Finding Your Voice is an exploration of acting techniques and strategies that center vocal expression, articulation, and efficiency. Through the practice of speech, rhetoric, and storytelling, the course seeks to empower students to communicate their ideas more effectively. Students will have the opportunity to develop increasing confidence and skills in performance and public speaking that can be applied to a diversity of texts and in various settings.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,4,8,0,12,Graded,N,Douglas A Jones
9341,THEATRST,130CNS,01,"Acting Nature: Ecodrama, Biomimicry, Performance","Acting Nature: Eco-Drama, Biomimicry, Performance explores the craft of acting and theater-making through ecological and nature-based plays and approaches. From observing the natural world to applying the principles of biomimicry—'the conscious emulation of life's genius'—this course centers gaining knowledge through action, physicality, deep listening, and imaginative play. In this experiential course, students will cultivate an embodied connection to the natural world, deepen their awareness of ecological themes through character development and creative expression, and build a dramaturgical toolbox for stage, screen, and everyday storytelling. Offered only in Constellations.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,6,6,0,12,Graded,N,Johann Montozzi-Wood
4560,THEATRST,145S,01,Acting,"Acting 145S explores the craft of acting as an experiential and embodied knowledge through collaboration, imagination, play, and attending live theater. The course engages culturally diverse approaches to the practice while facilitating an introduction to voice and movement; monologue and scene work; audition preparation; and a creation of a dramaturgical toolbox to aid students in future classes and productions.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,12,10,2,0,12,Graded,N,Jeff M Storer
4561,THEATRST,145S,02,Acting,"Acting 145S explores the craft of acting as an experiential and embodied knowledge through collaboration, imagination, play, and attending live theater. The course engages culturally diverse approaches to the practice while facilitating an introduction to voice and movement; monologue and scene work; audition preparation; and a creation of a dramaturgical toolbox to aid students in future classes and productions.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,12,12,0,1,12,Graded,N,Christopher Cullen
4562,THEATRST,145S,03,Acting,"Acting 145S explores the craft of acting as an experiential and embodied knowledge through collaboration, imagination, play, and attending live theater. The course engages culturally diverse approaches to the practice while facilitating an introduction to voice and movement; monologue and scene work; audition preparation; and a creation of a dramaturgical toolbox to aid students in future classes and productions.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,12,12,0,1,12,Graded,N,Johanna (Jody) McAuliffe
4563,THEATRST,145S,04,Acting,"Acting 145S explores the craft of acting as an experiential and embodied knowledge through collaboration, imagination, play, and attending live theater. The course engages culturally diverse approaches to the practice while facilitating an introduction to voice and movement; monologue and scene work; audition preparation; and a creation of a dramaturgical toolbox to aid students in future classes and productions.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,15,10,5,0,15,Graded,N,Chelsea M Thaler
4588,THEATRST,187S,01,Reading Theater,"In the theater, what we read on the page is an artifact of performances that once happened as well as a blueprint for stage performances yet to come. In this course, we work as archeologists to explore the meanings of the artifact and as creators—on our feet and with our bodies—to unlock the potential meanings of the blueprint. The course focuses on six plays, drawn from different periods in history and different countries, and includes non-European and non-white perspectives.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,14,9,5,0,14,Graded,Y,Departmental Staff
4557,THEATRST,201S,01,American Musicals,"What is it about musicals that made them a uniquely American theatrical form? In this course, we will investigate how musicals represent what it means to be American. Musical theatre history is American history, indebted to and reflective of critical histories of appropriation, capitalism, immigration, and popular entertainment. Musicals seduce us in song and dance; it is easy to ignore the substance beneath the sequins. We will study the texts and historical contexts of musicals over the past century, from Shuffle Along, and Oklahoma!, to A Chorus Line, and Hamilton. Musicals reveal shifting notions of what 'American' means as they stage ability, ethnicity, gender, race, and sexuality.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Wait List,13,13,0,6,14,Graded,Y,Departmental Staff
4592,THEATRST,219S,01,Production Management for Theater,"What does it mean to successfully manage an artistic endeavor? How does management affect whether or not a project is successful? How can artist managers be more sensitive and responsive to the needs of their fellow collaborators? This course explores theater from the perspective of the production manager. While our focus will be theater, we'll also discuss how to apply skills such as scheduling, budgeting, writing contracts, and personnel negotiation across the performing and cinematic arts.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,16,9,7,0,16,Graded,Y,Thomas Quintas
4596,THEATRST,226S,01,World Building for the Theater,"World Building for the Theater introduces students to the design components used to create a theatrical production: set, costumes, sound, lighting, and projection. Students learn the process that brings these components to life: play analysis for design, artistic research, design, technical and build preparation, construction, and final performance. Each student has the opportunity to focus on their particular area of interest while contributing to the creation of the Theater Studies Mainstage production. Students work in the areas of set, costumes, lights, paint, and backstage support, gaining hands-on practical experience with the tools of their chosen area of interest.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/07/2026,04/22/2026,Open,18,4,14,0,18,Graded,N,William M Webb
