uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987238_27466690,AAAS-103-01,INTRO TO AFRICAN STUDIES.AAAS-103-01.CULANTH-105-01.HISTORY-129-01.POLSCI-108-01.ICS-110-01.,"Daly, Samuel",Summer I 2023,AFRAMRST,"5 of 20  responded (25.00%)



 View Report
                            



 Download PDF","AAAS, CULANTH, HISTORY, POLSCI, ICS",98963,R3taZNKnw14IRH7UBESaUg%3d%3d,zX8pbnMD1QLyVlk5%2fPZCEg%3d%3d,jM0e%2bv8aMV1e00v6crH5vQ%3d%3d,2025-11-24T15:43:07.291973
154503_9169_12241523_27991661,CULANTH-521S-01,BLACK ETHNOGRAPHERS.CULANTH-521S-01.AAAS-521S-01.GSF-521S-01.ICS-521S-01.SOCIOL-521S-01.,"Canada, Tracie",Fall 2023,CULANTHRO,"6 of 12  responded (50.00%)



 View Report
                            



 Download PDF","CULANTH, AAAS, GSF, ICS, SOCIOL",98829,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,uJ9oNy0gyxXK5DvclrE4HQ%3d%3d,ohFtpEPIwduduxS18hxz8Q%3d%3d,2025-11-24T15:43:07.292089
154503_9169_12241582_27466686,RELIGION-765S-01,"EXISTENTIALISM, NIHILISM, RELI.RELIGION-765S-01.AAAS-765S-01.ENGLISH-765S-01.GSF-765S-01.","Winters, Joe",Fall 2023,RELIGION,"5 of 17  responded (29.41%)



 View Report
                            



 Download PDF","RELIGION, AAAS, ENGLISH, GSF",98883,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,UQovT%2fzn8OTmzL21U5owSg%3d%3d,WlPfLAockrXSNpuf%2bmBUlA%3d%3d,2025-11-24T15:43:07.292176
153858_9169_12282674_27991557,HISTORY-89S-01,FIRST-YEAR SEMINAR (TOP).HISTORY-89S-01.AAAS-89S-03.,"Lentz-Smith, Adriane",Fall 2023,HISTORY,"14 of 16  responded (87.50%)



 View Report
                            



 Download PDF","HISTORY, AAAS",98997,CtmkEaIRhsSP75R5T115eg%3d%3d,yC9nNT%2fhoyajJdS8uXSRpQ%3d%3d,NkkiAsXWbfTfAu5gm%2ffSnA%3d%3d,2025-11-24T15:43:07.292257
153858_9169_12282738_28112139,HISTORY-288-01,HISTORY OF INEQUALITY.HISTORY-288-01.AAAS-288-01.SOCIOL-288-01.,"Hollowell, Adam",Fall 2023,HISTORY,"8 of 22  responded (36.36%)



 View Report
                            



 Download PDF","HISTORY, AAAS, SOCIOL",98997,CtmkEaIRhsSP75R5T115eg%3d%3d,dPxoOgebg8cTbrahtB1rBg%3d%3d,%2bKrXL7yE0sd77DOUu9NLPQ%3d%3d,2025-11-24T15:43:07.292335
153858_9169_12282738_28112153,HISTORY-288-01,HISTORY OF INEQUALITY.HISTORY-288-01.AAAS-288-01.SOCIOL-288-01.,"Harper, Jim",Fall 2023,HISTORY,"8 of 22  responded (36.36%)



 View Report
                            



 Download PDF","HISTORY, AAAS, SOCIOL",98997,CtmkEaIRhsSP75R5T115eg%3d%3d,dPxoOgebg8cTbrahtB1rBg%3d%3d,ZyR0FiHe98N5d%2brKtK0ASA%3d%3d,2025-11-24T15:43:07.292413
153858_9169_12282809_27991756,LSGS-201S-01,INTRO TO LATINO/A STUDIES.LSGS-201S-01.AAAS-104S-01.ICS-106S-01.LIT-243S-01.MUSIC-231S-01.SPANISH-160S-01.,"Enriquez, Sophia",Fall 2023,LSGS,"7 of 18  responded (38.89%)



 View Report
                            



 Download PDF","LSGS, AAAS, ICS, LIT, MUSIC, SPANISH",99008,CtmkEaIRhsSP75R5T115eg%3d%3d,cabGT5ltXpPHxeu2D7mzTg%3d%3d,8sVIw5K6G4UjSVDNNyi3IA%3d%3d,2025-11-24T15:43:07.292496
153858_9169_12282810_28112085,GSF-263S-01,REPRESENTING BREAST CANCER.GSF-263S-01.AAAS-265S-01.ARTSVIS-263S-01.LIT-260S-01.,"Lamm, Kimberly",Fall 2023,GSF,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","GSF, AAAS, ARTSVIS, LIT",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,LLRE76UjTqf93VXXxxc8WA%3d%3d,RNJm%2fF3LLJeAO%2fpGLoczTQ%3d%3d,2025-11-24T15:43:07.292574
153858_9169_12282820_27466686,RELIGION-201-01,"RACE, FILM, AND RELIGION.RELIGION-201-01.AAAS-201-01.GSF-201-01.","Winters, Joe",Fall 2023,RELIGION,"31 of 49  responded (63.27%)



 View Report
                            



 Download PDF","RELIGION, AAAS, GSF",99028,CtmkEaIRhsSP75R5T115eg%3d%3d,%2bA5wGyMOXmTHeBx6zkM7Sg%3d%3d,WlPfLAockrXSNpuf%2bmBUlA%3d%3d,2025-11-24T15:43:07.292656
153858_9169_12282832_28112144,PUBPOL-290-03,SELECTED TOPICS.PUBPOL-290-03.AAAS-290-03.SOCIOL-290-03.,"Lowell, Warren",Fall 2023,PPS,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","PUBPOL, AAAS, SOCIOL",99026,CtmkEaIRhsSP75R5T115eg%3d%3d,TVdySvQpLlsPwowk3dpFWA%3d%3d,MYl3grMeCFxLbHB%2b01c41A%3d%3d,2025-11-24T15:43:07.292734
153858_9169_12282835_27446132,AAAS-316S-01,APARTHEID S-AFRICA/DEMOCRACY.AAAS-316S-01.HISTORY-386S-01.ICS-211S-2-01.POLSCI-337S-01.PUBPOL-327S-01.RIGHTS-316S-01.,"Shapiro, Karin",Fall 2023,AFRAMRST,"11 of 14  responded (78.57%)



 View Report
                            



 Download PDF","AAAS, HISTORY, ICS, POLSCI, PUBPOL, RIGHTS",98963,CtmkEaIRhsSP75R5T115eg%3d%3d,xOHyG52S2lr1Fig80PbEEg%3d%3d,yE7KOjM%2bqKr1WotVPjMxlg%3d%3d,2025-11-24T15:43:07.292815
