uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241457_27991638,AMES-609S-01,TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,"Kwon, Aimee",Fall 2023,AMES,"7 of 13  responded (53.85%)



 View Report
                            



 Download PDF","AMES, AADS, ARTHIST, CINE, CULANTH, GSF",98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,KgUhuWA7zJhVEbLWwcER8g%3d%3d,1iujJodvK%2b%2f%2f%2bHqanSIZ8A%3d%3d,2025-11-24T15:43:59.452766
153858_9169_12282744_27446110,AMES-335-01,CHINATOWNS: A CULTURAL HISTORY.AMES-335-01.AADS-335-01.HISTORY-228-01.ICS-336-01.,"Chow, Eileen",Fall 2023,AMES,"24 of 51  responded (47.06%)



 View Report
                            



 Download PDF","AMES, AADS, HISTORY, ICS",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,Hg7LmdiVHQgUlvbfbDJHtg%3d%3d,bQQFUoukquPG0h%2bvAo1agQ%3d%3d,2025-11-24T15:43:59.452859
153858_9169_12282821_27445831,ICS-335S-01,DECOLONIZATION.ICS-335S-01.AADS-337S-01.GSF-335S-01.HISTORY-289S-01.,"Namakkal, Jessica",Fall 2023,ICS,"11 of 18  responded (61.11%)



 View Report
                            



 Download PDF","ICS, AADS, GSF, HISTORY",99000,CtmkEaIRhsSP75R5T115eg%3d%3d,L56pdBs1mHsQucqiYVISpQ%3d%3d,1DXES5LQTzWXOSO8uSZSyQ%3d%3d,2025-11-24T15:43:59.452941
153858_9169_12282964_28112081,GSF-382S-01,INTIMACIES.GSF-382S-01.AADS-382S-01.,"Storti, Anna",Fall 2023,GSF,"14 of 18  responded (77.78%)



 View Report
                            



 Download PDF","GSF, AADS",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,y3azxn1Vf6SZgenLzzj1ng%3d%3d,FDuC1pf7TuAoxbjHGfo5oA%3d%3d,2025-11-24T15:43:59.453014
153858_9169_12283010_28112081,GSF-364S-01,"RACE, GENDER, AND SEXUALITY.GSF-364S-01.AAAS-242S-01.AADS-364S-01.SOCIOL-364S-01.SXL-264S-01.","Storti, Anna",Fall 2023,GSF,"12 of 17  responded (70.59%)



 View Report
                            



 Download PDF","GSF, AAAS, AADS, SOCIOL, SXL",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,KWJpzpPFJT66cXMq60WcDg%3d%3d,FDuC1pf7TuAoxbjHGfo5oA%3d%3d,2025-11-24T15:43:59.453088
153858_9169_12283132_28112155,HISTORY-198-01,INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,"Cheung-Miaw, Calvin",Fall 2023,HISTORY,"20 of 27  responded (74.07%)



 View Report
                            



 Download PDF","HISTORY, AADS",98997,CtmkEaIRhsSP75R5T115eg%3d%3d,By7kH6I%2fFLaRN0yevp%2fQpw%3d%3d,TyzpogeF1barlFRBgANf1A%3d%3d,2025-11-24T15:43:59.453158
161337_9470_12750776_28112051,AADS-290S-01,SPECIAL TOPICS IN AADS.AADS-290S-01.AMES-290S-03.CULANTH-290S-07.,"Choudhury, Athia",Spring 2024,AADS,"9 of 18  responded (50.00%)



 View Report
                            



 Download PDF","AADS, AMES, CULANTH",98962,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,nWDBzNmBhrO6a7z%2fTTISFg%3d%3d,t36fT6MmYPCUJxZuIv8H4A%3d%3d,2025-11-24T15:43:59.453232
161337_9470_12751139_28111671,AADS-336S-01,ASIAN AMERICAN LITERATURE.AADS-336S-01.AMES-332S-01.ENGLISH-352S-01.LIT-353S-01.,"Thananopavarn, Susan",Spring 2024,AADS,"15 of 18  responded (83.33%)



 View Report
                            



 Download PDF","AADS, AMES, ENGLISH, LIT",98962,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,gCINS7wSONhBxUVK9o6jhA%3d%3d,lotLKsFXChAqSmR7DDyJdQ%3d%3d,2025-11-24T15:43:59.453302
161337_9470_12751150_28112081,AADS-201-01,INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,"Storti, Anna",Spring 2024,AADS,"13 of 29  responded (44.83%)



 View Report
                            



 Download PDF","AADS, AMES, ENGLISH, GSF, HISTORY, ICS",98962,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,O8Np3oJ7qPycgwjh%2fPa%2biw%3d%3d,FDuC1pf7TuAoxbjHGfo5oA%3d%3d,2025-11-24T15:43:59.453374
171571_9973_13645637_27991638,AMES-609S-01,TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,"Kwon, Aimee",Fall 2024,AMES,"5 of 10  responded (50.00%)



 View Report
                            



 Download PDF","AMES, AADS, ARTHIST, CINE, CULANTH, GSF",98815,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,cUqzyfwWR4j8Uixy4gQpIQ%3d%3d,1iujJodvK%2b%2f%2f%2bHqanSIZ8A%3d%3d,2025-11-24T15:43:59.453447
171571_9973_13645649_28807841,HISTORY-890S-14-01,RESEARCH SEM IN CULTURAL HIS.HISTORY-890S-14-01.AADS-890S-01.AMES-890S-01.CULANTH-890S-02.POLSCI-890S-14-01.,"Hacohen, Malachi",Fall 2024,HISTORY,"6 of 10  responded (60.00%)



 View Report
                            



 Download PDF","HISTORY, AADS, AMES, CULANTH, POLSCI",98849,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,40n8lXJ4BRx5MG0xhpjO%2bQ%3d%3d,%2fr%2foy16aiofZRjW%2bCwt3IA%3d%3d,2025-11-24T15:43:59.453519
171571_9973_13645683_28807733,LIT-690S-03,SPECIAL TOPICS IN LITERATURE.LIT-690S-03.AADS-690S-03.AMES-690S-03.CULANTH-590S-03.,"Chow, Rey",Fall 2024,LITERATURE,"10 of 12  responded (83.33%)



 View Report
                            



 Download PDF","LIT, AADS, AMES, CULANTH",98858,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,%2fsh%2bAhs1TLAjCHOm5Q9VAQ%3d%3d,fq6aCpdKpzSHSUz7wF5JIw%3d%3d,2025-11-24T15:43:59.453590
171550_9973_13686538_28111970,ENGLISH-290S-04,SP TOP IN LANG. & LIT.ENGLISH-290S-04.AADS-290S-04.AMES-290S-04.LIT-290S-04.,"Jeong, Victor",Fall 2024,ENGLISH,"9 of 13  responded (69.23%)



 View Report
                            



 Download PDF","ENGLISH, AADS, AMES, LIT",98988,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,yyk5CxyvZmQaUdXJ%2fkVKEg%3d%3d,2tw31ug%2b0yut1z0yVQfu2Q%3d%3d,2025-11-24T15:43:59.453665
171550_9973_13686646_28112094,CULANTH-313S-01,RACE AND MEDICINE.CULANTH-313S-01.AAAS-313S-01.AADS-313S-01.GLHLTH-313S-01.GSF-313S-01.SOCIOL-314S-01.,"Rogers, Emily",Fall 2024,CULANTHRO,"10 of 14  responded (71.43%)



 View Report
                            



 Download PDF","CULANTH, AAAS, AADS, GLHLTH, GSF, SOCIOL",98978,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,GA8fuyaf%2f6t5m%2bSRMQyM2w%3d%3d,jlezaNFqx4oC9Xucmr7%2beg%3d%3d,2025-11-24T15:43:59.453737
171550_9973_13686734_28112155,HISTORY-198-01,INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,"Cheung-Miaw, Calvin",Fall 2024,HISTORY,"10 of 10  responded (100.00%)



 View Report
                            



 Download PDF","HISTORY, AADS",98997,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,bqpDHNC3beHgVrSWMYEkpw%3d%3d,TyzpogeF1barlFRBgANf1A%3d%3d,2025-11-24T15:43:59.453806
171550_9973_13686778_27445831,ICS-388S-01,GLOBAL SOUTH ASIA.ICS-388S-01.AADS-338S-01.AMES-388S-01.GSF-288S-01.HISTORY-298S-01.,"Namakkal, Jessica",Fall 2024,ICS,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF","ICS, AADS, AMES, GSF, HISTORY",99000,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,AMffH%2bxKoVqddzUqSdcaNg%3d%3d,1DXES5LQTzWXOSO8uSZSyQ%3d%3d,2025-11-24T15:43:59.453876
171550_9973_13686821_28807931,AADS-240S-01,ASIAN AMERICAN PSYCHOLOGY.AADS-240S-01.GLHLTH-240S-01.PSY-241S-01.,"Huynh, Hy",Fall 2024,AADS,"11 of 14  responded (78.57%)



 View Report
                            



 Download PDF","AADS, GLHLTH, PSY",98962,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,thjDUYUFrYRBXGI0N27XnA%3d%3d,Ype6Znc2rRVPB31EZscjMg%3d%3d,2025-11-24T15:43:59.453976
171550_9973_13686901_27445938,THEATRST-232S-01,ASIAN AMERICAN THEATER.THEATRST-232S-01.AADS-232S-01.AMES-182S-01.ENGLISH-387S-01.HISTORY-293S-01.,"Lee, Esther",Fall 2024,THEATRST,"7 of 14  responded (50.00%)



 View Report
                            



 Download PDF","THEATRST, AADS, AMES, ENGLISH, HISTORY",99035,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,V3YWTkblmNU156iMtD%2buxQ%3d%3d,vRyHEHA68yzWiaSpV15PBw%3d%3d,2025-11-24T15:43:59.454051
171550_9973_13686914_27446110,AMES-335-01,CHINATOWNS: A CULTURAL HISTORY.AMES-335-01.AADS-335-01.HISTORY-228-01.ICS-336-01.,"Chow, Eileen",Fall 2024,AMES,"14 of 33  responded (42.42%)



 View Report
                            



 Download PDF","AMES, AADS, HISTORY, ICS",98965,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,Ghl2BnoELrfs%2fJI7qxnVFg%3d%3d,bQQFUoukquPG0h%2bvAo1agQ%3d%3d,2025-11-24T15:43:59.454125
