filename,semester,course,instructor,question_number,question_text,response_text
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. How to analyze specific musical features within songs
2. How to situate music within historical contexts
3. Thinking of music not as a source of entertainment but as an indicator of modernity and as a dynamic cultural aspect"
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Musical contextualization, sonic elements of ethnicity, music as modernization"
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- Common descriptors of Asian-American music 
- Pop culture history in East Asia 
- Asian music in activism"
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. Critical listening skills, especially for listening to pop music and music with lyrics, genres that I'm less familiar with analyzing
2. Developing a framework for understanding how (pop) music can reflect its social, cultural, and political context
3. Developing a foundational knowledge of key musical movements in the history of Asian and Asian American pop music, from Shanghai's shidaiqu to K-pop"
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learning how to analyze music with historical contexts, appreciating cultures in regards to music, and also developing the thinking of analyzing lyrics, transnationalism, and political music."
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Different domains of asian and asian American music; foundational music theories that help to analyze different cultural backgrounds of different music genre; the link between asian music and asian modernity.
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I particularly enjoyed any time we had practical learning experiences like karaoke, for instance. I also liked being able to do my own research and learn more about the topics that we learned in class."
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The instructor gave many opportunities for class discussion to keep us engaged in the lecture.
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I liked that the course was very discussion based. Professor Wang is an incredible listener, and provides positive insights on every discussion point brought up which I think tremendously helped the class engagement."
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","This class was awesome! Emily's enthusiasm for the class and the material is evident and contagious. She was an incredibly approachable, flexible, and caring professor and created an environment where it felt like we were really able to think critically while also having fun in a low-stakes environment. The course's selected topics and the sequence in which these topics were presented were logical and coherent. I appreciated that Emily took the time to contextualize each new topic we discussed within the scope of what we had learned thus far. Topics were well-connected and referenced each other, which gave me a deeper appreciation for the course's ethnomusicological lens and each of the individual musics. Emily did a fantastic job of fostering a friendly and supportive class environment. Despite the larger class size, it felt like we were able to have discussions, share ideas, and get to know each other's ways of thinking. Emily also seemed genuinely interested in learning from us, fostering a non-hierarchical classroom environment (versus one where the professor clearly presents as the all-knowing expert uninterested in students' insights) that I think greatly encouraged students' independent thinking. Karaoke was a lot of fun and also helped build camaraderie among the class. I think all of the assignments were meaningful and useful while also leaving plenty of room for our own thinking and creativity (e.g. 3 you pick listening journals and a very open-ended final project). Course assignments were structured in a way that leaves options and appeals to a diversity of strengths and weaknesses (e.g. appealing to those who prefer test-taking vs. essay-writing and to those who prefer independent vs group work). Most of all, this class was fun! It's such a relief to have a class that is genuinely fun, where the professor is also excited to just have fun while still learning a lot."
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I liked how much music we had to listen to. The listening reflection/listening journal was really fun, because it's pretty informal but still requires a level of understanding of musicology concepts. Final project is fun and I like Prof Wang's openness to all sorts of projects."
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Great learning environment! very interactive class sessions.
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Specifically learning about the historical contexts of different genres of music allowed me to view them differently and appreciate them more.
