filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",7/24 (29.17%),4.71,0.49,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (28.57%); Excellent: 5 (71.43%)
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",7/24 (29.17%),4.86,0.38,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (14.29%); Excellent: 6 (85.71%)
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",7/24 (29.17%),4.86,0.38,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (14.29%); Excellent: 6 (85.71%)
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,8,The course was difficult.,7/24 (29.17%),2.14,0.90,2.00,7,Strongly disagree: 2 (28.57%); Disagree: 2 (28.57%); Neither agree nor disagree: 3 (42.86%); Agree: 0 (0.00%); Strongly agree: 0 (0.00%)
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7/24 (29.17%),2.00,0.58,2.00,7,1: 1 (14.29%); 2: 5 (71.43%); 3: 1 (14.29%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
AADS-198-01_Cheung-Miaw__Calvin_Fall_2023.html,Fall 2023,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AADS-198-01_Cheung-Miaw__Calvin_Fall_2023.html,Fall 2023,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AADS-198-01_Cheung-Miaw__Calvin_Fall_2023.html,Fall 2023,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",20/27 (74.07%),4.75,0.44,5.00,20,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (25.00%); Excellent: 15 (75.00%)
AADS-198-01_Cheung-Miaw__Calvin_Fall_2023.html,Fall 2023,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AADS-198-01_Cheung-Miaw__Calvin_Fall_2023.html,Fall 2023,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",20/27 (74.07%),4.75,0.44,5.00,20,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (25.00%); Excellent: 15 (75.00%)
AADS-198-01_Cheung-Miaw__Calvin_Fall_2023.html,Fall 2023,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",20/27 (74.07%),4.85,0.37,5.00,20,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (15.00%); Excellent: 17 (85.00%)
AADS-198-01_Cheung-Miaw__Calvin_Fall_2023.html,Fall 2023,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AADS-198-01_Cheung-Miaw__Calvin_Fall_2023.html,Fall 2023,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,8,The course was difficult.,20/27 (74.07%),2.60,0.88,2.50,20,Strongly disagree: 1 (5.00%); Disagree: 9 (45.00%); Neither agree nor disagree: 8 (40.00%); Agree: 1 (5.00%); Strongly agree: 1 (5.00%)
AADS-198-01_Cheung-Miaw__Calvin_Fall_2023.html,Fall 2023,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,20/27 (74.07%),3.50,1.61,3.00,20,1: 0 (0.00%); 2: 6 (30.00%); 3: 5 (25.00%); 4: 7 (35.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 1 (5.00%); 8: 1 (5.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
AADS-198-01_Cheung-Miaw__Calvin_Fall_2024.html,Fall 2024,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AADS-198-01_Cheung-Miaw__Calvin_Fall_2024.html,Fall 2024,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AADS-198-01_Cheung-Miaw__Calvin_Fall_2024.html,Fall 2024,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",10/10 (100%),4.80,0.42,5.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (20.00%); Excellent: 8 (80.00%)
AADS-198-01_Cheung-Miaw__Calvin_Fall_2024.html,Fall 2024,HISTORY-198-01 : INTRO TO ASIAN AMERICAN HIST.HISTORY-198-01.AADS-198-01.,Calvin Cheung-Miaw,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
