filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,7/24 (29.17%),4.71,0.49,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,7/24 (29.17%),4.71,0.49,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,7/24 (29.17%),4.71,0.49,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,28.57%,7/24 (29.17%),4.71,0.49,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,71.43%,7/24 (29.17%),4.71,0.49,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),1,14.29%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),6,85.71%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),1,14.29%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),6,85.71%,7/24 (29.17%),4.86,0.38,5.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,8,The course was difficult.,Strongly disagree,(1),2,28.57%,7/24 (29.17%),2.14,0.90,2.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,8,The course was difficult.,Disagree,(2),2,28.57%,7/24 (29.17%),2.14,0.90,2.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,8,The course was difficult.,Neither agree nor disagree,(3),3,42.86%,7/24 (29.17%),2.14,0.90,2.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,8,The course was difficult.,Agree,(4),0,0.00%,7/24 (29.17%),2.14,0.90,2.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,8,The course was difficult.,Strongly agree,(5),0,0.00%,7/24 (29.17%),2.14,0.90,2.00
AADS-138-01_Wang__Yun_Spring_2025.html,Spring 2025,MUSIC-138-01 : ASIAN(-AMERICAN) POP MUSIC.MUSIC-138-01.AADS-138-01.AMES-137-01.CULANTH-138-01.,Yun Wang,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),1,14.29%,7/24 (29.17%),2.00,0.58,2.00
