uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12283500_28112270,AEROSCI-99L-01L,LEADERSHIP LABORATORY.AEROSCI-99L-01L.,"Allen, Ryan",Fall 2023,AFROTC,"6 of 28  responded (21.43%)



 View Report
                            



 Download PDF",,98964,CtmkEaIRhsSP75R5T115eg%3d%3d,TbtDK1HZMtVaOQkgKiMPrA%3d%3d,AzMWfYDuPtHBhab5gEoOcg%3d%3d,2025-11-24T15:44:13.493705
153858_9169_12283500_28112272,AEROSCI-99L-01L,LEADERSHIP LABORATORY.AEROSCI-99L-01L.,"Nishimura, Michael",Fall 2023,AFROTC,"6 of 28  responded (21.43%)



 View Report
                            



 Download PDF",,98964,CtmkEaIRhsSP75R5T115eg%3d%3d,TbtDK1HZMtVaOQkgKiMPrA%3d%3d,0cDCycKSqQ1igh%2bTbyw2vA%3d%3d,2025-11-24T15:44:13.493802
153858_9169_12283500_28112274,AEROSCI-99L-01L,LEADERSHIP LABORATORY.AEROSCI-99L-01L.,"Sumner, Kippun",Fall 2023,AFROTC,"6 of 28  responded (21.43%)



 View Report
                            



 Download PDF",,98964,CtmkEaIRhsSP75R5T115eg%3d%3d,TbtDK1HZMtVaOQkgKiMPrA%3d%3d,FAIF5202ejtM8QGdiPsu0w%3d%3d,2025-11-24T15:44:13.493883
153858_9169_12283500_28112276,AEROSCI-99L-01L,LEADERSHIP LABORATORY.AEROSCI-99L-01L.,"Rozelle-Murphy, Austin",Fall 2023,AFROTC,"6 of 28  responded (21.43%)



 View Report
                            



 Download PDF",,98964,CtmkEaIRhsSP75R5T115eg%3d%3d,TbtDK1HZMtVaOQkgKiMPrA%3d%3d,eYemib%2f0psOdZdro9cy%2bTA%3d%3d,2025-11-24T15:44:13.493962
153858_9169_12283584_28112270,AEROSCI-101-01,HERITAGE/VALUES US AIR FORCE.AEROSCI-101-01.,"Allen, Ryan",Fall 2023,AFROTC,"6 of 18  responded (33.33%)



 View Report
                            



 Download PDF",AEROSCI,98964,CtmkEaIRhsSP75R5T115eg%3d%3d,mrwQeTRAoYqkFDaV51NUOw%3d%3d,AzMWfYDuPtHBhab5gEoOcg%3d%3d,2025-11-24T15:44:13.494037
161337_9470_12751670_28112270,AEROSCI-99L-01L,LEADERSHIP LABORATORY.AEROSCI-99L-01L.,"Allen, Ryan",Spring 2024,AFROTC,"6 of 29  responded (20.69%)



 View Report
                            



 Download PDF",,98964,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,pPOys0oc%2bVkYbuftNUYwuA%3d%3d,AzMWfYDuPtHBhab5gEoOcg%3d%3d,2025-11-24T15:44:13.494110
161337_9470_12751670_28112272,AEROSCI-99L-01L,LEADERSHIP LABORATORY.AEROSCI-99L-01L.,"Nishimura, Michael",Spring 2024,AFROTC,"6 of 29  responded (20.69%)



 View Report
                            



 Download PDF",,98964,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,pPOys0oc%2bVkYbuftNUYwuA%3d%3d,0cDCycKSqQ1igh%2bTbyw2vA%3d%3d,2025-11-24T15:44:13.494181
161337_9470_12751670_28112274,AEROSCI-99L-01L,LEADERSHIP LABORATORY.AEROSCI-99L-01L.,"Sumner, Kippun",Spring 2024,AFROTC,"6 of 29  responded (20.69%)



 View Report
                            



 Download PDF",,98964,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,pPOys0oc%2bVkYbuftNUYwuA%3d%3d,FAIF5202ejtM8QGdiPsu0w%3d%3d,2025-11-24T15:44:13.494253
161337_9470_12751670_28112276,AEROSCI-99L-01L,LEADERSHIP LABORATORY.AEROSCI-99L-01L.,"Rozelle-Murphy, Austin",Spring 2024,AFROTC,"6 of 29  responded (20.69%)



 View Report
                            



 Download PDF",,98964,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,pPOys0oc%2bVkYbuftNUYwuA%3d%3d,eYemib%2f0psOdZdro9cy%2bTA%3d%3d,2025-11-24T15:44:13.494325
171550_9973_13687258_28112270,AEROSCI-101-01,HERITAGE/VALUES US AIR FORCE.AEROSCI-101-01.,"Allen, Ryan",Fall 2024,AFROTC,"8 of 22  responded (36.36%)



 View Report
                            



 Download PDF",AEROSCI,98964,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,pZYqYgcDbdS0DN4ivtkZrw%3d%3d,AzMWfYDuPtHBhab5gEoOcg%3d%3d,2025-11-24T15:44:13.494397
