filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
AAAS-261D-02D_Royal__Charmaine_Fall_2023.html,Fall 2023,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-261D-02D_Royal__Charmaine_Fall_2023.html,Fall 2023,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AAAS-261D-02D_Royal__Charmaine_Fall_2023.html,Fall 2023,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",3/25 (12%),2.67,1.53,3.00,3,Poor: 1 (33.33%); Marginal: 0 (0.00%); Average: 1 (33.33%); Very Good: 1 (33.33%); Excellent: 0 (0.00%)
AAAS-261D-02D_Royal__Charmaine_Fall_2023.html,Fall 2023,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AAAS-261D-02D_Royal__Charmaine_Fall_2023.html,Fall 2023,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",3/25 (12%),2.67,1.53,3.00,3,Poor: 1 (33.33%); Marginal: 0 (0.00%); Average: 1 (33.33%); Very Good: 1 (33.33%); Excellent: 0 (0.00%)
AAAS-261D-02D_Royal__Charmaine_Fall_2023.html,Fall 2023,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",3/25 (12%),3.00,1.00,3.00,3,Poor: 0 (0.00%); Marginal: 1 (33.33%); Average: 1 (33.33%); Very Good: 1 (33.33%); Excellent: 0 (0.00%)
AAAS-261D-02D_Royal__Charmaine_Fall_2023.html,Fall 2023,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AAAS-261D-02D_Royal__Charmaine_Fall_2023.html,Fall 2023,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,8,The course was difficult.,3/25 (12%),3.00,1.00,3.00,3,Strongly disagree: 0 (0.00%); Disagree: 1 (33.33%); Neither agree nor disagree: 1 (33.33%); Agree: 1 (33.33%); Strongly agree: 0 (0.00%)
AAAS-261D-02D_Royal__Charmaine_Fall_2023.html,Fall 2023,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3/25 (12%),1.67,0.58,2.00,3,1: 1 (33.33%); 2: 2 (66.67%); 3: 0 (0.00%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
AAAS-261D-02D_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-02D : RACE, GENOMICS, AND SOCIETY.AAAS-261D-02D.BIOLOGY-261D-02D.CULANTH-261D-02D.GLHLTH-258D-02D.SCISOC-258D-02D.VMS-274D-02D.",Charmaine Royal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
