filename,semester,course,instructor,question_number,question_text,response_text
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Expeditionary skills, experience in a leadership position, more awarness of how to prep for field training"
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Different careers in the Air Force, styles of leadership, and expectations for leaders."
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. Various Career opportunities in the DAF
2. How to lead / participate in GLPS
3. The process and knowledge involved in WK quizzes/inspections"
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to be decisive with decisions, delegate, and always maintain compability."
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Air Force history, jobs, values, etc. How to be a good leader, opportunities for development, basically everything Air Force and service related"
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",GLPs worked very well
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",They facilitated learning by allowing POC to take charge and create a schedule that GMC have to adhere to for a day.
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Bringing in guest speakers is incredibly helpful for someone who doesn't know what they want to do yet. That kind of exposure is invaluable.
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",There were a lot of beneficial group leadership projects. I would definitely keep the structure of this course.
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",It was a very interactive course. Lots of group activities to actually put leadership into practice
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Interesting GLPs and breifings
AEROSCI-99L-01L_Allen__Ryan_Fall_2023.html,Fall 2023,AEROSCI-99L-01L : LEADERSHIP LABORATORY.AEROSCI-99L-01L.,Ryan Allen,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"Having GLPs, expeditionary and a variety of different speakers kept the class engaging."
