uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987234_27466685,AMES-326A-01,RELIGIOUS CITIZENSHIP.AMES-326A-01.RELIGION-371A-01.ICS-362A-01.POLSCI-395A-01.PUBPOL-339A-01.,"Lo, Mbaye",Summer I 2023,AMES,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","AMES, RELIGION, ICS, POLSCI, PUBPOL",98965,R3taZNKnw14IRH7UBESaUg%3d%3d,8mMVIfOvzVxBYIhJDBwLpA%3d%3d,%2fWt4Q5%2boOYWs8P52yAUmbQ%3d%3d,2025-11-24T15:44:21.122285
154503_9169_12241457_27991638,AMES-609S-01,TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,"Kwon, Aimee",Fall 2023,AMES,"7 of 13  responded (53.85%)



 View Report
                            



 Download PDF","AMES, AADS, ARTHIST, CINE, CULANTH, GSF",98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,KgUhuWA7zJhVEbLWwcER8g%3d%3d,1iujJodvK%2b%2f%2f%2bHqanSIZ8A%3d%3d,2025-11-24T15:44:21.122394
154503_9169_12241588_27446110,EAS-700-01,EAST ASIAN STUDIES CORE COURSE.EAS-700-01.AMES-700-01.HISTORY-707-01.RELIGION-700-01.,"Chow, Eileen",Fall 2023,EAS,"9 of 18  responded (50.00%)



 View Report
                            



 Download PDF","EAS, AMES, HISTORY, RELIGION",98835,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,zg011vLXpFdh52rMViwMQg%3d%3d,bQQFUoukquPG0h%2bvAo1agQ%3d%3d,2025-11-24T15:44:21.122480
154503_9169_12241647_27991676,AMES-631-01,NATIONAL CINEMAS.AMES-631-01.CINE-632-01.LIT-632-01.VMS-632-01.,"Hong, Guo-Juin",Fall 2023,AMES,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF","AMES, CINE, LIT, VMS",98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,YakjV5PPAveEJl6yMZqypw%3d%3d,Gue8wq%2fp%2buXf%2bpoRatUq3A%3d%3d,2025-11-24T15:44:21.122558
154503_9169_12241699_27991798,AMES-790S-01,TOPICS IN ASIAN HUMANITIES.AMES-790S-01.,"Rojas, Carlos",Fall 2023,AMES,"7 of 11  responded (63.64%)



 View Report
                            



 Download PDF",AMES,98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,r0NTY1eq5XcCnajCRE5CeA%3d%3d,EWm2so3%2bQ5CVglDNOTHcyg%3d%3d,2025-11-24T15:44:21.122633
154503_9169_12241729_27991796,AMES-690S-01,SPECIAL TOPICS.AMES-690S-01.,"Jiang, Linshan",Fall 2023,AMES,"10 of 11  responded (90.91%)



 View Report
                            



 Download PDF",AMES,98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,gtttjhU1NKUgJxRZNrl2jA%3d%3d,9ohqMmCzRrUi9Qj1QIex6A%3d%3d,2025-11-24T15:44:21.122706
153858_9169_12282736_28112065,AMES-144-01,ISRAELI CULTURE.AMES-144-01.JEWISHST-245-01.,"Ben-yaakov, Reut",Fall 2023,AMES,"14 of 15  responded (93.33%)



 View Report
                            



 Download PDF","AMES, JEWISHST",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,1RmCJ3l8t6ilZi4qepeXCQ%3d%3d,xkMV2g1cegjzGbvQNElXVA%3d%3d,2025-11-24T15:44:21.122778
153858_9169_12282744_27446110,AMES-335-01,CHINATOWNS: A CULTURAL HISTORY.AMES-335-01.AADS-335-01.HISTORY-228-01.ICS-336-01.,"Chow, Eileen",Fall 2023,AMES,"24 of 51  responded (47.06%)



 View Report
                            



 Download PDF","AMES, AADS, HISTORY, ICS",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,Hg7LmdiVHQgUlvbfbDJHtg%3d%3d,bQQFUoukquPG0h%2bvAo1agQ%3d%3d,2025-11-24T15:44:21.122851
153858_9169_12282785_27991797,AMES-408S-01,GEOPOLITICS OF ISLAMOPHOBIA.AMES-408S-01.HISTORY-416S-01.ICS-421S-01.PUBPOL-413S-01.,"Goknar, Erdag",Fall 2023,AMES,"10 of 13  responded (76.92%)



 View Report
                            



 Download PDF","AMES, HISTORY, ICS, PUBPOL",98965,CtmkEaIRhsSP75R5T115eg%3d%3d,BLu%2b%2bzMd%2bYMv5jPAthL4iQ%3d%3d,AABXoPdmv0kXjZ7md56yVg%3d%3d,2025-11-24T15:44:21.122922
153858_9169_12282803_27445874,AMES-188FS-01,GAMES AND CULTURE.AMES-188FS-01.ICS-186FS-01.ISS-188FS-01.LIT-188FS-01.POLSCI-186FS-01.VMS-188FS-01.,"Ginsburg, Shai",Fall 2023,AMES,"5 of 16  responded (31.25%)



 View Report
                            



 Download PDF",,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,d4Ced2bGY59BSsm4YRsxFw%3d%3d,RLn6Ohgo9wAGJHGB9ltrjA%3d%3d,2025-11-24T15:44:21.123007
