filename,semester,course,instructor,question_number,question_text,response_text
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned a lot about Asian American history, imperialism, and patterns in history. Very insightful course."
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about Asian American consumerism, the long history of Asians being discriminated against including the creation and action of the Chinese Exclusion Act, and about trauma can be passed down through generations even if the events that caused the trauma has ended."
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","History of Asian America, new perspectives of evaluation, how modern Asian American culture is shaped."
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Analysis of historical documents and sources
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned to understand how asian american stereotypes have been deeply rooted in history, and tying themes of home, family, and immigration"
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",How to write again after being in STEM hell for the last 2 years
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I think this course reaffirmed my ability to close read and interpret literature, taught me a variety of new view points I was not previously exposed to in the context of the Asian American community, and gave me a lot of practice discussing and articulating my thoughts on subjective works with my peers."
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","The history of Asian-America
What it means to be Asian-American
Issues that face the Asian-American community today"
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learn about the Yellow Peril, Orientalism, and Asian Americans during the Cold War."
AADS-201-01_Yoo__Jaeyeon_Spring_2025.html,Spring 2025,AADS-201-01 : INTRO ASIAN AMER DIASP STUDIES.AADS-201-01.AMES-276-01.ENGLISH-275-01.GSF-203-01.HISTORY-274-01.ICS-286-01.,Jaeyeon Yoo,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Postcolonial theory, Asian history in America, better writing skills"
