uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12283366_28112267,ARABIC-203-001,INTERMEDIATE ARABIC.ARABIC-203-001.,"Boumaaza, Amal",Fall 2023,AMES,"6 of 6  responded (100.00%)



 View Report
                            



 Download PDF",ARABIC,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,hVLjNwwrXD0WY2V1t8K3ow%3d%3d,9hOk74aq%2f9J7DG%2fplveaOQ%3d%3d,2025-11-24T15:45:21.474219
153858_9169_12283474_28112267,ARABIC-102-001,ELEMENTARY ARABIC.ARABIC-102-001.,"Boumaaza, Amal",Fall 2023,AMES,"5 of 8  responded (62.50%)



 View Report
                            



 Download PDF",ARABIC,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,yBBd8fDzt1M0Gi07oHs4Dw%3d%3d,9hOk74aq%2f9J7DG%2fplveaOQ%3d%3d,2025-11-24T15:45:21.474353
153858_9169_12283536_27446022,ARABIC-305-01,ADVANCED ARABIC.ARABIC-305-01.,"Houssami, Maha",Fall 2023,AMES,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF",ARABIC,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,gZfocuC23kI9eeYRRxUqug%3d%3d,J7cp3OgdZl5KrQ2zqTi%2bXA%3d%3d,2025-11-24T15:45:21.474443
153858_9169_12283550_28112263,ARABIC-101-01D,ELEMENTARY ARABIC.ARABIC-101-01D.,"Cheikh Abdi ValL, Saad",Fall 2023,AMES,"8 of 18  responded (44.44%)



 View Report
                            



 Download PDF",,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,y9kmCgjjfxFjA%2fwChxXKDA%3d%3d,BMQGXGYDtaekan9zAJoU3w%3d%3d,2025-11-24T15:45:21.474530
153858_9169_12283578_28112269,ARABIC-101-001,ELEMENTARY ARABIC.ARABIC-101-001.,"Badr, Badr Abdelfatta",Fall 2023,AMES,"16 of 19  responded (84.21%)



 View Report
                            



 Download PDF",ARABIC,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,EadC6%2fo1cc2cnANEiFltWw%3d%3d,UUyXUqKksK%2bEH8HlkxRr2Q%3d%3d,2025-11-24T15:45:21.474612
153858_9169_12283580_28112269,ARABIC-203-01D,INTERMEDIATE ARABIC.ARABIC-203-01D.,"Badr, Badr Abdelfatta",Fall 2023,AMES,"5 of 6  responded (83.33%)



 View Report
                            



 Download PDF",,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,E2VLRRRNth%2fnCJ1755WO9w%3d%3d,UUyXUqKksK%2bEH8HlkxRr2Q%3d%3d,2025-11-24T15:45:21.474695
153858_9169_12283586_28112269,ARABIC-203-002,INTERMEDIATE ARABIC.ARABIC-203-002.,"Badr, Badr Abdelfatta",Fall 2023,AMES,"9 of 13  responded (69.23%)



 View Report
                            



 Download PDF",ARABIC,98965,CtmkEaIRhsSP75R5T115eg%3d%3d,BGKpIQyUWe6S2GoBFIxdBQ%3d%3d,UUyXUqKksK%2bEH8HlkxRr2Q%3d%3d,2025-11-24T15:45:21.474777
161337_9470_12751477_28112263,ARABIC-102-01D,ELEMENTARY ARABIC.ARABIC-102-01D.,"Cheikh Abdi ValL, Saad",Spring 2024,AMES,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF",,98965,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,ygWmO7LNFz%2bgwMKueUe5tg%3d%3d,BMQGXGYDtaekan9zAJoU3w%3d%3d,2025-11-24T15:45:21.474858
161337_9470_12751633_28112269,ARABIC-204-001,INTERMEDIATE ARABIC.ARABIC-204-001.,"Badr, Badr Abdelfatta",Spring 2024,AMES,"7 of 10  responded (70.00%)



 View Report
                            



 Download PDF",ARABIC,98965,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,2cUja%2feECmQQ%2bcvEhDhemw%3d%3d,UUyXUqKksK%2bEH8HlkxRr2Q%3d%3d,2025-11-24T15:45:21.474938
161337_9470_12751666_28112269,ARABIC-203-001,INTERMEDIATE ARABIC.ARABIC-203-001.,"Badr, Badr Abdelfatta",Spring 2024,AMES,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF",ARABIC,98965,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,nSuFVQli5ILsaXf0XzW7ZQ%3d%3d,UUyXUqKksK%2bEH8HlkxRr2Q%3d%3d,2025-11-24T15:45:21.475017
171550_9973_13687296_28112263,ARABIC-204-01,INTERMEDIATE ARABIC.ARABIC-204-01.,"Cheikh Abdi ValL, Saad",Fall 2024,AMES,"6 of 8  responded (75.00%)



 View Report
                            



 Download PDF",ARABIC,98965,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,w9ONnaGGvQMUFcmPtV4TSg%3d%3d,BMQGXGYDtaekan9zAJoU3w%3d%3d,2025-11-24T15:45:21.475096
171550_9973_13687296_28112269,ARABIC-204-01,INTERMEDIATE ARABIC.ARABIC-204-01.,"Badr, Badr Abdelfatta",Fall 2024,AMES,"6 of 8  responded (75.00%)



 View Report
                            



 Download PDF",ARABIC,98965,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,w9ONnaGGvQMUFcmPtV4TSg%3d%3d,UUyXUqKksK%2bEH8HlkxRr2Q%3d%3d,2025-11-24T15:45:21.475177
171550_9973_13687316_28112263,ARABIC-203-01,INTERMEDIATE ARABIC.ARABIC-203-01.,"Cheikh Abdi ValL, Saad",Fall 2024,AMES,"12 of 14  responded (85.71%)



 View Report
                            



 Download PDF",ARABIC,98965,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,DU3qnABKpZZnK4ej4%2f%2bWLQ%3d%3d,BMQGXGYDtaekan9zAJoU3w%3d%3d,2025-11-24T15:45:21.475284
171550_9973_13687316_28112269,ARABIC-203-01,INTERMEDIATE ARABIC.ARABIC-203-01.,"Badr, Badr Abdelfatta",Fall 2024,AMES,"12 of 14  responded (85.71%)



 View Report
                            



 Download PDF",ARABIC,98965,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,DU3qnABKpZZnK4ej4%2f%2bWLQ%3d%3d,UUyXUqKksK%2bEH8HlkxRr2Q%3d%3d,2025-11-24T15:45:21.475369
