filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,16/19 (84.21%),4.56,0.51,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,16/19 (84.21%),4.56,0.51,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,16/19 (84.21%),4.56,0.51,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),7,43.75%,16/19 (84.21%),4.56,0.51,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),9,56.25%,16/19 (84.21%),4.56,0.51,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,15/19 (78.95%),4.67,0.49,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,15/19 (78.95%),4.67,0.49,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,15/19 (78.95%),4.67,0.49,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),5,33.33%,15/19 (78.95%),4.67,0.49,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),10,66.67%,15/19 (78.95%),4.67,0.49,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,15/19 (78.95%),5.00,0.00,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,15/19 (78.95%),5.00,0.00,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,15/19 (78.95%),5.00,0.00,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),0,0.00%,15/19 (78.95%),5.00,0.00,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),15,100.00%,15/19 (78.95%),5.00,0.00,5.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,8,The course was difficult.,Strongly disagree,(1),0,0.00%,16/19 (84.21%),3.13,0.96,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,8,The course was difficult.,Disagree,(2),5,31.25%,16/19 (84.21%),3.13,0.96,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,8,The course was difficult.,Neither agree nor disagree,(3),5,31.25%,16/19 (84.21%),3.13,0.96,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,8,The course was difficult.,Agree,(4),5,31.25%,16/19 (84.21%),3.13,0.96,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,8,The course was difficult.,Strongly agree,(5),1,6.25%,16/19 (84.21%),3.13,0.96,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),1,6.25%,16/19 (84.21%),3.19,1.42,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),5,31.25%,16/19 (84.21%),3.19,1.42,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),5,31.25%,16/19 (84.21%),3.19,1.42,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),1,6.25%,16/19 (84.21%),3.19,1.42,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),3,18.75%,16/19 (84.21%),3.19,1.42,3.00
ARABIC-101-001_Badr__Badr_Abdelfatta_Fall_2023.html,Fall 2023,ARABIC-101-001 : ELEMENTARY ARABIC.ARABIC-101-001.,Badr Abdelfatta Badr,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),1,6.25%,16/19 (84.21%),3.19,1.42,3.00
