filename,semester,course,instructor,question_number,question_text,response_text
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I am a MFA student and haven't experience academic study training, so this course is really, super hard for me. But also because of this course, I have to force myself read many English papers in this semester, which really help me to get used to English reading and writing environment I am currently in. Also, reading these papers give me other perspectives to see this world, especially related to topics such as Asian-American and Korean War."
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Colonialism theories; East Asian history in the 20th century; Cold War history
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot about approaching history from a ""minoritarian"" perspective."
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Applying critical scholarly works to current events
Understanding and contextualizing the Asian/American diasporic 
Critically thinking about the lens through which we receive information and view our histories, traumas, and futures"
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","My close reading skills, critical thinking capacity, and knowledge of either colonial or postcolonial theoretical backgrounds were greatly reinforced."
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed more intellectual capacity on critical thinking regarding topics of colonialism, neoliberalism, and violence. The instructor provides a good connection between theoretical materials and analysis of specific cases. First of all, I was able to reflect on the epistemological perception of Cold War and the manifestation of its polarization regarding historical narratives. Second, I was able to develop a critical understanding of violence in the context of de-colonization and the limitations of nation-states. Third, the instructor provides diverse interaction with other urgent political issues and events, enabling us to think beyond the scope of our reading materials."
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","We not only read papers, but also attend a documentary screening in this semester. Help me to think a lot."
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",preparing for presentation
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The texts we read in class are all very illuminating.
AMES-609S-01_Kwon__Aimee_Fall_2023.html,Fall 2023,AMES-609S-01 : TRANSPACIFIC ASIA/AMERICA.AMES-609S-01.AADS-609S-01.ARTHIST-609S-01.CINE-609S-01.CULANTH-609S-01.GSF-609S-01.,Aimee Kwon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Discussion based!
