filename,semester,course,instructor,question_number,question_text,response_text
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned a new method to go through a reading: annotation.
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I examined my life a lot during the class.
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Ethical and philosophical concepts and how they can pertain to real life. As well as review of the world in family, work and community contexts."
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Reading (especially philosophical material and analyzing it), being more logical in reasoning, and reflecting on our lives critically. 
Thinking deeply through the superficial about things."
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Logical thinking, evaluating some ethical choices and knowledge about Socrates."
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Journal writing, podcast recording, and some philosophical concepts."
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","critical thinking skills, knowledge on the fields of family, work, and community"
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learn some specific ideas from the article, especially from the philosophy paper. Those papers bring me many deep thoughts related to old society and the new order of the world. I still remembered in the article of Greek State, the author mentioned the culture from the rich people or empire would govern the people who have less resources and forms the rudiment of slavery."
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Skill in cross-comparing texts, brainstorming discussions, and historical material searching"
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This course has deepened my understanding of ethics and citizenship.One of the most valuable skills I've gained is the ability to think collaboratively across different perspectives. This course emphasized the importance of critical dialogue - asking tough questions, following arguments wherever they lead, and actively listening. I've learned how to navigate differences of opinion with empathy and openness.The course enabled me to have deeper and more meaningful conversations about personal and societal values. I learned how to compare and contrast different ethical perspectives, which helped me engage in more inclusive and insightful dialogues across cultural and ideological boundaries.I also developed a stronger capacity for self-reflection. Through reflection, I delved deeper into my value assessment and formed a better understanding of the three themes of this course."
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",a lot new in philosophy logic
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",discussion is pretty helpful to engage with course materials
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Fishbowl discussion
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Yes! I love how humerus our instructor is and how he is determined to help us understand and think deeply through the readings. The annotation is very important as it help us to think while we are reading, I will keep writing annotations in future study."
