filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",17/18 (94.44%),4.59,0.71,5.00,17,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (11.76%); Very Good: 3 (17.65%); Excellent: 12 (70.59%)
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",17/18 (94.44%),4.35,0.49,4.00,17,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 11 (64.71%); Excellent: 6 (35.29%)
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",17/18 (94.44%),4.59,0.62,5.00,17,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (5.88%); Very Good: 5 (29.41%); Excellent: 11 (64.71%)
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,8,The course was difficult.,17/18 (94.44%),2.94,0.97,3.00,17,Strongly disagree: 1 (5.88%); Disagree: 4 (23.53%); Neither agree nor disagree: 8 (47.06%); Agree: 3 (17.65%); Strongly agree: 1 (5.88%)
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,17/18 (94.44%),5.24,2.05,5.00,17,1: 0 (0.00%); 2: 1 (5.88%); 3: 2 (11.76%); 4: 3 (17.65%); 5: 5 (29.41%); 6: 3 (17.65%); 7: 1 (5.88%); 8: 0 (0.00%); 9: 1 (5.88%); 10+: 1 (5.88%)
ARTS_SCI-201S-01_Parsons__William_Fall_2023.html,Fall 2023,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",William Parsons,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
