filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,17/18 (94.44%),4.59,0.71,5.00
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,17/18 (94.44%),4.59,0.71,5.00
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),2,11.76%,17/18 (94.44%),4.59,0.71,5.00
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),3,17.65%,17/18 (94.44%),4.59,0.71,5.00
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),12,70.59%,17/18 (94.44%),4.59,0.71,5.00
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,17/18 (94.44%),4.35,0.49,4.00
ARTS_SCI-201S-01_Little__Jacob_Fall_2024.html,Fall 2024,"ARTS&SCI-201S-01 : ETHICS, CITIZEN& EXAMINED LIFE.ARTS&SCI-201S-01.",Jacob Little,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,17/18 (94.44%),4.35,0.49,4.00
