uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241594_27445875,ARTSVIS-640S-01,EXPANDED CINEMA.ARTSVIS-640S-01.CINE-639S-01.DOCST-640S-01.LIT-545S-01.VMS-640S-01.,"Kaul, Shambhavi",Fall 2023,ART&AHIST,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, LIT, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,HcNw7UeBT78tifHQs%2ftnwQ%3d%3d,mMabPAiKivv7K2c78pHwlw%3d%3d,2025-11-24T15:46:11.553639
154503_9169_12241630_27991657,ARTSVIS-510S-01,BODY AS ELECTROCHEMICAL COMP.ARTSVIS-510S-01.CMAC-666S-01.ISS-666S-01.VMS-510S-01.,"Seaman, William",Fall 2023,ART&AHIST,"9 of 10  responded (90.00%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,oFKDdS55NxZ9Z%2b%2f2m6Ga8w%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T15:46:11.553797
153858_9169_12282810_28112085,GSF-263S-01,REPRESENTING BREAST CANCER.GSF-263S-01.AAAS-265S-01.ARTSVIS-263S-01.LIT-260S-01.,"Lamm, Kimberly",Fall 2023,GSF,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","GSF, AAAS, ARTSVIS, LIT",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,LLRE76UjTqf93VXXxxc8WA%3d%3d,RNJm%2fF3LLJeAO%2fpGLoczTQ%3d%3d,2025-11-24T15:46:11.553893
153858_9169_12282852_28112107,ARTSVIS-326S-01,FILM ANIMATION PRODUCTION.ARTSVIS-326S-01.CINE-320S-01.VMS-271S-01.,"Herbert, Casey",Fall 2023,ART&AHIST,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,tnXo4vwmwOIScGpRRLL0DQ%3d%3d,5Xul2zlOsrsTBQiiYQMr0Q%3d%3d,2025-11-24T15:46:11.553978
153858_9169_12282968_28112074,THEATRST-261S-01,COSTUME DESIGN.THEATRST-261S-01.ARTSVIS-233S-01.,"Haverkamp, Hannah",Fall 2023,THEATRST,"8 of 12  responded (66.67%)



 View Report
                            



 Download PDF","THEATRST, ARTSVIS",99035,CtmkEaIRhsSP75R5T115eg%3d%3d,yjK01SvejEzUrXV345EXZg%3d%3d,HeVE2ISHhDJqTyBlTwQ1Xw%3d%3d,2025-11-24T15:46:11.554059
153858_9169_12282986_27991628,ARTSVIS-356S-01,16MM FILM PRODUCTION.ARTSVIS-356S-01.CINE-356S-01.DOCST-357S-01.VMS-362S-01.,"Hill, Madison",Fall 2023,ART&AHIST,"6 of 8  responded (75.00%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,I%2bgoj42mTLTKKWQe%2fwjXbw%3d%3d,XH2XGVsbFjP85uG%2fUXMI5A%3d%3d,2025-11-24T15:46:11.554142
153858_9169_12283039_28112085,GSF-355S-01,BLACK FEMINISM AND FASHION.GSF-355S-01.AAAS-355S-01.ARTSVIS-353S-01.ENGLISH-353S-01.LIT-355S-01.,"Lamm, Kimberly",Fall 2023,GSF,"8 of 16  responded (50.00%)



 View Report
                            



 Download PDF","GSF, AAAS, ARTSVIS, ENGLISH, LIT",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,M%2fPhUSGaAt3rKn3B9uMHZg%3d%3d,RNJm%2fF3LLJeAO%2fpGLoczTQ%3d%3d,2025-11-24T15:46:11.554226
153858_9169_12283071_27446170,ARTSVIS-242L-001,INTERACTIVE GRAPHICS.ARTSVIS-242L-001.ISS-294L-001.VMS-397L-001.,"Olson, Mark",Fall 2023,ART&AHIST,"9 of 28  responded (32.14%)



 View Report
                            



 Download PDF","ARTSVIS, ISS, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,Gw9S2qLzGgM%2bTCdRWo0Psw%3d%3d,nL9jzaU2TsH0Q7NyCraK9A%3d%3d,2025-11-24T15:46:11.554306
153858_9169_12283149_27991634,DOCST-236S-01,COLOR PHOTOGRAPHY.DOCST-236S-01.ARTSVIS-240S-01.VMS-227S-01.,"Bamberger, William",Fall 2023,DOCST,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF","DOCST, ARTSVIS, VMS",98982,CtmkEaIRhsSP75R5T115eg%3d%3d,sYuKe%2bvrKIpEp9izjVNC6g%3d%3d,FVLruqTl3rHvfYPPd%2fD5QA%3d%3d,2025-11-24T15:46:11.554386
153858_9169_12283415_28112050,ARTSVIS-107L-01L,FUNDAMENTALS OF ART AND DESIGN.ARTSVIS-107L-01L.,"Salvatella De Prada, Raquel",Fall 2023,ART&AHIST,"7 of 15  responded (46.67%)



 View Report
                            



 Download PDF",,98967,CtmkEaIRhsSP75R5T115eg%3d%3d,YIhKlL5f8PaA47nkSU6xmA%3d%3d,3JRaQBnEubnMnQZJEYrNZg%3d%3d,2025-11-24T15:46:11.554467
153858_9169_12283527_28112247,ARTSVIS-199-02,DRAWING.ARTSVIS-199-02.,"Bennett, Lou",Fall 2023,ART&AHIST,"7 of 14  responded (50.00%)



 View Report
                            



 Download PDF",ARTSVIS,98967,CtmkEaIRhsSP75R5T115eg%3d%3d,FT0RepAzU0%2bggtT%2bNRdlIw%3d%3d,GrcCMOg8lu7iKB6zjl1D0Q%3d%3d,2025-11-24T15:46:11.554549
153858_9169_12283549_27991657,ARTSVIS-199-01,DRAWING.ARTSVIS-199-01.,"Seaman, William",Fall 2023,ART&AHIST,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF",ARTSVIS,98967,CtmkEaIRhsSP75R5T115eg%3d%3d,EyTv6cJV7c51CU6y6Nva0A%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T15:46:11.554631
161337_9470_12750845_27991628,ARTSVIS-340S-01,PRODUCING DOCU-FICTION.ARTSVIS-340S-01.CINE-334S-01.DOCST-278S-01.VMS-340S-01.,"Hill, Madison",Spring 2024,ART&AHIST,"6 of 12  responded (50.00%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, VMS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,%2b4xbgqGNecbW%2bw1dSUQFmw%3d%3d,XH2XGVsbFjP85uG%2fUXMI5A%3d%3d,2025-11-24T15:46:11.554714
161337_9470_12750856_27445875,ARTSVIS-496S-01,ARTSVIS/CINE ARTS SENIOR CAPST.ARTSVIS-496S-01.CINE-499S-01.VMS-496S-01.,"Kaul, Shambhavi",Spring 2024,ART&AHIST,"8 of 11  responded (72.73%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, VMS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,e3ANZts8fbYLldjZWZpX2A%3d%3d,mMabPAiKivv7K2c78pHwlw%3d%3d,2025-11-24T15:46:11.554798
161337_9470_12750865_28111787,PUBPOL-213-01,ARTS POLICY AND LEADERSHIP.PUBPOL-213-01.ARTHIST-228-01.ARTSVIS-228-01.DANCE-202-01.ECON-246-01.I&E-230-01.MUSIC-230-01.THEATRST-231-01.,"Nurkin, Andrew",Spring 2024,PPS,"14 of 20  responded (70.00%)



 View Report
                            



 Download PDF","PUBPOL, ARTHIST, ARTSVIS, DANCE, ECON, I&E, MUSIC, THEATRST",99026,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,zDMyBoeTuGLH1UNva4F4Gg%3d%3d,dWCUEqHuJ5YY3BUAKTFxfQ%3d%3d,2025-11-24T15:46:11.554882
161337_9470_12750880_28112039,ARTHIST-306S-01,CREATIVE CARTOGRAPHY.ARTHIST-306S-01.ARTSVIS-306S-01.ISS-306S-01.,"Triplett, Edward",Spring 2024,ART&AHIST,"7 of 13  responded (53.85%)



 View Report
                            



 Download PDF","ARTHIST, ARTSVIS, ISS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,w8MI60yH%2fHVRTcJpq%2f2mCA%3d%3d,0MsD1sOTUa1RprMonpNf8Q%3d%3d,2025-11-24T15:46:11.554963
161337_9470_12750883_28112107,ARTSVIS-326S-01,FILM ANIMATION PRODUCTION.ARTSVIS-326S-01.CINE-320S-01.VMS-271S-01.,"Herbert, Casey",Spring 2024,ART&AHIST,"5 of 14  responded (35.71%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, VMS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,7SB9mMtYk85OMAX%2bJ4C0YQ%3d%3d,5Xul2zlOsrsTBQiiYQMr0Q%3d%3d,2025-11-24T15:46:11.555044
161337_9470_12750940_28112069,ARTSVIS-119S-02,INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-02.DOCST-119S-02.,"Velazquez, Juan",Spring 2024,ART&AHIST,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","ARTSVIS, DOCST",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,tEXEIo7F%2fHVMN8is15hjKA%3d%3d,L5LfSuxAO%2bMs%2fzwUzwE3Mw%3d%3d,2025-11-24T15:46:11.555124
161337_9470_12750944_27991502,ARTSVIS-229S-01,EXPERIMENTAL FILMMAKING.ARTSVIS-229S-01.CINE-340S-01.VMS-229S-01.,"Sudak, Jason",Spring 2024,ART&AHIST,"12 of 14  responded (85.71%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, VMS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,0EZwaFjCPr7IxjajCoV28g%3d%3d,AbOWXT1HHyVKUoF6RP5%2fKg%3d%3d,2025-11-24T15:46:11.555208
161337_9470_12750978_28112069,ARTSVIS-119S-01,INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-01.DOCST-119S-01.,"Velazquez, Juan",Spring 2024,ART&AHIST,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF","ARTSVIS, DOCST",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,jb7BRMHFbjeqKhOJ8C9wMg%3d%3d,L5LfSuxAO%2bMs%2fzwUzwE3Mw%3d%3d,2025-11-24T15:46:11.555317
161337_9470_12750992_28112050,ARTSVIS-381S-01,GRAPHIC DESIGN IN MOTION.ARTSVIS-381S-01.CINE-381S-01.VMS-381S-01.,"Salvatella De Prada, Raquel",Spring 2024,ART&AHIST,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, VMS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,V9Wr6f0i4wMZobW9AXzpgw%3d%3d,3JRaQBnEubnMnQZJEYrNZg%3d%3d,2025-11-24T15:46:12.374345
161337_9470_12751037_27991657,ARTSVIS-198-01,EXPERIMENTAL INTERFACE DESIGN.ARTSVIS-198-01.CMAC-198-01.ISS-198-01.VMS-198-01.,"Seaman, William",Spring 2024,ART&AHIST,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, VMS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,fhub6jIrq1Qv1Rond0zQpQ%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T15:46:12.374461
161337_9470_12751043_28111698,THEATRST-263S-01,LIGHTING DESIGN.THEATRST-263S-01.ARTSVIS-235S-01.DANCE-276S-01.,"Webb, William",Spring 2024,THEATRST,"6 of 9  responded (66.67%)



 View Report
                            



 Download PDF","THEATRST, ARTSVIS, DANCE",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,1MfiirBZVRdtHPDRNIvWMg%3d%3d,bv9gcxoob%2fMFlXMJy%2bImSw%3d%3d,2025-11-24T15:46:12.374553
161337_9470_12751094_27445877,THEATRST-262S-01,SCENE DESIGN.THEATRST-262S-01.ARTSVIS-234S-01.,"Bend, Torry",Spring 2024,THEATRST,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF","THEATRST, ARTSVIS",99035,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,Kc4ovia09YRA6B3MJSqJQQ%3d%3d,WqlFX4zvC8hyMgYFuyuXFg%3d%3d,2025-11-24T15:46:12.374642
161337_9470_12751131_28112128,DOCST-230S-01,SMALL TOWN USA.DOCST-230S-01.ARTSVIS-232S-01.PUBPOL-389S-01.VMS-224S-01.,"Post-Rust, Susie",Spring 2024,DOCST,"5 of 14  responded (35.71%)



 View Report
                            



 Download PDF","DOCST, ARTSVIS, PUBPOL, VMS",98982,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,UiS%2bjQo0%2f2hCvtPQfbBjnw%3d%3d,PORtd70qpTK8YpehgC6O4g%3d%3d,2025-11-24T15:46:12.374736
161337_9470_12751205_27991659,ARTSVIS-453S-01,CINEMATOGRAPHY II.ARTSVIS-453S-01.CINE-453S-01.DOCST-453S-01.VMS-453S-01.,"Milligan, Stephen",Spring 2024,ART&AHIST,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, VMS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,je3HHsJ0a1bEe6zgJ8o7dQ%3d%3d,fk4leEtkwsLaRJT7XpC1ww%3d%3d,2025-11-24T15:46:12.374826
161337_9470_12751300_27991707,ARTHIST-305L-001,VIRTUAL MUSEUMS.ARTHIST-305L-001.ARTSVIS-305L-001.CLST-240L-001.ISS-305L-001.VMS-332L-001.,"Forte, Maurizio",Spring 2024,ART&AHIST,"6 of 11  responded (54.55%)



 View Report
                            



 Download PDF","ARTHIST, ARTSVIS, CLST, ISS, VMS",98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,USw4rBXyxgo8mdBtRSsYlQ%3d%3d,5YgJdEgqfwkv78eOl2QmQw%3d%3d,2025-11-24T15:46:12.374919
161337_9470_12751467_28112111,ARTSVIS-290S-01,SPECIAL TOPICS IN VISUAL ARTS.ARTSVIS-290S-01.,"Fick, William",Spring 2024,ART&AHIST,"7 of 12  responded (58.33%)



 View Report
                            



 Download PDF",ARTSVIS,98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,jNj218vevM%2bubwGp3VgA9A%3d%3d,wha3MzYlxT1EySyYfoUttg%3d%3d,2025-11-24T15:46:12.375007
161337_9470_12751562_28807863,ARTSVIS-199-02,DRAWING.ARTSVIS-199-02.,"Thomas, William",Spring 2024,ART&AHIST,"6 of 17  responded (35.29%)



 View Report
                            



 Download PDF",ARTSVIS,98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,FS0WIamiWevyEZprvriRHQ%3d%3d,g4CMbFGTBbWQML%2fDv1Retw%3d%3d,2025-11-24T15:46:12.375094
161337_9470_12751570_28112111,ARTSVIS-226-01,PRINTMAK:RELIEF/MONOTYPE.ARTSVIS-226-01.,"Fick, William",Spring 2024,ART&AHIST,"10 of 11  responded (90.91%)



 View Report
                            



 Download PDF",ARTSVIS,98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,KSWsNGJO3J6ssl0c88ij%2fA%3d%3d,wha3MzYlxT1EySyYfoUttg%3d%3d,2025-11-24T15:46:12.375173
161337_9470_12751655_28112111,ARTSVIS-207S-01,COMICS AND ZINES.ARTSVIS-207S-01.,"Fick, William",Spring 2024,ART&AHIST,"9 of 12  responded (75.00%)



 View Report
                            



 Download PDF",ARTSVIS,98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,T6O3rUIv3Cw0yNOh%2ba21DA%3d%3d,wha3MzYlxT1EySyYfoUttg%3d%3d,2025-11-24T15:46:12.375285
161337_9470_12751663_27991789,ARTSVIS-210-01,SCULPTURE.ARTSVIS-210-01.,"Hayes, Stephen",Spring 2024,ART&AHIST,"9 of 12  responded (75.00%)



 View Report
                            



 Download PDF",ARTSVIS,98967,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,B0LTElszAcAuu5kedqjo9A%3d%3d,FEVchh7K2OAln%2bqV2girwA%3d%3d,2025-11-24T15:46:12.375370
161325_9470_12752141_28112039,ARTHIST-719S-02,CREATIVE CARTOGRAPHY.ARTHIST-719S-02.ARTSVIS-719S-02.CMAC-719S-02.ISS-719S-02.,"Triplett, Edward",Spring 2024,ART&AHIST,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF","ARTHIST, ARTSVIS, CMAC, ISS",98816,GlYX8YEBYWdfpWXsr2usRw%3d%3d,s5AEgkVh3dmXMgq0AIbAnw%3d%3d,0MsD1sOTUa1RprMonpNf8Q%3d%3d,2025-11-24T15:46:12.375451
161325_9470_12752204_27446127,ARTSVIS-575S-01,GENERATIVE MEDIA AUTHORSHIP.ARTSVIS-575S-01.CMAC-575S-01.ISS-575S-01.MUSIC-575S-01.VMS-575S-01.,"Supko, John",Spring 2024,ART&AHIST,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, MUSIC, VMS",98816,GlYX8YEBYWdfpWXsr2usRw%3d%3d,85viLBsLqIvF%2f9oCN8kFdw%3d%3d,pk%2bXL7kU6nw3Z4chJauDCQ%3d%3d,2025-11-24T15:46:12.375531
161325_9470_12752204_27991657,ARTSVIS-575S-01,GENERATIVE MEDIA AUTHORSHIP.ARTSVIS-575S-01.CMAC-575S-01.ISS-575S-01.MUSIC-575S-01.VMS-575S-01.,"Seaman, William",Spring 2024,ART&AHIST,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, MUSIC, VMS",98816,GlYX8YEBYWdfpWXsr2usRw%3d%3d,85viLBsLqIvF%2f9oCN8kFdw%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T15:46:12.375614
170434_9917_13400599_27445877,THEATRST-251AS-01,DUKE IN LONDON: ARTS.THEATRST-251AS-01.ARTSVIS-251AS-01.DANCE-251AS-01.ENGLISH-273AS-01.MUSIC-216AS-01.,"Bend, Torry",Summer II 2024,THEATRST,"10 of 12  responded (83.33%)



 View Report
                            



 Download PDF",,99035,p%2f7%2f%2fKmTgr77QbMscbbBXw%3d%3d,kkNT0rLs2QYD4Ga%2bDiyNpg%3d%3d,WqlFX4zvC8hyMgYFuyuXFg%3d%3d,2025-11-24T15:46:12.375697
171571_9973_13645671_27991657,ARTSVIS-510S-01,BODY AS ELECTROCHEMICAL COMP.ARTSVIS-510S-01.CMAC-666S-01.ISS-666S-01.VMS-510S-01.,"Seaman, William",Fall 2024,ART&AHIST,"9 of 10  responded (90.00%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, VMS",98816,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,bRpW7VcvgCDIGWl8f8Eesw%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T15:46:12.375819
171571_9973_13645689_27446146,LIT-618S-01,THEORIES OF THE VISUAL.LIT-618S-01.ARTSVIS-618S-01.CINE-618S-01.CMAC-618S-01.ROMST-618S-01.VMS-618S-01.,"Hadjioannou, Markos",Fall 2024,LITERATURE,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","LIT, ARTSVIS, CINE, CMAC, ROMST, VMS",98858,q5OO4BI97gXGGxeB4X%2bILQ%3d%3d,mo89zKusSV7SfuMXD7sbbw%3d%3d,hMaeTnvmR9wzcLtNqWXR8Q%3d%3d,2025-11-24T15:46:12.375899
171550_9973_13686540_28596385,ARTSVIS-119S-02,INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-02.DOCST-119S-02.,"Yousef, Hareth",Fall 2024,ART&AHIST,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF","ARTSVIS, DOCST",98967,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,fWb5aROdzbZmWH%2f2rPfk%2fw%3d%3d,yPOnnd1%2fexhjXrSqV3Rbkg%3d%3d,2025-11-24T15:46:12.375979
171550_9973_13686571_27991502,ARTSVIS-350S-01,SOUND FOR FILM AND VIDEO.ARTSVIS-350S-01.CINE-350S-01.DOCST-353S-01.VMS-339S-01.,"Sudak, Jason",Fall 2024,ART&AHIST,"8 of 10  responded (80.00%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, VMS",98967,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,rYFdh31rZaTnMWPdDGScSw%3d%3d,AbOWXT1HHyVKUoF6RP5%2fKg%3d%3d,2025-11-24T15:46:12.376060
171550_9973_13686592_28596331,ARTSVIS-119S-03,INTRO TO DIGITAL PHOTOGRAPHY.ARTSVIS-119S-03.DOCST-119S-03.,"Zubizarreta, Nora",Fall 2024,ART&AHIST,"11 of 14  responded (78.57%)



 View Report
                            



 Download PDF","ARTSVIS, DOCST",98967,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,9csalxPoTJRG0u9yIZhswQ%3d%3d,%2fxKOak6%2fsXaLXItAr3X8pA%3d%3d,2025-11-24T15:46:13.127846
171550_9973_13686838_28112050,ARTSVIS-209-01,3D MODELING AND ANIMATION.ARTSVIS-209-01.CINE-351-01.CMAC-351-01.ISS-209-01.VMS-351-01.,"Salvatella De Prada, Raquel",Fall 2024,ART&AHIST,"5 of 15  responded (33.33%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, CMAC, ISS, VMS",98967,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,HP8zYvgHMu4RgRcgcT4J7g%3d%3d,3JRaQBnEubnMnQZJEYrNZg%3d%3d,2025-11-24T15:46:13.127950
171550_9973_13686853_28112128,DOCST-209FS-01,DIGITAL DOCUMENTARY PHOTO.DOCST-209FS-01.ARTSVIS-212FS-01.EDUC-209FS-01.VMS-212FS-01.,"Post-Rust, Susie",Fall 2024,DOCST,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF",,98982,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,RAclPAICaHuPcbcbTLmY5Q%3d%3d,PORtd70qpTK8YpehgC6O4g%3d%3d,2025-11-24T15:46:13.128036
