filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),1,2.94%,34/138 (24.64%),4.06,0.81,4.00
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,34/138 (24.64%),4.06,0.81,4.00
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),4,11.76%,34/138 (24.64%),4.06,0.81,4.00
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),20,58.82%,34/138 (24.64%),4.06,0.81,4.00
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),9,26.47%,34/138 (24.64%),4.06,0.81,4.00
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),1,2.94%,34/138 (24.64%),3.76,0.89,4.00
BIOCHEM-301-01_Coggins__Brian_Fall_2023.html,Fall 2023,BIOCHEM-301-01 : INTRO BIOCHEMISTRY I.BIOCHEM-301-01.BIOLOGY-301-01.,Brian Coggins,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,34/138 (24.64%),3.76,0.89,4.00
