filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",10/18 (55.56%),4.80,0.42,5.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (20.00%); Excellent: 8 (80.00%)
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",10/18 (55.56%),4.60,0.52,5.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (40.00%); Excellent: 6 (60.00%)
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",9/18 (50%),5.00,0.00,5.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 0 (0.00%); Excellent: 9 (100.00%)
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,8,The course was difficult.,10/18 (55.56%),3.10,0.32,3.00,10,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 9 (90.00%); Agree: 1 (10.00%); Strongly agree: 0 (0.00%)
BIOETHIC-590S-01_Dellinger__Jolynn_Fall_2023.html,Fall 2023,BIOETHIC-590S-01 : SPECIAL TOPICS IN BIOETHICS.BIOETHIC-590S-01.PUBPOL-590S-07.,Jolynn Dellinger,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10/18 (55.56%),4.30,1.25,4.00,10,1: 0 (0.00%); 2: 1 (10.00%); 3: 1 (10.00%); 4: 4 (40.00%); 5: 2 (20.00%); 6: 2 (20.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,1,Knowledge and command of subject matter,23/32 (71.88%),4.74,0.45,5.00,23,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 0 (0.00%); Very good: 6 (26.09%); Excellent: 17 (73.91%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,2,Clarity of presentation,23/32 (71.88%),4.57,0.66,5.00,23,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 2 (8.70%); Very good: 6 (26.09%); Excellent: 15 (65.22%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,3,Effectiveness in responding to questions,23/32 (71.88%),4.70,0.47,5.00,23,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 0 (0.00%); Very good: 7 (30.43%); Excellent: 16 (69.57%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,4,Effectiveness in stimulating interest in subject matter,23/32 (71.88%),4.70,0.47,5.00,23,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 0 (0.00%); Very good: 7 (30.43%); Excellent: 16 (69.57%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,5,Effectiveness in evoking wide participation in classroom dialogue,23/32 (71.88%),5.00,0.52,5.00,23,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 0 (0.00%); Very good: 3 (13.04%); Excellent: 17 (73.91%); Not applicable: 3 (13.04%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,6,Respect for students,23/32 (71.88%),4.83,0.39,5.00,23,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 0 (0.00%); Very good: 4 (17.39%); Excellent: 19 (82.61%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,7,Preparation for each class meeting,22/32 (68.75%),4.86,0.35,5.00,22,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 0 (0.00%); Very good: 3 (13.64%); Excellent: 19 (86.36%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,8,Effectiveness in adding insights to class materials,23/32 (71.88%),4.74,0.54,5.00,23,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 1 (4.35%); Very good: 4 (17.39%); Excellent: 18 (78.26%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,9,Accessibility for out-of-class questions and advice,22/32 (68.75%),4.45,0.67,5.00,22,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 2 (9.09%); Very good: 8 (36.36%); Excellent: 12 (54.55%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,10,Overall effectiveness,23/32 (71.88%),4.74,0.45,5.00,23,Poor: 0 (0.00%); Below average: 0 (0.00%); Average: 0 (0.00%); Very good: 6 (26.09%); Excellent: 17 (73.91%)
BIOETHIC-704-01_Waitzkin__Michael_Fall_2024.html,Fall 2024,LAW-333-01 : SCIENCE LAW AND POLICY.LAW-333-01.BIOETHIC-704-01.PUBPOL-841-01.,Michael Waitzkin,11,Organization of course,23/32 (71.88%),4.35,0.83,5.00,23,Poor: 0 (0.00%); Below average: 1 (4.35%); Average: 2 (8.70%); Very good: 8 (34.78%); Excellent: 12 (52.17%)
